გამოსხივება	გამო სხივ ებ ა
რობინსონის	რობინ სონის
ჰეს	ჰეს
ბარსა	ბარ სა
ბურთთან	ბურთ თან
აღმოსავლეთმცოდნეობის	აღმოსა ვლეთ მცოდნე ობის
ვსვამ	ვ სვამ
თავკაცი	თავ კაც ი
ხეებსა	ხე ებს ა
გაიფანტა	გა ი ფანტ ა
რჩებიან	რჩ ებიან
დედოფალს	დედოფ ალს
წარმატებით	წარმატებ ით
მოზაიკა	მო ზაიკ ა
დაფრინავენ	და ფრინ ა ვენ
ორგანიზმთა	ორგანიზ მთა
ბლეკმორი	ბლეკ მორ ი
ბრუნვითი	ბრუნ ვით ი
ბუდისტი	ბუდ ისტი
საკრავი	საკრავ ი
სენი	ს ენი
მოხვედრით	მო ხვედრ ით
ძალაც	ძალა ც
იზაბელას	იზაბელა ს
ნააზრევის	ნააზრევ ის
ბობი	ბობ ი
არაბმა	არაბ მა
ლატვია	ლატვი ა
ფორმატები	ფორმა ტები
მეფეზე	მეფე ზე
უშანგი	უშ ანგ ი
ვისკის	ვის კის
შიგნიდან	შიგნ იდან
ქათამი	ქათამ ი
ჩოლოყაშვილმა	ჩოლოყა შვილ მა
გაჭრილია	გა ჭრილი ა
განაპირობებს	განა პირობ ებს
ასაკთან	ასაკ თან
შენიშნავს	შე ნიშნავ ს
ეგეოსის	ე გე ოს ის
ვახტანგი	ვახტანგ ი
კონფიგურაციის	კონ ფიგურ აციის
კალათების	კალათ ების
იულიას	იული ას
რეგიონებია	რეგიონ ები ა
იერიშებს	იერიშ ებს
აგურისა	აგურ ის ა
წმინდანის	წმინ დან ის
სტანდარტს	ს ტანდარტ ს
ნაკლოვანებები	ნაკლ ოვან ებ ები
მიმდინარეობდა	მი მდინარ ე ობდა
შედევრია	შე დევრ ი ა
ავალებს	ავალ ებს
მოგონება	მო გონებ ა
მილეტის	მილეტ ის
არეულობით	არეულ ობით
საქართველოში	სა ქართვე ლოში
ეპისტოლე	ე პისტოლე
კრიმინალთან	კრიმინა ლთან
ნაბოკოვის	ნა ბოკოვ ი ს
რაზმიც	რაზმ იც
ანდრეი	ანდრე ი
რელიკვია	რელიკვი ა
გამოფენის	გამო ფენ ის
სმითმა	სმით მა
ორთოდოქსული	ორთ ოდ ოქს ული
დანაშაულს	და ნაშა ულ ს
უფსკრულის	უფსკ რული ს
ღორღიან	ღორღ იან
დროშას	დროშ ა ს
კვარტალი	კვარტ ალი
მასკერანოს	მასკერანო ს
საქართველოზე	სა ქართვე ლო ზე
პატრონაჟის	პატრონ აჟის
ხელსაწყოებს	ხელსაწ ყო ებს
სინგლებს	ს ინგლ ებს
ლიკას	ლი კა ს
ბეჭედს	ბეჭედ ს
სტუდენტთა	სტუდენტ თა
ბრაზილიელებმა	ბრაზილ ი ელებმა
ტაქტიკა	ტ აქტიკ ა
სულთანატის	ს ულ თანა ტის
პორტებს	პორტ ებს
წინასწარმეტყველების	წინა ს წარ მეტყველ ების
გიბრალტარის	გი ბრალ ტარ ის
ელიფსის	ელიფს ის
გადაწყვეტას	გადა წყვეტ ა ს
ოსმალეთისათვის	ოსმალ ეთი სა თვის
მონებით	მონ ებით
მოჩუქურთმებული	მო ჩუქურთმ ებულ ი
სიძველეთა	ს ი ძველ ეთა
ფენებში	ფენ ებში
ომის	ო მი ს
მოსაკლავად	მოსა კლავ ად
კონტინენტიდან	კო ნტინენტ იდან
ტომობრივი	ტომ ობრივ ი
კაბუკის	კა ბუკ ის
დაგ	დაგ
ხელმოკლე	ხელ მოკლე
კარიჭაშვილი	კარი ჭა შვილი
სვეტზე	სვეტ ზე
დანერგვას	და ნერგვ ას
სეთი	ს ეთი
ვირაკოჩას	ვირ ა კო ჩა ს
ტანსაცმელს	ტანსაცმ ელს
შემობრუნება	შემო ბრუნ ება
წვრთნა	წვრთნ ა
სოხუმის	სოხუმ ის
შეჩერების	შე ჩერ ების
პოპულარულია	პოპულ არულ ია
მომავალ	მო მავალ
მიწერა	მი წერა
შოშიტა	შო ში ტა
ჯერემი	ჯერ ე მი
ჟანრს	ჟანრ ს
არატრადიციული	არა ტრადი ციულ ი
ფუფუნების	ფუფუნ ების
კონსოლის	კონსოლი ს
მათგანი	მათ გან ი
თავისებურად	თავ ის ებ ურ ად
შერეული	შერეულ ი
ბაქსი	ბა ქსი
მოგრძო	მო გრძო
დამყარებისათვის	და მყარ ების ა თვის
ვენესუელას	ვენესუელ ას
სამეკლესიიანი	სამ ეკლეს ი იანი
არბიტრაჟის	არბიტრ აჟის
მაჩაბლის	მა ჩაბ ლის
მიფრინავს	მი ფრინ ავს
ხმლებით	ხმ ლებით
კომიქსში	კო მიქს ში
ჯესი	ჯე სი
ჰეროდოტე	ჰერო დოტე
ნოემბერი	ნოემბერ ი
ურწმუნო	უ რწმუნ ო
დაკისრებული	და კის რებულ ი
დაიჭერენ	და ი ჭერ ენ
შედგებოდა	შედგ ებოდა
ბეწვიანი	ბეწვ იანი
ნაპირზეა	ნაპირ ზე ა
რაჰმანი	რაჰ მანი
ჩხავერი	ჩხ ავ ერი
იცვლებოდა	ი ცვლ ებოდა
სერვისით	სერვ ის ით
ცვლილებაზე	ცვლილებ აზე
მყარი	მყარ ი
ტენდენციას	ტენდე ნცი ას
მათგან	მათ გან
დამკვირვებელი	დამ კვირვ ებელი
კაბადოკიის	კაბ ად ოკი ის
მეცადინეობაში	მეცადინე ობაში
შესაქმის	შე საქმ ის
ვოლდემორს	ვოლდემ ორ ს
დაიწია	და იწია
ფლეტჩერის	ფლეტჩერ ის
კუხის	კუხ ის
ირგვლივ	ი რგვლივ
რაინდის	რაინდ ის
გამოირიცხოს	გამო ი რიცხ ო ს
ჩინელებს	ჩინელ ებს
ლიტერატურულ	ლიტერატურ ულ
გაღება	გა ღებ ა
იერუსალიმი	იერუსალ ი მი
ყოველწლიური	ყოველწლიურ ი
წვის	წვის
მსახური	მ სახურ ი
სიგრძეზეა	სი გრძე ზე ა
დარღვეული	და რღვე ული
ოთხიდან	ოთხ იდან
მოდაში	მო და ში
რობაქიძე	რობაქიძ ე
ფაშა	ფაშ ა
დაცემამდე	და ცემ ამდე
დასარულს	და ს არულ ს
დაედევნენ	დაე დევნ ენ
დრიფტის	დ რიფ ტის
დანიშნულ	და ნიშნ ულ
კონცერნი	კონ ცერნ ი
დომენიკო	დომენი კო
ესაა	ეს ა ა
კოკა	კ ო კა
ფშაური	ფ შა ური
საყვირის	სა ყვირ ის
ხმარობდა	ხმარ ობდა
მონაწილეობს	მო ნაწილ ე ობს
უნიკალურია	უნიკ ალურ ია
დაუმარცხებელი	დაუ მარცხ ებელი
მინაწერში	მი ნაწერ ში
მონე	მო ნე
ნიბელუნგების	ნი ბელ უნ გ ების
აგურითა	ა გურ ით ა
მიაყენებს	მი აყენ ებს
ჯერარდმა	ჯერ არდმა
თეორიასთან	თეორი ასთან
გავრცელებისას	გა ვრცელებ ისას
უმეტეს	უმეტ ეს
მონათმფლობელობის	მო ნათ მფლობელობ ის
კომისიას	კო მისი ა ს
ყელით	ყელ ით
ჩამებარებინა	ჩა მე ბარ ებინა
აქვეყნებს	ა ქვეყნებ ს
ერთნაირი	ერთ ნაირი
სასტარტო	ს ა სტარტ ო
მინას	მ ინას
მრავალფეროვნების	მრავალფერო ვნებ ის
საღებავებით	სა ღებავ ებით
წლებს	წლებ ს
ბეჭდური	ბეჭდ ური
ელჩობას	ელჩ ობას
საღმრთო	სა ღმრთ ო
ღიობის	ღიობ ი ს
მაჰმადის	მა ჰმად ის
წყალსაცავების	წყალსაცავ ების
კინორეჟისორის	კინო რეჟისორ ის
გაგრძელების	გა გრძელ ების
ხალხთა	ხალხ თა
შლილი	შლილი
ხნის	ხნ ის
ჩეხოსლოვაკია	ჩეხოსლოვა კი ა
მთლიანობაში	მთლია ნობ აში
ალეუტის	ალეუტ ის
მოპოვების	მო პოვებ ის
გამოხდით	გამო ხდ ით
ფონემა	ფონე მა
ცხოვრებისეულ	ცხოვრ ების ე ულ
სერბულ	სერბ ულ
მიანიჭეს	მი ანიჭ ეს
წინასიტყვაობაში	წინა სიტყვ ა ობაში
ადგილობრივი	ადგილ ობრივ ი
წარმოჩენილი	წარმო ჩენილ ი
გვევლინება	გვე ვლინ ება
ჯგუფების	ჯგუფებ ის
ბელინსგაუზენის	ბელ ინ ს გა უზენ ის
დიქტატურა	დიქტ ატურა
კულტურებს	კულტურ ებს
ვიკინგების	ვიკინგ ების
წიგნმა	წიგნ მა
მარიამის	მარიამ ის
ქცეულიყო	ქცეულ იყო
ფსიქიატრიული	ფსიქიატრ ი ული
ალთაის	ა ლთა ის
მაიმუნებს	მა იმუნ ებს
ელექტროსადგური	ელექტრ ოსადგ ურ ი
გადაღმა	გადა ღმა
შეუცვლელად	შეუ ცვლელ ად
სიქსერსის	სი ქსერს ის
წაიღო	წა იღო
დამსახურების	დამ სახურ ების
მემკვიდრეობითობის	მე მკვიდრეობ ით ობის
დღეებს	დღე ებს
იქნეს	იქნ ეს
აღარასოდეს	აღარა ს ოდეს
ერთმა	ერთ მა
იმპოსტებს	ი მ პოსტ ებს
შედეგების	შედეგ ების
ბანას	ბანა ს
ფრთას	ფრთ ას
რომან	რომან
შეადარეს	შე ა და რეს
გამოყენებაზე	გამო ყენებ ა ზე
შეიცვალა	შე ი ცვალა
იმარჯვა	ი მარჯვ ა
ლუფტვაფეს	ლუ ფტ ვა ფე ს
ლეგალური	ლეგ ალური
ანგარიშზეა	ანგარიშ ზე ა
ფენისაგან	ფენ ის აგან
კომიტეტების	კომ იტეტ ების
მოთავსდა	მო თავს და
ილუსტრირებული	ილუსტრ ირებულ ი
გადაამუშავა	გადა ა მუშავ ა
ასკანის	ას კან ის
ვითარდებოდა	ვითარ დებო და
ცოდნამ	ცოდნ ა მ
სავიოლინო	სა ვიოლინ ო
მონოპოლიური	მონ ოპოლი ური
მრავალჯერ	მრავალ ჯერ
ორგანოში	ორგან ოში
სკოტმა	სკოტ მ ა
ჩვენებას	ჩვენ ებას
განმტკიცებას	გან მტკიცებ ას
დანიშნულებაა	და ნიშნ ულ ება ა
ვერცხლის	ვერცხ ლის
მიცემით	მი ცემ ით
ტომებად	ტომ ებად
ზოდიაქოს	ზო დი აქო ს
არასამეწარმეო	არა სა მე წარმეო
წარდგენის	წარ დგენ ის
ნაკადისაგან	ნაკად ის აგან
მაკედონელები	მა კედონ ელებ ი
სიმონს	სიმონ ს
მიუახლოვდნენ	მი უახლო ვდნენ
შემტევი	შემ ტევ ი
ჰორაციუს	ჰორ ა ციუს
ხშირია	ხშირ ი ა
იწყებს	იწყ ებს
რომელსაც	რომელ საც
განიზრახეს	გან ი ზრახ ეს
დაყოვნების	და ყოვნ ების
ტაძრის	ტაძრ ის
ჩვილი	ჩვილ ი
ალბომებიდან	ალბომ ები დან
ჩონჩხები	ჩონჩხ ები
ანტარქტიკის	ა ნტარქტ იკის
პერსონაჟებთან	პერსონა ჟ ებთან
ამალის	ა მა ლის
ველსა	ველ სა
ტექნიკების	ტექნიკ ების
მომღერალმა	მო მღერ ალმა
ტელესერიალი	ტელე სერიალ ი
ცეკვას	ცეკვ ას
მამაკაცებთან	მა მა კაც ებთან
მონელების	მონ ელ ების
დას	და ს
გამოსაცდელი	გამო საცდელ ი
პარალელურია	პარალელ ური ა
პროსტიტუცია	პრო ს ტიტუ ცია
უმცირესობათა	უმცირეს ობ ათა
ციკლ	ციკლ
ფინალების	ფინალ ების
ბებერი	ბებერ ი
სესილი	ს ეს ილი
მედიის	მედი ის
ღიობები	ღიობ ები
წყლებს	წყლ ებს
დოკუმენტია	დოკუმენტ ია
არსებობისა	არსებ ობის ა
წარწერებში	წარწერ ებში
ინტერესებისათვის	ინტერეს ების ა თვის
უზენაესმა	უზენაე ს მა
შესძლებოდა	შე სძლ ებოდა
ავტოკატასტროფაში	ავტო კა ტასტროფ აში
ბროდვეის	ბროდვეი ს
ბაჰადურ	ბა ჰა დურ
მეცნიერ	მ ეცნიერ
ფრინველებით	ფრინველ ებით
მარტინეს	მარტ ინეს
დიუნების	დიუნ ების
გადაუარა	გადა უარა
დასჯით	დასჯ ით
სამყაროს	სა მყარო ს
წევრთა	წევრ თა
გახმოვანება	გა ხმოვან ება
ჩამოიყვანა	ჩამო იყვან ა
ყოფითი	ყოფ ითი
მესაქონლეობას	მე სა ქონლე ობას
ედოს	ე დოს
თავდასასხმელად	თავდა ს ა სხმ ელად
პროტექტორატის	პროტ ექტორ ა ტის
პროგრამებს	პროგრამ ებს
თბილისსა	თბილ ის სა
წევრების	წევრ ების
დაჰყვეს	და ჰყვ ეს
მიქსები	მიქს ები
შასი	შა სი
ახშობდა	ახშ ობდა
პროვოცირება	პროვო ც ირება
ნინას	ნი ნ ას
რევოლუციისა	რევოლუ ციის ა
ქვეყანად	ქვეყა ნად
მოიწონა	მოი წონა
ნილოსში	ნილოს ში
მემუარებში	მემუარ ებში
პეტრე	პეტრე
ბოთლები	ბოთლ ები
სამთავრომ	სა მთავრ ომ
უკანასკნელთ	უ კანასკნე ლთ
პალეონტოლოგიის	პალეო ნტ ოლოგი ის
მიღების	მიღ ების
ახასიათებთ	ა ხასიათ ებთ
მოჭედილი	მო ჭედ ილი
ბეატრის	ბეატრ ის
ავსტრიასთან	ავსტრი ასთან
ვაზის	ვაზ ის
კვლევას	კვლევ ა ს
გულით	გული თ
ქვეყანაზე	ქვეყა ნა ზე
პარმენიონის	პარ მენი ონის
შალვა	შალვა
განაჩენი	განა ჩენ ი
კლიმატზე	კლიმა ტზე
გაშენება	გა შენებ ა
ქალღმერთის	ქალ ღმერთ ის
აღმოჩენილი	აღმო ჩენილ ი
ხელვაჩაურის	ხელ ვა ჩაუ რის
მოთამაშეებს	მო თამაშ ე ებს
წინასწარმეტყველს	წინას წარ მეტყველ ს
სეულის	ს ეული ს
ვანდა	ვანდა
მიატოვეს	მი ა ტოვ ეს
უმეტესი	უმეტ ესი
ატლანტისი	ატლანტ ის ი
შეიქნა	შე იქნ ა
თვლიდა	თვლ ი და
ენებსაც	ენ ებსაც
წოდებით	წოდებ ით
სრუტეს	სრუტე ს
ლითონს	ლითონ ს
ხასიათის	ხასიათ ის
მართავენ	მართა ვენ
სინდარულად	სინ დარ ულად
ლანდშაფტში	ლანდშაფტ ში
ქრისტიანებს	ქრისტ იან ებს
ბერბატოვმა	ბერ ბა ტოვ მა
ბრაზილიისა	ბრაზილ ი ისა
ტვირთების	ტვირთ ების
გამომიგზავნის	გამო მი გზავნ ის
გროვაში	გროვ აში
მზრუნველობას	მ ზრუნველ ობას
თანამშრომლობდნენ	თანამშ რომლობ დნენ
გრაფიკული	გრაფიკ ული
დროგბა	დროგბ ა
ენთუზიაზმი	ენთუზია ზ მი
ნაგებობებით	ნა გებობ ებით
ტრანსლაცია	ტრანს ლა ცია
აქტივისტების	ა ქტივ ისტ ების
ფუძიდან	ფუძ იდან
ბარტონის	ბარტ ონის
ემბრიონის	ემბრი ონის
საელჩოში	საელჩო ში
მოკრივე	მო კრი ვე
საღვინე	სა ღვინ ე
იბრძოლა	ი ბრძოლა
განტოლებების	გა ნტოლებ ების
ურიგოდ	ური გ ოდ
ფირფიტების	ფირფი ტები ს
ცუცხვათის	ცუცხვა თ ის
დიალექტებს	დიალექ ტებს
სამხრეთისა	ს ამხრეთ ის ა
შემოსვლამ	შემო სვლ ამ
გავითვალისწინოთ	გავი თვალისწინ ოთ
შრეთა	შრე თა
გააღვივა	გა აღვივ ა
შეერთებოდა	შე ერთ ებოდა
პოტენციალს	პოტენ ცია ლს
ასწავლიან	ა სწავლ იან
რიტუალით	რიტუალ ით
სექსის	ს ექს ის
გადააგდეს	გადა აგდეს
გამოცემას	გამო ცემ ას
განმარტებას	გან მარტ ებას
შენელებას	შე ნელ ებას
სახელოები	სახელ ო ები
სიუჟეტების	ს იუჟეტ ების
გერმანულ	გერმან ულ
პორტში	პორტ ში
მუსლიმთა	მუსლიმ თა
ბომბები	ბომბ ები
მონუმენტური	მონ უმენტ ური
მატი	მატ ი
დადასტურდა	და და სტურ და
ბავშვებზე	ბავშვ ებზე
წყლებმა	წყლ ებმა
დადგება	და დგება
მხარეები	მხარე ები
სესახებ	ს ესახებ
კონტინენტები	კო ნტინენტ ები
ესპანეთიდან	ესპან ეთ იდან
მიღწეულია	მიღ წეულ ია
მოპარვა	მო პარ ვა
კოკაინს	კოკაინ ს
კუბური	კუბ ური
აქცევდა	ა ქცევ და
დენთის	დენ თ ის
გასაცნობად	გასა ცნობ ად
შემოწირულობების	შემო წირულ ობები ს
დამაარსებელია	დამ ა არსებ ელი ა
კანონზომიერებებს	კანონ ზომიერ ებ ებს
დუშან	დუშან
კაპაკი	კაპ აკი
კოლუმბამდელი	კოლუმ ბამდელ ი
კრატერის	კრატერ ის
ნიშანდობლივია	ნიშან დობლივ ია
ერვინ	ე რვინ
სარკის	სა რ კის
შესძლო	შე ს ძლო
თვითმფრინავიდან	თვით მფრინავ იდან
ერმიტაჟი	ე რმიტაჟი
სინგურით	ს ინგ ური თ
პორტრეტებს	პორტრეტ ებს
ლაგუნაში	ლაგუნ ა ში
საზღვრებს	სა ზღვრ ებს
სეპარატისტული	ს ეპარატ ისტ ული
შეყვანილია	შე ყვანილი ა
ხალხისა	ხალხ ი სა
შირაზის	შირა ზის
პროფილაქტიკაში	პროფილ აქტიკ აში
უხერხემლო	უხერხემლო
წიგნისთვის	წიგნ ის თვის
ჩაიტანა	ჩა ი ტანა
ტენოჩტიტლანის	ტენოჩტ იტლანი ს
ტილი	ტი ლი
ხორბლისფერი	ხორბ ლის ფერი
სულისაგან	სულ ისა გან
თვითმმართველობას	თვითმ მა რთველ ობას
დაგეგმილ	და გეგმ ილ
ავალ	ავალ
კვანძს	კვანძ ს
რიტუალი	რიტუალ ი
მოსახლის	მო სახლ ის
კატალონიელი	კატალონ ი ელი
ჰაერის	ჰაერ ის
არითმეტიკის	არითმეტ იკის
ლუარსაბ	ლუარსაბ
მაგარმ	მა გა რმ
ინდივიდთა	ინდივი დ თა
არხ	არხ
დღიურს	დღიურ ს
პლაკატი	პლაკ ატი
მიმართულებას	მი მა რთულ ებას
ჭრილობები	ჭრილობ ები
ინგლისთან	ინგლ ის თან
დააბრუნა	და ა ბრუნ ა
ზღვარს	ზღვა რ ს
ფორუმების	ფორუმ ების
გასაიდუმლოებული	გა საი დუმლო ებულ ი
იდენტიფიკაციის	იდენტ იფიკაცი ის
მოიარა	მო ი არა
ახდენდა	ახდენ და
ნაწარმოებებს	ნა წარმო ებ ებს
პორტს	პორტ ს
ტექნიკაზე	ტექნიკ ა ზე
მოტორული	მო ტო რ ული
ასტრახანში	ა სტრა ხან ში
ასლს	ას ლ ს
უარს	უარ ს
შენადნობებში	შენ ად ნობ ებში
ინდივიდებს	ინდივი დე ბს
შემოჰქონდათ	შემო ჰქონდა თ
წარმართვის	წარმართ ვის
ალპებს	ალპ ებს
მარცხისა	მარცხ ისა
დეკორაცია	დეკორაც ია
კეი	კეი
დაჩქარების	და ჩქარ ები ს
წინასწარაა	წინას წარ ა ა
დანარჩენებს	დანა რჩენ ებს
ეგზოტიკურ	ეგზო ტიკურ
დააფიქსირეს	და ა ფიქსი რეს
ნიდერლანდების	ნიდ ერლანდ ების
გველს	გველ ს
ცეკვების	ცეკვ ების
ხილვის	ხილვ ის
გაატაროს	გა ატარ ოს
მოპოვებას	მო პოვებ ას
სიტუაციიდან	ს ი ტუაცი იდან
გამოგზავნილ	გამო გზავნილ
ქსერქსე	ქს ერქსე
სასმელია	სასმელ ია
კემბრიჯის	კემ ბრიჯ ის
კლასად	კლას ად
გაეწმინდა	გაე წმინ და
დღესასწაულების	დღე სა სწაულ ების
მორგოთის	მორ გოთ ის
ამგვარად	ამ გვარ ად
რონს	რონ ს
უაილდი	უ აილდ ი
ძიუდო	ძიუდო
წყობას	წყობა ს
ხდებიან	ხდ ებიან
ზონაში	ზონ აში
გარდაცვლილები	გარდა ცვლილებ ი
ლეგიტიმაცია	ლეგიტიმ აცია
მთრიმლავი	მთრიმლავ ი
სასახლეთა	სა სახლე თა
საჰაერო	სა ჰაერ ო
აირს	აირს
გზად	გზ ად
სვამდა	სვამ და
ჰესი	ჰეს ი
ვარგისი	ვარგ ის ი
ჟღერადობა	ჟღერ ად ობა
მარადონა	მ არა დონა
კიდე	კიდე
რემიქსები	რემიქს ები
ფლორენციაში	ფლორ ენცი აში
გამართლება	გა მართლ ება
გადაზიდვის	გადა ზიდვ ის
სიღნაღი	სი ღნაღ ი
შეკავების	შ ეკავ ების
გენერლების	გენერ ლების
ბრალდებული	ბრალდ ებ ული
ფლობენ	ფლობ ენ
ბურჟუაზიის	ბურჟუა ზი ის
ხერხები	ხერხ ები
ხმამ	ხ მამ
მუხრანბატონმა	მუხრანბა ტონ მა
არხის	არხ ის
ცენტრში	ცენტრ ში
გადასაფარებელი	გა დასა ფარ ებელი
კლება	კ ლება
ერთეულზე	ერთე ულ ზე
ლაბორატორიაში	ლაბორატორ იაში
დაშლას	დაშლ ას
გრაფიკულ	გრაფიკ ულ
დეტალებში	დეტალ ებში
წნევის	წნევ ის
კონფლიქტით	კონფლიქტ ით
ნახევარმცველად	ნა ხევარ მცველ ად
ვარსკვლავია	ვარსკვლავ ია
დაწერილობა	და წერილ ობა
ლიტვაზე	ლიტვ აზე
ხანამდე	ხან ამდე
ნორფოლკის	ნორ ფოლკ ის
მუქი	მუქ ი
სრიალის	სრიალი ს
ნგრევას	ნგრევ ას
კორეის	კორე ის
ძეგლში	ძეგლ ში
დიდია	დიდ ია
აუწყეს	ა უწყ ეს
ნაღდი	ნაღ დი
რამდენი	რამდენ ი
დაუცხრომელი	დაუ ცხ რომელ ი
დაბლობებში	და ბლობ ებში
სასიამოვნოა	სა სი ამოვნ ო ა
სააგენტომ	სა აგენტ ომ
გამხდარა	გა მხდარ ა
ჩაიკეტა	ჩაი კეტ ა
გაყოფის	გა ყოფ ის
თუტმოს	თუტ მო ს
მიაჩნდათ	მი აჩნდათ
შესძლებდა	შე სძლ ებდა
კონუსს	კონ უსს
შეასრულა	შე ა სრულ ა
ნარკვევები	ნა რკვევ ები
ცელესტინ	ცელ ეს ტინ
ჯეიმსის	ჯეიმს ის
ბაღში	ბაღ ში
გამოარჩია	გამო არჩია
გამოწვის	გამო წვის
დარბაზში	დარბაზ ში
გადააჭარბა	გადა ა ჭარბ ა
ეყოლებოდა	ეყოლ ებოდა
კეისარის	კეის არის
ნავსადგური	ნავსა დგურ ი
შემდეგი	შე მდეგ ი
ნედლეული	ნედლ ეულ ი
უმაღლესია	უმაღლ ეს ია
ყაზახები	ყაზახ ები
სიბნელის	ს ი ბნელ ის
კორეული	კორე ული
არითმეტიკული	არითმეტ ი კული
მოდელი	მოდელ ი
იუველირის	ი უველირ ის
მოლეკულებს	მო ლეკულ ებს
სამთამადნო	სამ თა მადნ ო
ტოლგვერდა	ტოლ გვერდ ა
წარსულს	წარ სულ ს
კუნძულებია	კუნძულ ებია
წაყვანას	წა ყვანას
ჩინეთისა	ჩინ ეთი სა
ცხოველებია	ცხოველებ ია
უპირველეს	უ პირველ ეს
აირჩიოს	აირჩი ოს
აჩქარებს	ა ჩქარ ებს
ასტრახანის	ასტრ ა ხან ის
კომპანიისგან	კომპან ი ისგან
მანიშნებელი	მა ნიშნ ებ ელი
იერს	იერ ს
მითს	მით ს
მშრომელთა	მ შრომ ელთა
ხვიარა	ხვ ი არა
ბაიერის	ბა ი ერის
ჰელიუმის	ჰელიუმ ის
სთხოვა	ს თხოვ ა
კომუნისტურმა	კომუნ ის ტურ მა
რეზერვის	რეზერვ ის
გაუჩინარდა	გაუჩინარ და
ნიშა	ნიშ ა
სია	სი ა
ყოველდღიურად	ყოველ დღიურ ად
გადაბმული	გადა ბმული
ეპოქებში	ეპოქ ებში
მიკროტალღოვანი	მიკრო ტალღ ოვანი
პიგმეები	პიგმე ები
ყუმურის	ყუმ ურის
გვსურდა	გვსურ და
დაწნული	და წნ ული
კონსტანტინემ	კონსტანტ ინე მ
ახალგაზრდულ	ა ხალგაზრდ ულ
ნავთობპროდუქტები	ნა ვთობ პროდუქტ ები
გამოეცათ	გამო ეცათ
ელიზაბეტი	ე ლი ზაბეტ ი
კატისებრთა	კატ ისებრ თა
ჯულიეტას	ჯულიეტ ას
გამზირის	გა მზირ ის
შეყვარებულები	შე ყვარ ებულ ები
სტეპან	სტეპ ან
კეისარმა	კეის არმა
მილანს	მილან ს
გრაფის	გრაფ ის
ფლოტში	ფლოტ ში
ალქაჯი	ალქაჯ ი
რწმენაზე	რწმენ აზე
მოლეკულაში	მო ლეკულ აში
დავალების	დავალ ების
აჩენს	აჩენს
კარნეგი	კარნეგ ი
მან	მან
აშენებულ	აშენ ებულ
საბჭოში	საბჭო ში
დედაქალაქად	დედაქალაქ ად
საპირისპიროს	სა პირ ის პიროს
გაფანტა	გა ფანტ ა
უილიამი	უილიამ ი
ფარგლებს	ფარგლ ებს
უნიფიცირებული	უნი ფიცი რებულ ი
ჰიბრიდი	ჰიბრიდ ი
გეოლოგმა	გეოლოგ მა
დავთარში	დავთარ ში
ქონდარა	ქონდ არა
ანნა	ა ნნა
ნაშიერს	ნა ში ერს
მიღებისა	მიღ ები სა
კომპილაცია	კ ომპილაცი ა
ტელეფონის	ტელეფონ ის
საუბარი	სა უბარ ი
განახორციელოს	გან ა ხორციელ ოს
რამდენიმეწლიანი	რამდენ ი მე წლიან ი
მონაწილედ	მო ნაწილ ედ
დაცულნი	დაც ულნი
რითიო	რი თი ო
ვერსიის	ვერსი ის
მოყვარე	მოყვარე
ტასმანია	ტასმანი ა
დაივიწყებს	და ი ვიწყ ებს
კლუბია	კლუბ ია
მეტალი	მეტალ ი
კონსტანტინოპოლში	კონსტანტ ინოპოლ ში
როლის	როლ ის
ლავი	ლავ ი
იქნებოდნენ	იქნ ებოდნენ
პარადოქსის	პარადოქს ის
ბაქტერიოფაგები	ბაქტერ იოფაგ ები
ველოსიპედით	ვე ლოსიპედ ით
გერმანიისა	გერმან ი ისა
ღებში	ღებ ში
პრეისტორია	პრე ის ტორია
აგენტს	აგენტ ს
მხარდაჭერით	მხარ და ჭერ ით
ცილინდრს	ცილინდრ ს
ხელნაწერ	ხელნაწერ
იორკში	იორკ ში
პრიზმის	პრიზ მის
მქადაგებელი	მ ქადაგ ებელი
რჩევით	რჩევ ით
არამატერიალური	არა მატ ერი ალური
განმარტავდა	გან მარტ ავდა
გრძელვადიან	გრძელ ვად იან
ააშენეს	ა აშენ ეს
საათი	საათ ი
უნეტარესი	უ ნეტარ ეს ი
გაივლიდა	გა ი ვლიდა
საფეხურები	სა ფეხურ ები
ჩამოსხმული	ჩამო სხმ ული
თურქმანული	თურქ მან ული
გონის	გონ ის
მსხვილმა	მსხვილ მა
თაყვანისცემით	თაყვან ის ცემ ით
ბედიის	ბედი ის
კუთხის	კუთხ ის
ლეგიონებში	ლეგიონ ებში
უკანასკნელ	უ კანასკნე ლ
პორტრეტების	პორტრეტ ების
მაშინდელ	მა ში ნდელ
ინჟინერთა	ი ნჟინე რ თა
ბაზის	ბაზის
შენაკადია	შე ნაკად ია
გარკვეულად	გა რკვეულ ად
ხისაგან	ხ ისა გან
ტაილერის	ტაილ ერის
გაჩნდეს	გაჩნ დეს
ზღვრული	ზღვრ ული
მტკივნეული	მტკივნ ეული
შეტევის	შეტევ ის
ვლადიმერ	ვლადი მერ
იფანტება	ი ფანტ ება
ბრენდან	ბრენდ ა ნ
აიარ	ა ი არ
კრძალავდნენ	კრძალ ა ვდნენ
მცენარეების	მცენარ ეები ს
გადარჩენას	გადა რჩენ ას
იტალიიდან	იტალი იდან
მერქანი	მერქან ი
აღადგინოს	აღ ადგინ ოს
შეფარდება	შე ფარდ ება
ბილი	ბ ილი
