გამოსხივება	გამოსხივ ებ ა
მიფრინავდა	მი ფრინავ და
მაჰმადიანები	მა ჰმადიან ები
დაუვიწყარი	დაუ ვიწყ არი
კართაგენის	კართა გენ ის
რომლისაგანაც	რომ ლ ისაგანაც
შეთანხმება	შეთანხმ ებ ა
არსებობის	არსებ ობ ის
მადრიდის	მად რიდ ის
დამტკიცებას	და მტკიცებ ას
დანგრეულ	და ნგრეულ
უცვლელ	უ ცვლელ
თამაშობდნენ	თამაშ ობ დნენ
ალბრეხტის	ალბრე ხტ ის
ვარჯიშზე	ვარ ჯიშ ზე
ხნით	ხნ ით
ბონობოს	ბონ ობ ოს
ჯუჯა	ჯ უჯ ა
პერიფერიულ	პერი ფერი ულ
ესწრებოდნენ	ე სწრებ ოდნენ
იერთებს	ი ერთ ებს
ყბების	ყ ბ ების
წაგებით	წა გებ ით
კრიტიკოსმა	კრიტიკ ოს მა
სერვიუს	სერვ იუს
მოსამარაგებლად	მოსა მარაგებ ლად
სიმპსონის	სიმპ სონ ის
დაიმკვირდა	დაიმ კვირ და
ჩინელების	ჩინ ელ ების
გადაუხვია	გადა უხვ ია
სხეულია	სხეულ ია
ბავშვური	ბავშვ ური
გარშემო	გა რშემო
ფიდეს	ფი დეს
სკამები	სკ ამ ები
გასაბერი	გასა ბერ ი
ატლეტიკოსთან	ატლ ეტიკ ოსთან
ჯარისკაცები	ჯარის კაც ები
ჩასვეს	ჩა სვ ეს
გადარჩენილთა	გადა რჩენილ თა
სიმი	სიმ ი
სამსახურების	სა მსახურ ების
ჩარტებში	ჩ არტ ებში
გამოსახულებათა	გამოსახ ულებ ათა
იაფი	ია ფ ი
არსებობაც	არსებ ობ აც
შესრულებისას	შე სრულებ ისას
დაასხეს	დაა სხ ეს
კაუჩუკის	კაუ ჩუკ ის
მამამთავარი	მა მა მთავარი
კლავდიუს	კლავდ იუს
ხანგრძლივად	ხანგრძლივ ად
მეგობრის	მეგობრ ის
რობინსონის	რობინ სონ ის
ჰეს	ჰე ს
ბარსა	ბ არ სა
ბურთთან	ბურთ თან
აღმოსავლეთმცოდნეობის	აღმო სავლეთ მცოდნეობის
ვსვამ	ვ სვამ
თავკაცი	თავ კაც ი
ხეებსა	ხე ებ სა
გაიფანტა	გაი ფანტ ა
რჩებიან	რჩ ებიან
დედოფალს	დედო ფალ ს
წარმატებით	წარ მატებ ით
მოზაიკა	მოზა იკ ა
დაფრინავენ	და ფრინავ ენ
ორგანიზმთა	ორგანიზმ თა
ბლეკმორი	ბ ლეკ მორი
ბრუნვითი	ბრუნ ვ ითი
ბუდისტი	ბუდ ისტ ი
საკრავი	სა კრავ ი
სენი	ს ენ ი
მოხვედრით	მო ხვედრ ით
ძალაც	ძალ აც
იზაბელას	იზა ბელ ას
ნააზრევის	ნააზრ ევ ის
ბობი	ბ ობ ი
არაბმა	არა ბ მა
ლატვია	ლატ ვი ა
ფორმატები	ფორმ ატ ები
მეფეზე	მე ფე ზე
უშანგი	უშ ანგ ი
ვისკის	ვი სკის
შიგნიდან	შიგ ნ იდან
ქათამი	ქათა მ ი
ჩოლოყაშვილმა	ჩოლოყ აშვილ მა
გაჭრილია	გა ჭრილ ია
განაპირობებს	განა პირობებ ს
ასაკთან	ასა კ თან
შენიშნავს	შე ნიშნავ ს
ეგეოსის	ეგეო ს ის
ვახტანგი	ვახტ ანგ ი
კონფიგურაციის	კონფი გურაც იის
კალათების	კალ ათ ების
იულიას	იუ ლი ას
რეგიონებია	რეგიონ ებ ია
იერიშებს	იერი შ ებს
აგურისა	ა გურ ისა
წმინდანის	წმინდ ან ის
სტანდარტს	სტ ანდარტ ს
ნაკლოვანებები	ნაკლოვან ებ ები
მიმდინარეობდა	მი მდინარეობ და
შედევრია	შედევ რ ია
ავალებს	ა ვალ ებს
მოგონება	მო გონებ ა
მილეტის	მი ლეტ ის
არეულობით	არე ულობ ით
საქართველოში	საქართველ ო ში
ეპისტოლე	ეპ ისტოლ ე
კრიმინალთან	კრიმინ ალ თან
ნაბოკოვის	ნაბო კოვ ის
რაზმიც	რა ზმ იც
ანდრეი	ანდ რე ი
რელიკვია	რელი კვი ა
გამოფენის	გამო ფენ ის
სმითმა	სმი თ მა
ორთოდოქსული	ორთო დოქს ული
დანაშაულს	დანაშაულ ს
უფსკრულის	უფსკრ ულ ის
ღორღიან	ღ ორ ღიან
დროშას	დროშ ას
კვარტალი	კვარ ტალ ი
მასკერანოს	მასკე რან ოს
საქართველოზე	საქართველ ო ზე
პატრონაჟის	პატრონ აჟის
ხელსაწყოებს	ხელსაწყ ოებ ს
სინგლებს	სი ნგლ ებს
ლიკას	ლიკ ას
ბეჭედს	ბე ჭედ ს
სტუდენტთა	სტუ დენტ თა
ბრაზილიელებმა	ბრაზილი ელ ებმა
ტაქტიკა	ტ აქტიკ ა
სულთანატის	სულ თან ატის
პორტებს	პორტ ებს
წინასწარმეტყველების	წინასწარმეტყველ ების
გიბრალტარის	გიბრალ ტარ ის
ელიფსის	ელი ფს ის
გადაწყვეტას	გადა წყვეტ ას
ოსმალეთისათვის	ოსმალ ეთ ისათვის
მონებით	მონ ებით
მოჩუქურთმებული	მო ჩუქურთმ ებული
სიძველეთა	სიძველ ე თა
ფენებში	ფენ ებ ში
ომის	ომ ის
მოსაკლავად	მოსა კლავ ად
კონტინენტიდან	კონტინენტ იდან
ტომობრივი	ტომ ობრივი
კაბუკის	კა ბუკ ის
დაგ	და გ
ხელმოკლე	ხელ მოკლე
კარიჭაშვილი	კარიჭ აშვილ ი
სვეტზე	სვე ტ ზე
დანერგვას	დანერგ ვ ას
სეთი	ს ეთ ი
ვირაკოჩას	ვირაკო ჩ ას
ტანსაცმელს	ტან საცმელ ს
შემობრუნება	შემო ბრუნებ ა
წვრთნა	წვრთნ ა
სოხუმის	სოხ უმ ის
შეჩერების	შე ჩერ ების
პოპულარულია	პოპულარულ ია
მომავალ	მო მავალ
მიწერა	მი წერ ა
შოშიტა	შოშ იტ ა
ჯერემი	ჯერ ემ ი
ჟანრს	ჟანრ ს
არატრადიციული	არა ტრადიცი ული
ფუფუნების	ფუ ფუნ ების
კონსოლის	კონ სოლ ის
მათგანი	მა თგან ი
თავისებურად	თავისებურ ად
შერეული	შე რეულ ი
ბაქსი	ბაქ ს ი
მოგრძო	მო გრძ ო
დამყარებისათვის	და მყარებ ისათვის
ვენესუელას	ვენესუ ელ ას
სამეკლესიიანი	სამ ეკლესი იანი
არბიტრაჟის	ა რბიტრაჟ ის
მაჩაბლის	მაჩა ბ ლის
მიფრინავს	მი ფრინავ ს
ხმლებით	ხმ ლ ებით
კომიქსში	კომ იქს ში
ჯესი	ჯე სი
ჰეროდოტე	ჰერო დოტე
ნოემბერი	ნო ემბერ ი
ურწმუნო	უ რწმუნ ო
დაკისრებული	დაკისრ ებულ ი
დაიჭერენ	დაი ჭერ ენ
შედგებოდა	შედ გებ ოდა
ბეწვიანი	ბ ეწვ იანი
ნაპირზეა	ნაპირ ზეა
რაჰმანი	რაჰ მან ი
ჩხავერი	ჩხავ ერ ი
იცვლებოდა	ი ცვლ ებოდა
სერვისით	სერვ ის ით
ცვლილებაზე	ცვლ ილებ აზე
მყარი	მყარ ი
ტენდენციას	ტენ დენცი ას
მათგან	მა თგან
დამკვირვებელი	დამ კვირვებ ელი
კაბადოკიის	კაბადო კი ის
მეცადინეობაში	მეცადინ ეობ აში
შესაქმის	შე საქმ ის
ვოლდემორს	ვოლდე მორ ს
დაიწია	და იწ ია
ფლეტჩერის	ფლეტ ჩერ ის
კუხის	კ უხ ის
ირგვლივ	ირგვ ლი ვ
რაინდის	რაი ნდ ის
გამოირიცხოს	გამო ირიცხ ოს
ჩინელებს	ჩინ ელ ებს
ლიტერატურულ	ლიტერატურ ულ
გაღება	გა ღებ ა
იერუსალიმი	იერუსა ლიმ ი
ყოველწლიური	ყოველ წლიურ ი
წვის	წვ ის
მსახური	მსახურ ი
სიგრძეზეა	სიგრძ ე ზეა
დარღვეული	და რღვე ული
ოთხიდან	ოთხ იდან
მოდაში	მო დ აში
რობაქიძე	რობაქ იძ ე
ფაშა	ფა შ ა
დაცემამდე	და ცემ ამდე
დასარულს	დასა რულ ს
დაედევნენ	დაე დევნ ენ
დრიფტის	დ რიფტ ის
დანიშნულ	და ნიშნულ
კონცერნი	კონც ერნ ი
დომენიკო	დომ ენ იკო
ესაა	ე სა ა
კოკა	კოკ ა
ფშაური	ფ შა ური
საყვირის	სა ყვირ ის
ხმარობდა	ხმარ ობ და
მონაწილეობს	მონაწილ ეობ ს
უნიკალურია	უნიკ ალურ ია
დაუმარცხებელი	დაუ მარცხებ ელი
მინაწერში	მინა წერ ში
მონე	მ ონ ე
ნიბელუნგების	ნიბელ უნგ ების
აგურითა	ა გურ ითა
მიაყენებს	მი აყენ ებს
ჯერარდმა	ჯერ არდ მა
თეორიასთან	თეო რი ასთან
გავრცელებისას	გა ვრცელებ ისას
უმეტეს	უმეტეს
მონათმფლობელობის	მონათ მფლობელ ობის
კომისიას	კომისი ას
ყელით	ყელ ით
ჩამებარებინა	ჩამე ბარ ებინა
აქვეყნებს	ა ქვეყნებ ს
ერთნაირი	ერთ ნაირ ი
სასტარტო	სასტა რტ ო
მინას	მინ ას
მრავალფეროვნების	მრავალფეროვნებ ის
საღებავებით	საღებ ავ ებით
წლებს	წლ ებ ს
ბეჭდური	ბეჭდ ური
ელჩობას	ელჩო ბ ას
საღმრთო	სა ღმრთო
ღიობის	ღი ობ ის
მაჰმადის	მა ჰმად ის
წყალსაცავების	წყალ საცავ ების
კინორეჟისორის	კინო რეჟისორ ის
გაგრძელების	გა გრძელებ ის
ხალხთა	ხალხ თა
შლილი	შლილ ი
ხნის	ხნ ის
ჩეხოსლოვაკია	ჩეხო სლოვაკ ია
მთლიანობაში	მთლ იანობ აში
ალეუტის	ალე უტ ის
მოპოვების	მო პოვებ ის
გამოხდით	გამო ხდ ით
ფონემა	ფონ ემ ა
ცხოვრებისეულ	ცხოვრებ ისეულ
სერბულ	სერ ბ ულ
მიანიჭეს	მ იანიჭ ეს
წინასიტყვაობაში	წინასიტყვა ობ აში
ადგილობრივი	ადგილ ობრივ ი
წარმოჩენილი	წარმო ჩენილ ი
გვევლინება	გვევლინ ება
ჯგუფების	ჯგუფ ებ ის
ბელინსგაუზენის	ბელ ინ სგაუზენის
დიქტატურა	დიქტა ტურ ა
კულტურებს	კულტურ ებს
ვიკინგების	ვიკ ინგ ების
წიგნმა	წიგნ მა
მარიამის	მარი ამ ის
ქცეულიყო	ქცეულ იყო
ფსიქიატრიული	ფსიქი ატრ იული
ალთაის	ალ თა ის
მაიმუნებს	მა იმუნ ებს
ელექტროსადგური	ელექტრო სადგურ ი
გადაღმა	გადა ღმ ა
შეუცვლელად	შეუ ცვლ ელად
სიქსერსის	სიქს ერს ის
წაიღო	წა იღ ო
დამსახურების	და მსახურებ ის
მემკვიდრეობითობის	მემკვიდრეობით ობ ის
დღეებს	დღე ებს
იქნეს	ი ქნ ეს
აღარასოდეს	აღარა ს ოდეს
ერთმა	ერთ მა
იმპოსტებს	იმ პოსტ ებს
შედეგების	შე დეგ ების
ბანას	ბან ას
ფრთას	ფ რთ ას
რომან	რომ ან
შეადარეს	შეა დარ ეს
გამოყენებაზე	გამო ყენებ აზე
შეიცვალა	შეი ცვალ ა
იმარჯვა	იმარჯვ ა
ლუფტვაფეს	ლუ ფტ ვაფეს
ლეგალური	ლეგ ალურ ი
ანგარიშზეა	ანგარიშ ზეა
ფენისაგან	ფენ ისაგან
კომიტეტების	კომ იტეტ ების
მოთავსდა	მო თავსდ ა
ილუსტრირებული	ილუ სტრ ირებული
გადაამუშავა	გადაა მუშავ ა
ასკანის	ა სკან ის
ვითარდებოდა	ვითარ დებ ოდა
ცოდნამ	ცოდნ ამ
სავიოლინო	სა ვიოლინ ო
მონოპოლიური	მო ნოპოლი ური
მრავალჯერ	მრავალ ჯერ
ორგანოში	ორგან ო ში
სკოტმა	სკ ოტ მა
ჩვენებას	ჩვენებ ას
განმტკიცებას	გან მტკიცებ ას
დანიშნულებაა	დანიშნ ულებ აა
ვერცხლის	ვერც ხლ ის
მიცემით	მი ცემ ით
ტომებად	ტომ ებ ად
ზოდიაქოს	ზოდი აქ ოს
არასამეწარმეო	არასამე წარმე ო
წარდგენის	წარ დგენ ის
ნაკადისაგან	ნა კად ისაგან
მაკედონელები	მაკედონ ელ ები
სიმონს	სი მონ ს
მიუახლოვდნენ	მი უახლოვდ ნენ
შემტევი	შემ ტევ ი
ჰორაციუს	ჰორაცი უ ს
ხშირია	ხშირ ია
იწყებს	ი წყებ ს
რომელსაც	რომ ელ საც
განიზრახეს	განი ზრახ ეს
დაყოვნების	და ყოვნებ ის
ტაძრის	ტაძრ ის
ჩვილი	ჩ ვილ ი
ალბომებიდან	ალბომ ებ იდან
ჩონჩხები	ჩონ ჩხ ები
ანტარქტიკის	ანტ არქტიკ ის
პერსონაჟებთან	პერსონ აჟ ებთან
ამალის	ა მალ ის
ველსა	ველ სა
ტექნიკების	ტექნიკ ების
მომღერალმა	მომღერ ალ მა
ტელესერიალი	ტელესერ იალ ი
ცეკვას	ცეკვ ას
მამაკაცებთან	მამა კაც ებთან
მონელების	მო ნელებ ის
დას	დ ას
გამოსაცდელი	გამო საცდელ ი
პარალელურია	პარალელ ურ ია
პროსტიტუცია	პრო სტიტუცი ა
უმცირესობათა	უმცირეს ობ ათა
ციკლ	ც იკლ
ფინალების	ფინალ ების
ბებერი	ბე ბერ ი
სესილი	ს ესილ ი
მედიის	მედი ის
ღიობები	ღი ობ ები
წყლებს	წყლ ებს
დოკუმენტია	დოკუ მენტ ია
არსებობისა	არსებ ობ ისა
წარწერებში	წარ წერებ ში
ინტერესებისათვის	ინტერესებ ისათვის
უზენაესმა	უზენა ეს მა
შესძლებოდა	შე სძლ ებოდა
ავტოკატასტროფაში	ავტო კატასტროფა ში
ბროდვეის	ბროდ ვეი ს
ბაჰადურ	ბა ჰად ურ
მეცნიერ	მეცნიერ
ფრინველებით	ფრინველ ებ ით
მარტინეს	მარტ ინ ეს
დიუნების	დიუ ნებ ის
გადაუარა	გადა უარ ა
დასჯით	და სჯ ით
სამყაროს	სამყარ ო ს
წევრთა	წევრ თა
გახმოვანება	გა ხმოვანებ ა
ჩამოიყვანა	ჩამო იყვან ა
ყოფითი	ყოფ ითი
მესაქონლეობას	მესაქონლ ეობ ას
ედოს	ედ ოს
თავდასასხმელად	თავდასა სხმელ ად
პროტექტორატის	პროტექტორ ატ ის
პროგრამებს	პრო გრამ ებს
თბილისსა	თბი ლის სა
წევრების	წევრ ებ ის
დაჰყვეს	და ჰყვ ეს
მიქსები	მ იქს ები
შასი	შა ს ი
ახშობდა	ა ხშობ და
პროვოცირება	პროვოც ირებ ა
ნინას	ნინ ას
რევოლუციისა	რ ევოლუცი ისა
ქვეყანად	ქვ ეყანა დ
მოიწონა	მოი წონ ა
ნილოსში	ნილოს ში
მემუარებში	მემ უარ ებში
პეტრე	პე ტრ ე
ბოთლები	ბო თლ ები
სამთავრომ	სამთავრ ო მ
უკანასკნელთ	უკანა სკნელ თ
პალეონტოლოგიის	პალეონტ ოლოგი ის
მიღების	მი ღებ ის
ახასიათებთ	ა ხასიათებ თ
მოჭედილი	მო ჭედ ილი
ბეატრის	ბე ატრ ის
ავსტრიასთან	ავს ტრი ასთან
ვაზის	ვაზ ის
კვლევას	კვლევ ას
გულით	გულ ით
ქვეყანაზე	ქვ ეყანა ზე
პარმენიონის	პარმენი ონი ს
შალვა	შა ლვ ა
განაჩენი	განა ჩენ ი
კლიმატზე	კლი მატ ზე
გაშენება	გა შენ ება
ქალღმერთის	ქალ ღმერთ ის
აღმოჩენილი	აღმო ჩენილ ი
ხელვაჩაურის	ხელვაჩა ურ ის
მოთამაშეებს	მოთამაშ ე ებს
წინასწარმეტყველს	წინასწარმეტყველ ს
სეულის	სე ულ ის
ვანდა	ვან და
მიატოვეს	მია ტოვ ეს
უმეტესი	უმეტეს ი
ატლანტისი	ატლ ანტ ისი
შეიქნა	შეი ქნ ა
თვლიდა	თვლ იდა
ენებსაც	ენ ებ საც
წოდებით	წოდებ ით
სრუტეს	სრუტ ე ს
ლითონს	ლითო ნ ს
ხასიათის	ხასიათ ის
მართავენ	მართავ ენ
სინდარულად	სინ დარ ულად
ლანდშაფტში	ლანდშა ფტ ში
ქრისტიანებს	ქრისტიან ებს
ბერბატოვმა	ბერბა ტოვ მა
ბრაზილიისა	ბრაზ ილი ისა
ტვირთების	ტვირთ ების
გამომიგზავნის	გამომი გზავნ ის
გროვაში	გროვ აში
მზრუნველობას	მზრუნველ ობ ას
თანამშრომლობდნენ	თანამშრომ ლობ დნენ
გრაფიკული	გრაფ იკ ული
დროგბა	დროგ ბ ა
ენთუზიაზმი	ენთუზია ზმ ი
ნაგებობებით	ნაგებ ობ ებით
ტრანსლაცია	ტრანსლ აცი ა
აქტივისტების	აქტივ ისტ ების
ფუძიდან	ფუ ძ იდან
ბარტონის	ბარ ტონ ის
ემბრიონის	ემბ რიონ ის
საელჩოში	სა ელჩო ში
მოკრივე	მო კრ ივე
საღვინე	სა ღვინ ე
იბრძოლა	ი ბრძოლ ა
განტოლებების	განტოლ ებ ების
ურიგოდ	უ რიგო დ
ფირფიტების	ფირფიტ ების
ცუცხვათის	ცუცხ ვათ ის
დიალექტებს	დიალ ექტ ებს
სამხრეთისა	სა მხრეთ ისა
შემოსვლამ	შემო სვლ ამ
გავითვალისწინოთ	გავ ითვალისწინ ოთ
შრეთა	შ რე თა
გააღვივა	გა აღვივ ა
შეერთებოდა	შე ერთებ ოდა
პოტენციალს	პოტ ენციალ ს
ასწავლიან	ა სწავლ იან
რიტუალით	რიტუალ ით
სექსის	ს ექს ის
გადააგდეს	გადა აგდ ეს
გამოცემას	გამო ცემ ას
განმარტებას	განმარტ ებ ას
შენელებას	შე ნელებ ას
სახელოები	სახელ ო ები
სიუჟეტების	სიუჟ ეტ ების
გერმანულ	გერმა ნულ
პორტში	პორტ ში
მუსლიმთა	მუს ლიმ თა
ბომბები	ბომბ ები
მონუმენტური	მონუ მენტ ური
მატი	მატ ი
დადასტურდა	დადასტურ დ ა
ბავშვებზე	ბავშვ ებ ზე
წყლებმა	წყლ ებ მა
დადგება	და დგ ება
მხარეები	მხარე ები
სესახებ	სე სახე ბ
კონტინენტები	კონტინენტ ები
ესპანეთიდან	ესპან ეთ იდან
მიღწეულია	მი ღწეულ ია
მოპარვა	მო პარ ვა
კოკაინს	კოკა ინ ს
კუბური	კუბ ური
აქცევდა	ა ქცევ და
დენთის	დენ თ ის
გასაცნობად	გასა ცნობ ად
შემოწირულობების	შემოწირ ულობ ების
დამაარსებელია	დამაარსებ ელ ია
კანონზომიერებებს	კანონზომ იერებ ებს
დუშან	დუ შან
კაპაკი	კა პაკ ი
კოლუმბამდელი	კოლუმბ ამდელ ი
კრატერის	კრატ ერ ის
ნიშანდობლივია	ნიშანდ ობლივ ია
ერვინ	ერ ვინ
სარკის	სა რკ ის
შესძლო	შე სძლ ო
თვითმფრინავიდან	თვითმ ფრინავ იდან
ერმიტაჟი	ერმიტ აჟ ი
სინგურით	სინ გურ ით
პორტრეტებს	პორტრეტ ებს
ლაგუნაში	ლაგ უნ აში
საზღვრებს	საზღვრ ებ ს
სეპარატისტული	სეპარატ ისტ ული
შეყვანილია	შე ყვანილ ია
ხალხისა	ხალხ ისა
შირაზის	ში რაზ ის
პროფილაქტიკაში	პროფილ აქტიკ აში
უხერხემლო	უხერხემ ლო
წიგნისთვის	წიგნ ისთვის
ჩაიტანა	ჩა იტან ა
ტენოჩტიტლანის	ტენოჩტიტლ ანი ს
ტილი	ტი ლ ი
ხორბლისფერი	ხორბლ ისფერ ი
სულისაგან	სულ ისაგან
თვითმმართველობას	თვითმ მართველობ ას
დაგეგმილ	და გეგმილ
ავალ	ა ვალ
კვანძს	კვანძ ს
რიტუალი	რიტუალ ი
მოსახლის	მო სახლ ის
კატალონიელი	კატალო ნიელ ი
ჰაერის	ჰა ერ ის
არითმეტიკის	არითმ ეტიკ ის
ლუარსაბ	ლუარსა ბ
მაგარმ	მა გარ მ
ინდივიდთა	ინდივიდ თა
არხ	არხ
დღიურს	დღიურ ს
პლაკატი	პლა კატ ი
მიმართულებას	მიმა რთულებ ას
ჭრილობები	ჭრილ ობ ები
ინგლისთან	ინგ ლის თან
დააბრუნა	დაა ბრუნ ა
ზღვარს	ზღვარ ს
ფორუმების	ფორ უმ ების
გასაიდუმლოებული	გასა იდუმლო ებული
იდენტიფიკაციის	იდენტიფიკაცი ის
მოიარა	მო იარ ა
ახდენდა	ა ხდენ და
ნაწარმოებებს	ნაწარმოებ ებ ს
პორტს	პორტ ს
ტექნიკაზე	ტექნიკ აზე
მოტორული	მო ტორ ული
ასტრახანში	ასტრა ხან ში
ასლს	ას ლ ს
უარს	უ არ ს
შენადნობებში	შენა დნობ ებში
ინდივიდებს	ინდივიდ ებს
შემოჰქონდათ	შემო ჰქონდ ათ
წარმართვის	წარ მართ ვის
ალპებს	ალპ ებ ს
მარცხისა	მარცხ ისა
დეკორაცია	დეკორ აცი ა
კეი	კე ი
დაჩქარების	და ჩქარ ების
წინასწარაა	წინას წარ აა
დანარჩენებს	დანა რჩენ ებს
ეგზოტიკურ	ეგზო ტიკურ
დააფიქსირეს	დაა ფიქსირ ეს
ნიდერლანდების	ნიდერ ლანდ ების
გველს	გველ ს
ცეკვების	ცეკვ ების
ხილვის	ხილვ ის
გაატაროს	გაა ტარ ოს
მოპოვებას	მო პოვებ ას
სიტუაციიდან	სიტუ აცი იდან
გამოგზავნილ	გამო გზავნ ილ
ქსერქსე	ქს ერქსე
სასმელია	სა სმელ ია
კემბრიჯის	კემბრ იჯ ის
კლასად	კლას ად
გაეწმინდა	გაე წმინდ ა
დღესასწაულების	დღე სასწაულ ების
მორგოთის	მორ გოთ ის
ამგვარად	ამ გვარ ად
რონს	რონ ს
უაილდი	უაილ დ ი
ძიუდო	ძი უდ ო
წყობას	წყობ ას
ხდებიან	ხდ ებიან
ზონაში	ზონ აში
გარდაცვლილები	გარდა ცვლილ ები
ლეგიტიმაცია	ლეგი ტიმ აცია
მთრიმლავი	მთრიმ ლავ ი
სასახლეთა	სა სახლე თა
საჰაერო	სა ჰა ერო
აირს	ა ირ ს
გზად	გზ ად
სვამდა	სვამ და
ჰესი	ჰ ეს ი
ვარგისი	ვარგის ი
ჟღერადობა	ჟღერ ადობ ა
მარადონა	მარად ონ ა
კიდე	კ იდე
რემიქსები	რემ იქს ები
ფლორენციაში	ფლორ ენცი აში
გამართლება	გა მართლებ ა
გადაზიდვის	გადა ზიდვ ის
სიღნაღი	სიღნა ღი
შეკავების	შე კავებ ის
გენერლების	გენე რლ ების
ბრალდებული	ბრალდ ებულ ი
ფლობენ	ფ ლობ ენ
ბურჟუაზიის	ბურჟუ აზი ის
ხერხები	ხერხ ები
ხმამ	ხმ ამ
მუხრანბატონმა	მუხრან ბატონ მა
არხის	არ ხ ის
ცენტრში	ცენტრ ში
გადასაფარებელი	გადა საფარ ებელი
კლება	კლებ ა
ერთეულზე	ერთ ეულ ზე
ლაბორატორიაში	ლაბორ ატორი აში
დაშლას	და შლ ას
გრაფიკულ	გრაფ იკ ულ
დეტალებში	დე ტალ ებში
წნევის	წ ნევ ის
კონფლიქტით	კონფლი ქტ ით
ნახევარმცველად	ნახევარ მცველ ად
ვარსკვლავია	ვარსკვლავ ია
დაწერილობა	და წერილ ობა
ლიტვაზე	ლიტ ვ აზე
ხანამდე	ხ ან ამდე
ნორფოლკის	ნორ ფოლკ ის
მუქი	მ უქ ი
სრიალის	ს რიალ ის
ნგრევას	ნგრევ ას
კორეის	კორ ე ის
ძეგლში	ძეგლ ში
დიდია	დიდ ია
აუწყეს	ა უწყ ეს
ნაღდი	ნა ღ დი
რამდენი	რამდე ნ ი
დაუცხრომელი	დაუცხრომ ელ ი
დაბლობებში	დაბლ ობ ებში
სასიამოვნოა	სასი ამოვნ ოა
სააგენტომ	სააგენ ტო მ
გამხდარა	გა მხდარ ა
ჩაიკეტა	ჩაი კეტ ა
გაყოფის	გა ყოფ ის
თუტმოს	თ უტ მოს
მიაჩნდათ	მი აჩნ დათ
შესძლებდა	შე სძლ ებდა
კონუსს	კონ უს ს
შეასრულა	შე ასრულ ა
ნარკვევები	ნა რკვევ ები
ცელესტინ	ცელ ესტ ინ
ჯეიმსის	ჯეიმ ს ის
ბაღში	ბაღ ში
გამოარჩია	გამო არჩი ა
გამოწვის	გამო წვ ის
დარბაზში	და რბაზ ში
გადააჭარბა	გადაა ჭარბ ა
ეყოლებოდა	ე ყოლ ებოდა
კეისარის	კე ისარ ის
ნავსადგური	ნავ სადგურ ი
შემდეგი	შემ დეგ ი
ნედლეული	ნედ ლეულ ი
უმაღლესია	უმაღლ ეს ია
ყაზახები	ყაზ ახ ები
სიბნელის	სი ბნელ ის
კორეული	კორ ე ული
არითმეტიკული	არითმ ეტიკ ული
მოდელი	მო დელ ი
იუველირის	იუველირ ის
მოლეკულებს	მოლე კულ ებს
სამთამადნო	სამთა მადნ ო
ტოლგვერდა	ტოლ გვერდ ა
წარსულს	წარ სულ ს
კუნძულებია	კუნძულ ებია
წაყვანას	წა ყვან ას
ჩინეთისა	ჩინ ეთ ისა
ცხოველებია	ცხოველ ებ ია
უპირველეს	უპირველ ეს
აირჩიოს	აირ ჩი ოს
აჩქარებს	აჩქარ ებ ს
ასტრახანის	ასტრა ხან ის
კომპანიისგან	კომპ ანი ისგან
მანიშნებელი	მა ნიშნებელი
იერს	ი ერ ს
მითს	მი თ ს
მშრომელთა	მშრომ ელ თა
ხვიარა	ხვ იარ ა
ბაიერის	ბა იერ ის
ჰელიუმის	ჰელი უმ ის
სთხოვა	სთხოვ ა
კომუნისტურმა	კომუნ ისტ ურმა
რეზერვის	რეზერვ ის
გაუჩინარდა	გა უჩინარ და
ნიშა	ნ იშ ა
სია	სი ა
ყოველდღიურად	ყოველ დღიურ ად
გადაბმული	გადა ბმულ ი
ეპოქებში	ეპ ოქ ებში
მიკროტალღოვანი	მიკრო ტალღ ოვანი
პიგმეები	პიგმ ე ები
ყუმურის	ყუ მურ ის
გვსურდა	გვ სურ და
დაწნული	და წნ ული
კონსტანტინემ	კონსტ ანტინ ემ
ახალგაზრდულ	ახალგა ზრდ ულ
ნავთობპროდუქტები	ნავთობ პროდუქტ ები
გამოეცათ	გამო ეც ათ
ელიზაბეტი	ელიზა ბეტ ი
კატისებრთა	კა ტ ისებრთა
ჯულიეტას	ჯული ეტ ას
გამზირის	გა მზირ ის
შეყვარებულები	შეყვარ ებულ ები
სტეპან	სტ ეპ ან
კეისარმა	კე ისარ მა
მილანს	მი ლან ს
გრაფის	გრაფ ის
ფლოტში	ფლ ოტ ში
ალქაჯი	ალქა ჯ ი
რწმენაზე	რწმენ აზე
მოლეკულაში	მოლე კულ აში
დავალების	დავალ ებ ის
აჩენს	ა ჩენ ს
კარნეგი	კარ ნეგ ი
მან	მ ან
აშენებულ	ა შენებულ
საბჭოში	საბჭო ში
დედაქალაქად	დედა ქალაქ ად
საპირისპიროს	სა პირისპირო ს
გაფანტა	გა ფანტ ა
უილიამი	უილი ამ ი
ფარგლებს	ფარგლ ებს
უნიფიცირებული	უნი ფიცირებ ული
ჰიბრიდი	ჰიბრი დ ი
გეოლოგმა	გეო ლოგ მა
დავთარში	დავ თარ ში
ქონდარა	ქონდ არა
ანნა	ან ნ ა
ნაშიერს	ნაშ იერ ს
მიღებისა	მი ღებ ისა
კომპილაცია	კომპ ილაცი ა
ტელეფონის	ტელე ფონ ის
საუბარი	საუ ბარ ი
განახორციელოს	განა ხორციელ ოს
რამდენიმეწლიანი	რამდენი მე წლიანი
