გამოსხივება	გამო სხივებ ა
ანხორციელებს	ან ხორციელებ ს
გაყო	გა ყ ო
ინტენსივობის	ინტენსივ ობ ის
ადგილების	ადგილებ ის
იუგოსლავია	იუგო სლავ ია
პირამიდების	პირამ იდ ების
ქადაგებით	ქადაგებ ით
ტურის	ტურ ის
ნაკრძალის	ნა კრძალ ის
პედაგოგები	პედა გოგ ები
გეოლოგი	გე ოლოგ ი
როკის	რო კ ის
ტექნიკურმა	ტექნიკ ურმა
კრიტერიუმები	კრიტერი უმ ები
ვაჩნაძე	ვაჩ ნაძ ე
აზოტმჟავის	აზოტ მჟავ ის
ურთიერთპერპენდიკულარული	ურთიერთპერ პენდიკულარულ ი
ძაღლების	ძაღლ ების
მინისტრად	მი ნისტრ ად
ჭაბუკთა	ჭა ბუკ თა
განთავსდა	გან თავსდ ა
პასუხებს	პასუხ ებს
სიმღერაზე	სი მღერ აზე
ქლიავი	ქ ლი ავი
სიცივეს	სიც ივ ეს
შეხედულების	შეხედ ულებ ის
კოდია	კო დ ია
ქულები	ქ ულ ები
ამისთვის	ამის თვის
მოახლოებული	მო ახლოებ ული
ისტორიები	ისტორი ები
ორგანოებისა	ორგანო ებ ისა
გზამკვლევი	გზამ კვლევ ი
გამოხატვა	გამო ხატვ ა
მოგებით	მო გებ ით
ზარს	ზარ ს
ბასაევის	ბასა ევ ის
განასხვავებდა	განა სხვავებ და
იცავდნენ	იცავ დნენ
ხელშეკრულების	ხელშეკრულებ ის
საშინაო	სა შინა ო
გეოგრაფიულმა	გეო გრაფი ულმა
საზღაურს	საზღა ურ ს
სრუტეების	სრუ ტე ების
დომინირებას	დომინ ირებ ას
ესთეტიკურ	ესთეტ იკ ურ
იგავები	ი გავ ები
სახელმწიფოებისა	სახელმწიფო ებ ისა
ლოჟის	ლო ჟ ის
მღვრიე	მღვ რი ე
თავისუფლებით	თავისუფლებ ით
ძმა	ძმ ა
მეთევზეთა	მეთევზ ე თა
მზესთან	მ ზე სთან
პარტიზანებმა	პარტი ზან ებმა
ერთობის	ერთ ობ ის
მარცვლოვანი	მარ ცვლ ოვანი
დებიუტანტი	დებიუტ ანტი
სართულს	სა რთულ ს
განსხვავებით	გან სხვავებ ით
მეფისთვის	მე ფის თვის
აეღო	ა ეღო
გასართობად	გასა რთობ ად
არგენტინასთან	არგ ენტინ ასთან
შეტყობინებების	შე ტყობინებ ების
თავმჯდომარეს	თავმ ჯდომარე ს
პოეზიისა	პო ეზი ისა
დამუშავების	და მუშავებ ის
შეცვლილიყო	შე ცვლილ იყო
მოპოვებისათვის	მო პოვებ ისათვის
სართულშუა	სა რთულ შუა
საამისოდ	სა ამის ოდ
სპეციალისტებს	სპეცი ალისტ ებს
საჭიროებისათვის	სა ჭიროებ ისათვის
აქლემი	აქლე მ ი
გამრავლებისას	გა მრავლებ ისას
ორჰან	ორ ჰან
ფესტივალში	ფესტივალ ში
ვედურ	ვედ ურ
თოვს	თ ოვ ს
მიუწვდომელი	მიუ წვდომ ელი
აღწევდეს	ა ღწევ დეს
ქიაჩელის	ქია ჩელ ის
ადმირალი	ადმი რალ ი
თალმუდი	თალ მუდ ი
ხაზგასასმელად	ხაზგასას მელ ად
ჯუდ	ჯ უდ
ზღაპრული	ზღა პრ ული
მიართმევენ	მია რთმევ ენ
შტორმს	შტო რმ ს
აზიანებს	ა ზიანებ ს
ცკ	ცკ
ვოს	ვ ო ს
ინფექცია	ინფე ქცი ა
პეშმერგას	პეშმ ერგ ას
ჯოს	ჯო ს
სახამებლის	სახამ ებლ ის
სუპერ	სუ პერ
პიკასოს	პ იკ ასოს
ხარ	ხარ
გაცემის	გა ცემ ის
კვადრატში	კვადრ ატ ში
მეხუთე	მე ხუთ ე
სპარტაკმა	სპარ ტაკ მა
ჰომსის	ჰომ ს ის
ბრანდენბურგის	ბრანდენ ბურგ ის
კორპორაციების	კორპორ აცი ების
დანადგარი	დანად გარ ი
ეთნოსის	ეთნ ოს ის
პერპენდიკულარულად	პერ პენდიკულარულ ად
პისარო	პისა რო
გამა	გა მ ა
ინდუსტრიამ	ინდუს ტრი ამ
შემოღებულია	შემო ღებ ულია
თემასთან	თემ ასთან
იზიარებდნენ	ი ზიარებ დნენ
წარმოდგენებით	წარმო დგენ ებით
სთავაზობენ	ს თავაზობ ენ
ყურეს	ყურ ეს
ზომაც	ზომ აც
რეგიონმა	რეგიონ მა
სიკვდილია	სიკვდილ ია
ეპისკოპოსის	ეპისკოპოს ის
კითხვის	კითხვ ის
წარჩინებულთა	წარ ჩინებულ თა
ელექტრულ	ელექტრ ულ
ქვეწარმავლების	ქვეწარ მავლ ების
ზედმეტსახელად	ზედ მეტსახელ ად
წაუგებელი	წა უგ ებელი
მუზეუმებში	მუზეუმ ებში
ორთაბრძოლაში	ორთა ბრძოლ აში
რასა	რა ს ა
ჩვენებაში	ჩვენებ აში
კოჭის	კო ჭ ის
ტვინის	ტ ვინ ის
ეფექტის	ეფექტ ის
ალაზნის	ალა ზნ ის
ყარაღანდის	ყარაღ ანდ ის
კონცხს	კონ ცხ ს
შემუშავების	შე მუშავებ ის
მოიგეს	მო იგ ეს
მოხერხდა	მო ხერხ და
რონალდოს	რონ ალდ ოს
მეგობართა	მეგო ბარ თა
ტრაპეზზე	ტრაპ ეზ ზე
მოიხმარდა	მო იხმარ და
პოპულარიზაციის	პოპულ არიზაცი ის
ღვაწლს	ღვაწ ლ ს
ტბასა	ტბ ასა
სეზონზე	სე ზონ ზე
ძმები	ძმ ები
ველს	ველ ს
რეის	რ ე ის
გვერდების	გვერდ ების
მწყემსი	მწყემ ს ი
სარკმელთა	სა რკმელ თა
ბასკურ	ბა სკ ურ
რაოდენობა	რაოდენ ობ ა
იოლია	ი ოლ ია
აღფრთოვანებულმა	აღფრთოვან ებ ულმა
ტუპაკის	ტუპ აკ ის
კომპლექსია	კომპ ლექს ია
გაკეთებაც	გა კეთებ აც
დამასკელის	დამა სკ ელის
ტრადიციით	ტრადიცი ით
მკვლელმა	მკვლელ მა
უპირატესი	უ პირატეს ი
ჯოუნსის	ჯოუნ ს ის
თავგანწირვით	თავგან წირვ ით
ჩაიძირა	ჩაი ძირ ა
მოქმედმა	მოქმედ მა
სიმწარე	სიმ წარ ე
შეწყდება	შე წყდ ება
ფუძემდებლად	ფუძემდ ებლ ად
რომანებს	რომ ან ებს
ენგურისა	ენ გურ ისა
ახალგაზრდას	ახალგა ზრდ ას
ჰარპერი	ჰარ პერ ი
მოფენილია	მო ფენილი ა
თანამმართველი	თანამ მართველ ი
კორპორაციული	კორპორ აცი ული
შედარებითი	შედა რებ ითი
შემოგარენს	შემოგარე ნ ს
ცისკარში	ცისკ არ ში
ამხელდა	ამ ხელ და
გაკეთებულია	გა კეთებ ულია
ინგლისმა	ინგ ლის მა
ყველგან	ყ ველ გან
სეიმის	სე იმ ის
დარასელია	დარას ელი ა
გაითხარა	გაი თხარ ა
შრომებმა	შრომ ებ მა
დრომდე	დრო მდე
ჩამოსვლის	ჩამო სვლ ის
ძიძა	ძ იძ ა
ლუთერის	ლუთ ერ ის
სიმბოლოა	სიმბოლ ო ა
მიღწევას	მი ღწევ ას
ასწრებს	ა სწრებ ს
გაოგნებულია	გა ოგნებ ულია
გასცემს	გა სცემ ს
გეომორფოლოგიური	გეომორფ ოლოგ იური
კომპლექსებს	კომპ ლექს ებს
დეპრესიამ	დე პრესი ამ
ყაზახეთი	ყაზა ხეთ ი
ჩავიდნენ	ჩა ვიდ ნენ
ყვავის	ყვ ავ ის
ამირანის	ამირ ან ის
ტემპერატურა	ტემპერატურ ა
გადამეტებული	გადამეტ ებულ ი
კლუბებმა	კლუბ ებმა
სამკუთხედში	სამ კუთხედ ში
ძნელად	ძნელ ად
მეურნეობას	მეურნე ობ ას
გამოითვლება	გამო ითვლებ ა
შესულია	შე სულ ია
საუცხოო	სა უცხო ო
ემუშავათ	ე მუშავ ათ
ალასკა	ალა სკ ა
დაბლაა	და ბლ აა
მკვლელების	მკვლელ ების
შუამდინარეთის	შუამდინარე თ ის
რიხტერის	რიხ ტერ ის
უნგრეთის	უნგრ ეთ ის
ფრონტი	ფრონ ტ ი
დასახლებული	და სახლებულ ი
ეკვატორულ	ეკვატორ ულ
პროექტებში	პროექტ ებში
ადასტურებდა	ადა სტურებ და
განლაგება	გან ლაგ ება
გასეირნება	გა სეირნ ება
ეხურა	ე ხურ ა
პარლამენტშიც	პარლამენტ შიც
შეცვლა	შე ცვლ ა
მაგალითებია	მა გალით ებია
ეკუთვნის	ე კუთვნ ის
მიმართოს	მი მართ ოს
შეიარაღებაში	შე იარაღებ აში
იმპერიების	იმპერი ების
ექიმს	ექიმ ს
აღწერა	აღ წერ ა
ფიგურების	ფი გურ ების
დასავლელი	და სავლელ ი
ვენერას	ვენ ერ ას
ბაგრატის	ბაგრატ ის
კონან	კონ ან
განთესილი	გან თ ესილი
მანგოს	მ ანგ ოს
ქართველიშვილი	ქართველ იშვილ ი
იმეფა	ი მეფ ა
ნახევრის	ნახევრ ის
ბადისებრი	ბად ისებრ ი
გატეხვის	გატე ხვ ის
მინერალები	მინერა ლ ები
მასკარენის	მას კარენ ის
გადმოდის	გადმო დ ის
ამილახვრის	ამილახ ვრ ის
ზუსტად	ზუსტ ად
ემუქრება	ემუქრ ებ ა
განიცდიან	განიც დი ან
ციცერონის	ციცე რონ ის
ფორდი	ფორდ ი
პრინციპით	პრინც იპ ით
წმინდად	წმინდ ად
შეუყვარდება	შეუყვარ დ ება
ერთეული	ერთ ეულ ი
დაიკავებენ	დაი კავებ ენ
ტემპერატურებს	ტემპერატურ ებს
მონასტრებს	მონასტრ ებს
თევზებით	თევზ ებით
რუკებს	რ უკ ებს
კოსოვოს	კოს ოვ ოს
დაქორწინებას	და ქორწინებ ას
გრანდიოზულ	გრანდ იოზულ
ისლამურ	ის ლამ ურ
მოინდომა	მო ინდო მა
გადაცემაში	გადა ცემ აში
დოკუმენტურად	დოკუ მენტ ურად
ჩილე	ჩი ლე
ინტელიგენცია	ინტელიგენ ც ია
საკვებზე	სა კვებ ზე
კეთილმსახურ	კეთილ მსახურ
საარტილერიო	სა არტილერი ო
ად	ად
ადგილსამყოფელი	ადგილსამყოფ ელ ი
მშვიდობით	მშვიდობ ით
სერიისგან	ს ერი ისგან
ადარებენ	ადარ ებ ენ
გაზეთი	გა ზეთ ი
დახასიათებას	დ ახასიათებ ას
კლიენტების	კლი ენტ ების
სლიმ	ს ლიმ
მოსაზრებანი	მოს აზრებ ანი
რივალდომ	რივ ალდ ომ
საგაზეთო	საგა ზეთ ო
მიშა	მ იშ ა
ისტორიით	ისტორი ით
მატარებლები	მატარ ებლ ები
ძირში	ძ ირ ში
ავსტრიელი	ავსტრი ელ ი
მელოდიური	მელოდ ი ური
მიდამოებში	მიდა მო ებში
ფასობს	ფას ობ ს
დაქვემდებარების	და ქვემდებარებ ის
იხდიდა	იხ დი და
სუფიქსი	სუ ფიქს ი
მოეწონათ	მოე წონ ათ
ოთხჯერ	ოთხ ჯერ
ფუტკრების	ფუტკრ ების
მიაყენა	მი აყენ ა
ნატეხები	ნა ტეხ ები
რადიაციულ	რადი აცი ულ
ზემფირას	ზემ ფირ ას
გადაღებაზე	გადა ღებ აზე
ასახელებდა	ა სახელებ და
საკომპოზიტორო	სა კომპოზიტორ ო
ჯგუფებიდან	ჯგუფებ იდან
ენამ	ენ ამ
რაოდენობითაა	რაოდენ ობ ითაა
ანდაზა	ანდა ზ ა
ასტრონომმა	ასტრონ ომ მა
წინადადებაში	წინადა დებ აში
იყიდა	ი ყიდ ა
რეფორმამდე	რე ფორმ ამდე
ჩარლი	ჩარ ლ ი
ჰილი	ჰილ ი
შემდგომმა	შე მდგომ მა
ფიშმა	ფ იშ მა
მიმართულ	მი მართ ულ
პორტების	პორტ ების
კარგავდნენ	კარგავ დნენ
მედიკამენტები	მედიკა მენტ ები
ბოტანიკური	ბოტა ნიკ ური
დიაოხი	დია ოხ ი
მთავარსარდლის	მთავარ სარდ ლის
შენობებში	შენ ობ ებში
კართაგენს	კართა გენ ს
წარმოსახული	წარმო სახულ ი
ქართულსა	ქა რთულ სა
ფრინველი	ფრინ ველ ი
ლაბის	ლა ბ ის
დარბევის	და რბევ ის
აღსაზრდელად	აღსა ზრდელ ად
თავმჯდომარედ	თავმ ჯდომარე დ
იქს	ი ქ ს
მასპინძლობდა	მასპინძ ლობ და
მიჩიგანის	მი ჩიგან ის
პირველი	პირველ ი
სოკოვანი	სო კ ოვანი
ტიბეტურ	ტი ბეტ ურ
კეთილი	კეთილ ი
დამყარებაში	და მყარებ აში
გრაფინია	გრაფი ნი ა
შეიტყო	შეი ტყ ო
გამტაცებლები	გა მტაცებლ ები
მოწესრიგება	მო წესრიგ ება
კაბალას	კა ბალ ას
აკავშირებს	ა კავშირებ ს
სექსტუს	სე ქს ტუს
მოხსნებით	მო ხსნ ებით
უოლკერი	უოლ კერ ი
შოტლანდიურ	შოტ ლანდი ურ
აზერბაიჯანს	აზერბაი ჯან ს
შვილზე	შვილ ზე
პონტიფიკოსის	პონტ იფ იკოსის
სხდომებზე	სხ დომ ებზე
გადამდგარი	გადა მდგარ ი
სამთავროში	სამთავრ ო ში
ნახევარმთვარის	ნახევარ მთვარ ის
ავსტრიელებს	ავსტრი ელ ებს
გადაქცევა	გადა ქცევ ა
ნაწარმოებად	ნა წარმოებ ად
სტანისლავის	სტანი სლავ ის
ფაკულტეტს	ფაკულტ ეტ ს
ტესტის	ტეს ტ ის
აივ	ა ივ
აჭარა	აჭარ ა
ფაკულტეტები	ფაკულტ ეტ ები
გაქცევა	გა ქცევ ა
ირანული	ირან ული
ცირკულაციის	ცირკ ულაცი ის
კონფლიქტმა	კონფლი ქტ მა
ორკესტრთან	ორკესტრ თან
გაბატონების	გაბატონ ებ ის
ფრენჩაიზის	ფრენჩა იზი ს
შინაარსობრივი	შინაარს ობრივ ი
დარტყმას	და რტყმ ას
პიროვნებისა	პირ ოვნებ ისა
პრეზიდენტებს	პრეზიდენტ ებს
საქმეებით	სა ქმე ებით
კამერის	კა მერ ის
გრძელყუნწიანი	გრძელ ყუნწიან ი
მომზადებით	მო მზადებ ით
ბელა	ბელ ა
მოქარგული	მოქარ გულ ი
ტენდენცია	ტენდ ენცი ა
გაქრისტიანება	გა ქრისტიან ება
წევრებისგან	წევრ ებ ისგან
ბაბილონის	ბაბი ლონ ის
ამოღებული	ამო ღებ ული
შესატანად	შესა ტან ად
ნური	ნ ური
ჰუმანური	ჰუ მან ური
სანატორიუმები	სანატორი უმ ები
ეტაპები	ეტაპ ები
იოჰანესბურგის	იო ჰან ესბურგის
შენაერთი	შენა ერთ ი
ბათილად	ბათ ილ ად
ჰკიდებენ	ჰ კიდებ ენ
მასივებს	მას ივ ებს
ოპერებში	ოპერ ებში
ოქრომჭედლობის	ოქრომჭედ ლობ ის
პროვოკაციული	პროვოკ აცი ული
ცვლილებით	ცვლილ ებ ით
გრძელვადიანი	გრძელ ვად იანი
მომარაგების	მო მარაგებ ის
კაბინეტი	კაბი ნეტ ი
გაჩენილ	გა ჩენილ
კანადურ	კან ად ურ
მარკესს	მარკ ეს ს
შეუწირავს	შეუ წირავ ს
ვარძიის	ვარ ძი ის
მოაწესრიგა	მოა წესრიგ ა
ლავური	ლავ ური
დინის	დინ ის
რომანისთვის	რომ ან ისთვის
გადაელახათ	გადაელ ახ ათ
ნიშნობის	ნიშნ ობ ის
დისკად	დის კ ად
ემიგრანტთა	ემი გრანტ თა
თერჯოლიდან	თერჯ ოლ იდან
შესრულებით	შე სრულებ ით
ეული	ე ული
სულისკვეთება	სულის კვეთ ება
მუქ	მ უქ
გაქცეულ	გა ქცეულ
დემოს	დემ ო ს
ებრაელ	ებ რაელ
წარმატებასთან	წარ მატებ ასთან
შემცირებულ	შე მცირებ ულ
ჩაუთვლელად	ჩაუ თვლ ელად
სამხრეთის	სამხრ ეთ ის
სავარუდოდ	სავარ უდ ოდ
ვოლტა	ვოლ ტ ა
მომენტში	მო მენტ ში
ამდე	ამდე
მეთოდოლოგიური	მეთოდ ოლოგი ური
ანდრონიკე	ანდრო ნიკ ე
მედლის	მედ ლ ის
ცისკარი	ცისკ არ ი
ქულიანი	ქ ულ იანი
ხარჯებს	ხარჯ ებს
თავისით	თა ვის ით
შხამის	შ ხამ ის
ბიბლიური	ბიბლი ური
განეხორციელებინა	განე ხორციელებ ინა
ემსახურება	ემსა ხურებ ა
მარტყოფი	მარტ ყოფ ი
შეგვხვდა	შეგვ ხვდ ა
მთრიმლავ	მთრიმ ლავ
პოპის	პო პ ის
გადანაწილდა	გადა ნაწილ და
ბოლქვის	ბოლქვ ის
ფილოლოგიურ	ფილ ოლოგი ურ
გიგანტი	გიგ ანტ ი
უუნარობა	უუნარ ობა
ფაქტიც	ფაქტ იც
დგამდა	დ გამ და
გიტარისტმა	გი ტარისტ მა
ნაპრალებში	ნაპ რალ ებში
მესაკუთრე	მე საკუთრ ე
სიკაშკაშით	სი კაშკაშ ით
ფერმას	ფერ მ ას
რუისის	რუ ისის
სათადარიგოთა	სათადა რიგ ოთა
ხევსურეთში	ხევ სურეთ ში
ქსოვილის	ქსოვ ილ ის
ალბანელ	ალბან ელ
ახალშობილები	ახალ შობილ ები
ტორინოს	ტო რინ ოს
შაჰნამეს	შაჰ ნამეს
ვუდის	ვ უდ ის
ემპირიული	ემპირ ი ული
კონკურსზე	კონკურს ზე
რესპუბლიკელებს	რესპუბლიკელ ებ ს
კვადრებით	კვადრ ებით
გმირთა	გმირ თა
კლარჯეთში	კლარჯ ეთ ში
ლითონებთან	ლითონ ებთან
უკრავდნენ	უ კრავ დნენ
ნიჭიერი	ნიჭ იერ ი
გვიანდელი	გვიან დელ ი
გამოუჩენია	გამოუ ჩენ ია
სკულპტურულ	სკულ პტურ ულ
ყაენს	ყა ენ ს
ბარიერები	ბარ იერ ები
სცენური	სცენ ური
შერიგებოდა	შე რიგებ ოდა
პერესი	პერ ეს ი
გონძაგას	გონძაგ ა ს
გენეალოგია	გენეა ლოგ ია
მაღარო	მაღარ ო
მესია	მეს ი ა
ასპექტი	ა სპექტ ი
ერნან	ერნ ან
ნევროლოგიური	ნევრ ოლოგი ური
სამეფოზე	სა მეფო ზე
სიმღერების	სიმღერ ებ ის
პროტესტანტებს	პროტესტ ანტ ებს
ჯულსი	ჯულ ს ი
არადა	არა და
მოსის	მო ს ის
მევენახეობა	მევენახ ეობ ა
თხრილი	თ ხრილ ი
ართურ	ართუ რ
რედაქციით	რედაქცი ით
კალთები	კალ თ ები
სიუჟეტის	სიუჟ ეტ ის
მანძილი	მან ძილ ი
ხმოვან	ხმოვან
შეკრებების	შე კრებ ების
ქალიც	ქალ იც
ნაკრებში	ნა კრებ ში
გაუქმდა	გა უქმ და
თათისებრ	თა თ ისებრ
მემატიანის	მე მატიან ის
დასაბუთებული	და საბუთებ ული
მარსელის	მარ სელ ის
შეაფერხა	შეა ფერხ ა
ჰაფნიუმის	ჰაფ ნიუმ ის
სტარკი	ს ტარ კი
ასწავლეს	ა სწავლ ეს
მემკვიდრეს	მე მკვიდრე ს
დღიურების	დღ იურ ების
კონკურენტუნარიანი	კონკურ ენტ უნარიანი
დაკარგულად	დაკარ გულ ად
კორეას	კორ ე ას
ქრომოსომათა	ქრომოს ომ ათა
მფარველად	მ ფარველ ად
ბილბომ	ბილ ბ ომ
გულშემატკივართა	გულშემატკი ვარ თა
დახვეწის	და ხვეწ ის
ვარსკვლავი	ვარსკვლავ ი
რკალებით	რ კალ ებით
მტრობის	მ ტრ ობის
პერსევსის	პერს ევს ის
გადაერთო	გადა ერთ ო
ფერმწერი	ფერ მწერ ი
შემქმნელებს	შემ ქმნელ ებს
მურვან	მ ურ ვან
სილამაზის	სი ლამაზ ის
ანატოლიის	ან ატოლი ის
კირიონის	კი რიონ ის
პავლეს	პა ვლ ეს
არომატულ	არო მატ ულ
ყოფილხარ	ყოფილ ხარ
მოულოდნელი	მოუ ლოდნელ ი
წელში	წელ ში
დამალვის	დამალ ვ ის
არქეოლოგები	არქე ოლოგ ები
კიბეზე	კი ბე ზე
ცენტრ	ცენტრ
გრინვუდს	გრინვ უდ ს
ლაშქრობებს	ლაშქ რობ ებს
მოსაზრების	მოს აზრებ ის
მაღალმთიანი	მაღალმ თ იანი
წარმონაქმნების	წარმონა ქმნ ების
აიათოლა	აიათ ოლ ა
უკანდახეული	უკანდა ხე ული
ათენელები	ათე ნელ ები
არმქონე	არმ ქონ ე
აღნიშნულია	აღ ნიშნულ ია
კლანები	კლა ნ ები
არამდგრადია	არა მდგრ ადია
ნატალია	ნა ტალ ია
სათავეები	სათა ვე ები
გენუის	გენ უ ის
ინდუსტრიული	ინდუს ტრი ული
ამოწევა	ამო წევ ა
ენერგიისა	ენ ერგი ისა
ვალარები	ვალ არ ები
სახელთანაა	სახელ თანა ა
მაროკოში	მარ ოკო ში
გადააქცია	გადა აქცი ა
თვალებში	თვალ ებ ში
ხვრელები	ხვრე ლ ები
სახელმწიფოებთან	სახელმწიფო ებ თან
ფლორით	ფლორ ით
შემოსავალმა	შემო სავალ მა
უსინდისოები	უ სინდის ოები
მალდერის	მალ დერ ის
არენა	არ ენ ა
ზღვებსა	ზღვ ებსა
ციხესიმაგრედ	ციხესი მაგრე დ
დუბაიში	დუ ბაი ში
აღმოსავლეთითა	აღმო სავლეთ ითა
როლში	რო ლ ში
აწარმოეს	ა წარმო ეს
ტანკმა	ტან კ მა
წისქვილი	წისქ ვილ ი
დამახასიათებელია	დამ ახასიათებელ ია
მეტოქეობას	მეტ ოქე ობას
შლემი	შლ ემ ი
პირველსავე	პირველ სავე
ნომრად	ნ ომრ ად
სტრატიგრაფიული	სტრატ იგრაფი ული
გემმა	გემ მა
ჩანდრიკა	ჩა ნდრ იკა
ზაფხულიდან	ზაფხულ იდან
კვერცხს	კვერ ცხ ს
მოსაგრეობდა	მოსა გრე ობდა
ეძახდა	ე ძახ და
კარლოსმა	კარლ ოს მა
არაერთხელ	არა ერთ ხელ
საითაა	სა ითაა
ღვთაებები	ღვთა ებ ები
ტრანსკონტინენტური	ტრანს კონტინენტ ური
ცოტნე	ცო ტნე
დამალულ	და მალ ულ
კლასიკური	კლასი კ ური
ფიჭვი	ფი ჭვ ი
სილამაზე	სი ლამაზ ე
კონტრიბუცია	კონ ტრიბუც ია
ბაგრატიონს	ბაგრატ იონ ს
გაეგზავნათ	გაე გზავნ ათ
კალამი	კალ ამ ი
გრიგოლი	გრი გოლ ი
ინტერნაციონალური	ინტერნა ციონალ ური
რომელი	რომ ელ ი
ჰობიტში	ჰო ბიტ ში
ლაშქრობით	ლაშქ რობ ით
კუნთოვანი	კუნ თ ოვანი
ქველის	ქ ველ ის
მყინვარსა	მყინვარ სა
სუაჰილი	სუა ჰილ ი
დააბრალეს	დაა ბრალ ეს
ოფიცრად	ოფიც რ ად
უმეტესობაც	უმეტეს ობ აც
ჰანზას	ჰან ზ ას
ნაწილებიც	ნაწილებ იც
გამოეშვა	გამო ეშვ ა
დაიწერა	დაი წერ ა
განუყრელი	განუ ყრელ ი
ბრუნვას	ბრუნ ვ ას
პეტერბურგს	პეტერ ბურგ ს
პლანტაციების	პლან ტაცი ების
სციპიონმა	სციპ იონ მა
ქვაბების	ქვა ბ ების
შეიმუშავეს	შეი მუშავ ეს
განეკუთვნებოდნენ	განე კუთვნებ ოდნენ
ციხეზე	ცი ხე ზე
სტეპებში	სტე პ ებში
დამოკიდებულებისაგან	დამოკი დებულ ებისაგან
ნაპრალში	ნაპ რალ ში
ორიგინალურია	ორიგინ ალურ ია
ეპარქიების	ეპარქი ების
ბატონობისაგან	ბატონ ობ ისაგან
დეტალები	დე ტალ ები
დასკვნა	დ ასკვნ ა
კათოლიციზმის	კათოლიც იზმ ის
უღლისაგან	უღლ ისაგან
ქვლივიძე	ქვ ლივიძე
კონსულებმა	კონსულ ებმა
თამარ	თა მარ
საიდუმლოებას	სა იდუმლო ებას
პოპულარული	პოპულარულ ი
სათვის	სა თვის
ფლეი	ფ ლეი
გენუელებმა	გენუ ელ ებმა
შრომათა	შრომ ათა
რესპუბლიკებს	რესპუბლი კ ებს
დავდივარ	და ვდივარ
ვერცერთმა	ვერც ერთ მა
ნიკარაგუული	ნიკ არაგუ ული
ჯვარგუმბათოვანი	ჯვარ გუმბათ ოვანი
შვილებს	შვილ ებს
კამიუ	კა მიუ
მიურეი	მიუ რე ი
ნატურალიზებული	ნატურ ალიზებ ული
გმირობით	გმირ ობ ით
პი	პი
ერნესტ	ერნ ესტ
თაღებით	თა ღებ ით
ვერცხლისფერი	ვერცხ ლ ისფერი
ღირსებისა	ღირს ებ ისა
ექსპედიციების	ექსპედიცი ების
მთებით	მ თებ ით
შინისაკენ	შინ ისაკენ
დაგვიანებული	და გვიანებ ული
დალექილი	და ლექ ილი
განვითარებამ	გან ვითარებ ამ
პროვანსის	პროვან ს ის
დინამოსთან	დინ ამო სთან
გავლებული	გა ვლებ ული
ვერცხლისწყალი	ვერცხ ლ ისწყალი
სამება	სამ ებ ა
კორნემ	კორ ნ ემ
ტიხვინის	ტიხ ვინ ის
გრეილსის	გრე ილ სის
ინტენსიურ	ინტენსი ურ
აიყვანა	ა იყვან ა
სავანეს	სა ვან ეს
უბედური	უბედურ ი
ზრდიდნენ	ზრდ ი დნენ
ორ	ორ
ტაივანში	ტაი ვან ში
კულტურაში	კულტურ აში
ბრიუსი	ბრ იუს ი
ხელცულები	ხელ ცულ ები
ზონაშია	ზონ აშია
ციხესიმაგრეები	ციხესი მაგრე ები
ელემენტი	ელე მენტ ი
დაგვირგვინდა	და გვირგვინ და
მკვდართა	მკვდარ თა
მოდიან	მ ოდ იან
კონცერტზე	კონცერტ ზე
პროპაგანდას	პროპაგა ნდ ას
სექტორები	ს ექტორ ები
სიახლე	სი ახლე
გადაასვენეს	გადა ასვენ ეს
დამოუკიდებლობისთვის	დამოუკიდ ებლობ ისთვის
ნოვიცკის	ნოვიც კ ის
სპარსული	სპარ სულ ი
გააცნოს	გაა ცნ ოს
მონაკვეთი	მონა კვეთ ი
მიმართება	მი მართებ ა
ჰოლივუდში	ჰოლივ უდ ში
თვითნებური	თვით ნებ ური
სამკურნალოდ	სამ კურნალ ოდ
ადიშის	ა დი შის
იუნესკომ	იუნეს კო მ
სციპიონი	სციპ იონ ი
პორტუგალიურ	პორტუ გალი ურ
საქართველო	საქართველ ო
ტბებზე	ტბ ებ ზე
რუკის	რ უკ ის
სიმაღლემდე	სიმაღლ ე მდე
ხნიერი	ხნ იერი
ბეილი	ბე ილ ი
გაუხსნა	გა უხსნ ა
ლელო	ლ ელ ო
ცეცხლი	ცეცხლ ი
საუკუნეებიდან	საუკუნე ებ იდან
ვასალები	ვასა ლ ები
მისიების	მ ისი ების
გნეუს	გ ნეუს
ნუსხის	ნუ სხ ის
პლუს	პლუ ს
თავისუფლებისმოყვარე	თავისუფლებ ისმოყვარე
უბადლო	უ ბად ლო
მოსახლეობისაგან	მოსახლ ეობ ისაგან
მატჩზე	მატ ჩ ზე
პარაგვაისა	პარაგვა ი სა
სახარება	სა ხარებ ა
კილაძე	კ ილ აძე
დაეთანხმა	დაე თანხმ ა
განმეორების	განმეორ ებ ის
პოლკოვნიკ	პოლკ ოვნიკ
ვესტ	ვ ესტ
რენე	რე ნ ე
ფარნავაზ	ფარნა ვაზ
ქრის	ქრ ის
დათუნა	და თუნ ა
ჯგუფებისა	ჯგუფებ ისა
მოსავალი	მო სავალ ი
შეუერთდნენ	შეუ ერთ დნენ
თერმულად	თერმ ულად
ჩვიდმეტი	ჩვიდმეტ ი
საესტრადო	საე სტრად ო
მომხიბვლელობა	მომხიბვლ ელ ობა
დათმობაზე	და თმობ აზე
დაივიწყეს	დაი ვიწყ ეს
