გამოსხივება	გამოსხივ ებ ა
გაუმჯობესებაში	გაუმჯობეს ებ აში
მოუწყვეს	მოუ წყვ ეს
ჩვეულების	ჩვეულ ებ ის
გემოვნება	გემ ოვნებ ა
ფეხსაცმელი	ფეხ საცმელ ი
გალისია	გალი სი ა
ბოტანიკოსმა	ბოტა ნიკ ოსმა
კინოხელოვნების	კინო ხელოვნებ ის
ხამურაბის	ხამურ აბ ის
საქართველოსკენ	საქართველ ოს კენ
ფორმულირება	ფორმ ულ ირება
ნახშირბადის	ნახშირ ბად ის
პოლიტბიუროს	პოლიტ ბი უროს
რადიოსა	რადი ო სა
დეკარტეს	დე კარტ ეს
ნავთობსა	ნა ვთობ სა
ჯვრების	ჯ ვრ ების
ბანკების	ბანკ ების
თარიღებს	თარიღ ებს
ორის	ორ ის
ადერკის	ა დერ კის
წინამძღოლმა	წინა მძღოლ მა
მედეა	მედ ე ა
შემონახულ	შემო ნახულ
თქვენ	თქვ ენ
მხარეა	მხარ ე ა
ოპერატიულ	ოპერ ატი ულ
ტყავისგან	ტ ყავ ისგან
გარეჯის	გარეჯ ის
რიგრიგობით	რიგ რიგ ობით
ვნახე	ვ ნახ ე
კრაკოვს	კრა კოვ ს
ერითროციტების	ერითრ ოციტ ების
ნიადაგს	ნი ადაგ ს
კონსულების	კონსულ ების
სიუჟეტი	სიუჟ ეტ ი
მაკვანეთში	მაკვ ანეთ ში
ბაზარზე	ბაზ არ ზე
დ	დ
ექსპონატს	ექსპონ ატ ს
ითამაშებდა	ი თამაშ ებდა
ვარირებს	ვარ ირებ ს
მიგელ	მი გელ
ადამიანთათვის	ა დამიან თათვის
საქართველოსა	საქართველ ოს ა
უნიის	უ ნი ის
მკურნალობაზე	მკურნალ ობ აზე
იხსნა	იხსნ ა
კარაბობოს	კა რაბ ობოს
სახარების	სა ხარებ ის
განემტკიცებინა	განე მტკიცებ ინა
გლახაკებს	გლა ხაკ ებს
მკითხაობის	მკითხა ობ ის
შემჩნევა	შე მჩნევ ა
განშტოების	განშტო ებ ის
ნავთობსადენის	ნავთობსა დენ ის
არისტოკრატების	არისტ ოკრატ ების
მიტაცებულ	მი ტაცებ ულ
სიმ	სიმ
ხეობაში	ხე ობ აში
ონეგის	ო ნეგ ის
წმ	წმ
აშენებდა	ა შენებ და
დაკოტის	და კოტ ის
დეპორტირებული	დე პორტირებულ ი
რომანში	რო მან ში
მაჩვენებლად	მაჩვენ ებლ ად
სნუკერის	სნუ კერ ის
არაბულენოვანი	არა ბულ ენოვანი
უვარგისი	უ ვარგის ი
ჩამორჩენილობა	ჩამო რჩენილ ობა
ქირონი	ქ ირ ონი
თვითონვე	თვით ონ ვე
ფრინველებში	ფრინვე ლებ ში
დოსტოევსკი	დოსტო ევსკ ი
წინააღმდეგაც	წინააღმდეგ აც
ბიუჯეტი	ბიუჯეტ ი
ალანდის	ა ლანდი ს
დანია	და ნი ა
გემო	გემ ო
ეცვა	ე ცვ ა
მაუწყებლობს	მაუწყ ებლობ ს
ურთიერთდამოკიდებულების	ურთიერთდამო კიდებულ ების
სექტორს	სექტ ორ ს
დაამყაროს	დაა მყარ ოს
მიმართულებაზე	მიმა რთულებ აზე
უდიდესი	უდიდ ეს ი
ესწავლა	ე სწავლ ა
ვეგეტარიანელი	ვეგე ტარ იანელი
ფილიპ	ფილიპ
აჯანყებისაკენ	აჯანყ ებ ისაკენ
ბოშო	ბო შ ო
ბავარიაში	ბ ავარი აში
პილასტრები	პილა სტრ ები
გაგვაჩნია	გაგვა ჩნი ა
კიოტო	კიო ტ ო
უნიტარული	უნი ტარ ული
ქვეშევრდომებს	ქვეშე ვრდომ ებს
აარიდოს	აა რიდ ოს
მღვდელმთავრად	მღვდელმთავრ ად
აჯანყებულებს	აჯანყ ებულ ებს
აღებისას	აღ ებ ისას
თანამეგობრობაში	თანა მეგობრობ აში
აწყობენ	ა წყობ ენ
აჯანყებით	აჯანყ ებ ით
პლატოზე	პლატ ო ზე
გაქრისტიანების	გა ქრისტიან ების
მიმართავდა	მიმა რთავ და
უფლებების	უფლებ ების
მაგალითდ	მა გალით დ
ნორაკიძე	ნო რაკ იძე
სახლდებოდნენ	სახლ დებ ოდნენ
დიდგორი	დიდ გორ ი
სოფლის	სოფლ ის
ტრანზიტული	ტრანზიტ ული
ფაქტორი	ფაქტ ორ ი
დააბრალა	დაა ბრალ ა
ძაღლ	ძაღლ
გადაადგილდა	გადაადგილ დ ა
უხალისოდ	უ ხალის ოდ
ეკოსისტემა	ეკო სისტემ ა
ვერსიაა	ვერსი აა
ლიცეუმი	ლიცე უმ ი
კულტის	კულ ტ ის
კედელს	კედ ელ ს
დასრულებულია	და სრულებულ ია
უნებლიეთ	უნებ ლი ეთ
სიღრმეები	სიღრმ ე ები
ქსოვილისაგან	ქსო ვილ ისაგან
ცხოველში	ცხოველ ში
წვდომას	წვდომ ას
იოსებმა	იოს ებ მა
შეუქმნიათ	შეუ ქმნ იათ
ხაზარების	ხა ზარ ების
სმიტი	ს მიტ ი
ხანძთელი	ხანძ თ ელი
პლასტიკურ	პლა სტიკ ურ
ევროკავშირი	ევრო კავშირ ი
ძველებმა	ძველ ებმა
აღსაწერად	აღსა წერ ად
უშედეგო	უშე დეგ ო
გათამაშებაზე	გა თამაშებ აზე
განიმარტოს	განი მარტ ოს
პოლიტიკოსების	პოლიტ იკოს ების
ბასაევი	ბასა ევ ი
მერვე	მერ ვე
მოწოდებულია	მო წოდებ ულია
გადამწყვეტი	გადამ წყვეტ ი
გამარჯვებებით	გამარჯვ ებ ებით
სპორტსმენები	სპორტ სმენ ები
ჰომეროსთან	ჰომე როს თან
ლაპლანდიის	ლაპ ლანდი ის
მოხსენების	მო ხსენებ ის
ფერანტე	ფერ ანტ ე
ჩასმულ	ჩასმ ულ
აღსანიშნავია	აღსა ნიშნავ ია
დაპყრობის	და პყრობ ის
დაშლილი	და შლილ ი
წინამორბედს	წინამორ ბედ ს
ჯეიკობი	ჯეი კობ ი
დიო	დი ო
ენტერპრაიზის	ენტერპრა იზ ის
წითელ	წითელ
ორიენტაცია	ორიენტაცი ა
გამოგზავნა	გამო გზავნ ა
მონღოლთა	მონღოლ თა
დიუბუა	დიუ ბუ ა
პოზიციით	პოზიცი ით
შეძლოს	შე ძლ ოს
შვილობილი	შვილ ობილ ი
სპეციალური	სპეცი ალურ ი
დავრეცხო	დავ რეცხ ო
დიასპორა	დია სპორ ა
ჯეფრი	ჯე ფრი
სვამენ	სვამ ენ
კრუიფის	კრუ იფ ის
კისერი	კი სერ ი
ერთეულს	ერთ ეულ ს
მიერთების	მი ერთებ ის
ლეიბლ	ლეი ბლ
აგერმა	ა გერ მა
ავსტრალოპითეკის	ავსტრალო პითეკ ის
რიტორიკა	რიტო რიკ ა
მიმდინარეობდეს	მი მდინარეობ დეს
დასარბევად	დასა რბევ ად
ემღერა	ე მღერ ა
ერთგვაროვანია	ერთგვაროვან ია
საგრძნობლად	სა გრძნობ ლად
დაპატიმრებულ	და პატიმრებ ულ
მაცხოვრებელი	მა ცხოვრებელ ი
კელტურ	კელ ტ ურ
თამარს	თა მარ ს
იბერიის	ი ბერი ის
მავნებელი	მა ვნებ ელი
ოლქს	ოლ ქ ს
ოქტავია	ოქტ ავი ა
ზემოქმედებით	ზემო ქმედებ ით
განწყობისა	გან წყობ ისა
წყვილ	წყვილ
ბარენცის	ბარ ენცი ს
ანთროპოსოფია	ანთროპ ოსოფი ა
ფოლკ	ფოლკ
მოუხეშავი	მო უხ ეშავი
მოახსენეს	მო ახსენ ეს
ექვსივე	ექვს ი ვე
პორტალის	პორტ ალ ის
ჩაიფიქრა	ჩა იფიქრ ა
ერგასტერი	ერგა სტერ ი
მოთმინების	მოთმი ნებ ის
გააფთრებული	გა აფთრ ებული
ორგანიზმებისა	ორგანიზმ ებ ისა
კანკელი	კან კელ ი
ორგანოებს	ორგან ოებ ს
ფილტვების	ფილტ ვ ების
დარგვის	დარ გვ ის
აზიანებენ	ა ზიან ებენ
ნიშნულს	ნიშნულ ს
ხელშია	ხელ შია
როგორი	რო გორ ი
მოეპოვება	მოე პოვებ ა
ლარსმა	ლარ ს მა
წყაროს	წყარო ს
ქონებისა	ქონ ებ ისა
ასოციაციის	ასოცი აცი ის
გამტარი	გამ ტარ ი
მანილის	მან ილ ის
ასოს	ას ო ს
კრიტიკა	კრიტიკ ა
თანამდებობის	თანამდე ბობ ის
ურიცხვი	უ რიცხვ ი
უმრავლესობის	უმრავლ ესობ ის
რეფერენდუმის	რეფერენდ უმ ის
სცენარით	სცენ არ ით
ლანჩხუთში	ლანჩ ხუთ ში
შექმნეს	შე ქმნ ეს
ტენიანობის	ტენ იანობ ის
შეეყვანა	შე ეყვანა
კინოთეატრები	კინო თეატრ ები
უდიდესია	უდიდ ეს ია
გულაგის	გუ ლაგ ის
ნესტან	ნე სტან
დებედის	დებ ედ ის
მასტიფი	მა სტიფ ი
კლავს	კლავ ს
ასწია	ა სწი ა
კულტებს	კულ ტ ებს
კამჩატკის	კამჩატ კ ის
სამცხეში	სამ ცხ ეში
მსხვილფეხა	მსხვილ ფეხა
აუზში	ა უზ ში
აღსანიშნავი	აღსა ნიშნავ ი
მატლებით	მატ ლ ებით
ძეგლებს	ძეგლ ებ ს
იყალთოელის	იყალ თო ელის
შეტაკებებში	შეტაკ ებ ებში
დაცულ	და ცულ
აუზები	ა უზ ები
ტყუპების	ტყუ პ ების
ასო	ას ო
ალაოს	ალა ოს
ისრაელმა	ის რაელ მა
დემეტრიოს	დე მეტრ იოს
თემატიკის	თემატიკ ის
კარიესის	კარი ეს ის
სიგარეტი	სიგა რეტ ი
სტუმართა	სტუმ არ თა
ჩინეთმა	ჩინ ეთ მა
ჭადრაკი	ჭადრაკ ი
ვოლფის	ვოლფ ის
ამფითეატრი	ამფი თეატრ ი
წარმოებით	წარმოებ ით
მოჰკრა	მო ჰ კრა
დაუმუშავებელი	დაუ მუშავებელ ი
ენდემური	ენდ ემ ური
რენესანსი	რენეს ანს ი
შესაძლებლობებს	შესაძლ ებლობ ებს
კოლონიზაციამდე	კოლონ იზაცი ამდე
დოვლათის	დო ვლათი ს
ელემენტებისა	ელემენტ ებ ისა
ვიდეოც	ვიდ ეო ც
აფეთქდა	ა ფეთქ და
მიმართულებით	მიმა რთულებ ით
ქულამდე	ქ ულ ამდე
ზამთრით	ზამთრ ით
პროგრამებში	პრო გრამ ებში
ხორეზმის	ხორე ზმი ს
ჰარლანი	ჰარ ლან ი
მეჩხრად	მე ჩხ რად
რეპი	რე პ ი
უესექსის	უ ესექს ის
ორპალატიანი	ორ პალატ იანი
დაქორწინებული	დაქორწინ ებულ ი
ოტომანთა	ო ტო მანთა
განსხვავებას	გან სხვავებ ას
მიუსე	მი უს ე
მოძრაობდნენ	მოძრა ობ დნენ
ეფექტურად	ეფექტურ ად
შეკუმშვა	შეკუმ შვ ა
არაფორმალურად	არა ფორმალურ ად
იმუნიტეტის	იმუნ იტეტ ის
მდებარეობა	მ დებარეობ ა
მოშენებას	მო შენებ ას
ამავ	ამ ავ
ახლოს	ახლ ოს
წიგნ	წიგნ
განთავსების	გან თავსებ ის
დაბრუნდებიან	და ბრუნდ ებიან
ოლივიე	ო ლივი ე
იუნაიტედთან	იუნაიტ ედ თან
შენაკად	შე ნაკად
საქმეებში	საქმ ე ებში
ღმერთებსა	ღმერთ ებსა
ჰოლდინგური	ჰოლ დინგ ური
დახოცვა	და ხოც ვა
საერო	სა ერ ო
ლიანდაგის	ლიანდაგ ის
ენათმეცნიერული	ენათმეცნიერ ული
სინონიმია	სინ ონიმ ია
მეეგერენი	მეეგერ ენი
ყრილობის	ყრ ილობ ის
ბებიები	ბე ბი ები
ეგზოპლანეტების	ეგზო პლანეტ ების
პოლონელებმა	პოლონ ელ ებმა
ქართულია	ქა რთულ ია
ნალექი	ნა ლექ ი
დახვდება	და ხვდებ ა
კოცონი	კოცო ნ ი
მოხდენას	მო ხდენ ას
გვხვდებოდა	გვ ხვდებ ოდა
ესექსის	ესექს ის
რომლებმაც	რომ ლებ მაც
აერთიანებს	ა ერთიანებ ს
კარიესი	კარი ეს ი
სათავსის	ს ათავს ის
ჭორები	ჭ ორ ები
მისადგომები	მისა დგომ ები
სალმა	სა ლ მა
საოლქო	სა ოლქო
ბონდის	ბონ დ ის
წერილით	წერილ ით
ავადმყოფობამ	ავადმყოფ ობ ამ
დამყარებული	და მყარებ ული
მშვიდობიანი	მშვიდობ იან ი
პირები	პირებ ი
კეიტი	კე იტ ი
მიანდეს	მი ანდ ეს
შენობის	შენ ობ ის
დასაფარად	და საფარ ად
პეპლის	პე პ ლის
იარაღებში	იარაღებ ში
გაზაფხულამდე	გა ზაფხულ ამდე
მდინარეებია	მდინარე ებ ია
შველის	შველ ის
აღარავინ	აღარა ვინ
ალექსანდრიელის	ალექსანდრი ელი ს
ყველაფრისა	ყველა ფრ ისა
ადამიანებად	ადამიან ებ ად
ჩააბაროს	ჩა აბარ ოს
ტერორისტების	ტერორ ისტ ების
დევნილობაში	დევ ნი ლობაში
ელექტრონიკა	ელექტრონ იკ ა
პრეზიდენტის	პრეზიდენტ ის
ტრინიდადის	ტრინი დ ადის
პორტად	პორტ ად
სიუჟეტთან	სიუჟ ეტ თან
გადატანას	გადა ტან ას
ესთეტიური	ეს თეტ იური
თაგვების	თა გვ ების
სუბალპურ	სუბ ალპურ
ჭარბი	ჭარბ ი
მდებარეობაზე	მ დებარეობ აზე
წიგნისათვის	წიგნ ისა თვის
ონოფრე	ონ ო ფრე
ცელსიუსით	ცელსი უს ით
შემუშავდა	შე მუშავ და
გადაღებულმა	გადა ღებ ულმა
გილმორის	გილ მორ ის
სრულყოფა	სრულ ყოფ ა
ლილვით	ლი ლვ ით
ფიორდის	ფიორ დი ს
კვლევითი	კვლევ ითი
პროექტმა	პროექტ მა
რუსთაველი	რუსთა ველ ი
ბორდოს	ბორ დო ს
გასაშენებლად	გასა შენებლ ად
მეტალები	მე ტალ ები
იერუსალიმში	იერუსა ლიმ ში
გამოიყენებდა	გამოი ყენებ და
ანთროპოლოგიურად	ანთროპ ოლოგი ურად
თრიალეთში	თრი ალეთ ში
უნარების	უ ნარ ების
დაცარიელდა	და ცარიელ და
ამრავლებენ	ა მრავლ ებენ
მეტისები	მეტ ის ები
ბარიერი	ბარ იერ ი
რუსეთსა	რუს ეთ სა
მეუღლის	მე უღლ ის
დაპირისპირებები	დაპირის პირებ ები
საგრაფო	საგრაფ ო
განმარტავს	გან მარტ ავს
საგადასახადო	სა გადასახად ო
მარტისათვის	მარტ ისათვის
საქმისა	სა ქმ ისა
შავშეთში	შავშე თ ში
ააოხრეს	ააოხ რ ეს
წარმართულ	წარ მართ ულ
ხედავ	ხედავ
ავად	ავ ად
გამოცოცხლება	გამო ცოცხლ ება
სიბრძნეს	სი ბრძნ ეს
სელის	სელ ის
ტოლ	ტოლ
წამოჭრა	წამო ჭრ ა
ჰაბსბურგები	ჰაბს ბურგ ები
ტემპის	ტე მპ ის
დაზვერვის	და ზვერვ ის
ფილიპსის	ფილიპ ს ის
ნახა	ნახ ა
კატარინას	კატა რინ ას
მცხოვრებლებმა	მ ცხოვრებლებ მა
მამიკო	მამი კო
სექტა	სექტ ა
ფაქტმა	ფაქტ მა
ველის	ველ ის
ლიმფური	ლიმფ ურ ი
ჰანის	ჰან ის
კეთილდღეობისთვის	კეთილდღე ობ ისთვის
ეფრემმა	ეფ რემ მა
ვენიდან	ვ ენ იდან
სიონისტური	ს იონ ისტური
თავდავიწყებით	თავდა ვიწყებ ით
მიმდევრების	მიმდევრ ებ ის
ბიძია	ბიძ ია
ფულვიას	ფ ულ ვიას
სასულთნომ	სასულ თნო მ
ქვედანაყოფები	ქვედანა ყოფ ები
გამომხატველი	გამომხატ ველ ი
რეაგირება	რეა გირ ება
გენების	გენ ების
დაეფარა	დაე ფარ ა
დასახელებაა	და სახელებ აა
თათრეთის	თა თრ ეთის
ვარსკვლავებში	ვარსკვლავ ებ ში
დანიის	და ნი ის
აბანოების	აბა ნო ების
აღზარდა	აღ ზარდ ა
გამონაზარდები	გამონა ზარდ ები
წავიდე	წა ვიდ ე
იდეალი	იდე ალ ი
მალდინის	მალ დინ ის
სძულდათ	ს ძულ დათ
ექსტრემალურად	ექსტრემ ალურ ად
ჰერცეგოვინას	ჰერცეგო ვინ ას
განქორწინების	გან ქორწინ ების
მიწერილი	მი წერილ ი
მარწყვის	მა რწყვ ის
პოლტავის	პოლ ტავ ის
აღებს	აღ ებ ს
პორტრეტი	პორტ რეტ ი
ფსიქიკის	ფსიქ იკ ის
ხელმძღვანელობით	ხელმძღვანელ ობ ით
მეტრის	მეტრ ის
ზეიმით	ზე იმ ით
უფლება	უფლებ ა
გორკის	გორ კ ის
საჭრელი	სა ჭრელ ი
შეხედულებებით	შეხედ ულებ ებით
ერიდებიან	ერიდებ იან
რუკას	რუკ ას
მარშრუტის	მარშრუტ ის
ბიზნესის	ბიზნე ს ის
თსუ	თ სუ
სამარხებში	სა მარხ ებში
ბარბაროსები	ბარბარ ოს ები
გალთა	გა ლ თა
სიტუაციების	სიტუ აცი ების
იგინი	ი გინ ი
ხანგრძლივობას	ხანგრძლივ ობ ას
ურუგვაი	ურუ გვა ი
კაპელოს	კაპ ელ ოს
პანორამა	პანორ ამ ა
შეუსრულებია	შეუ სრულებ ია
მიღებაზე	მი ღებ აზე
პორტალები	პორტ ალ ები
კლასით	კლას ით
თომასმა	თო მას მა
კალა	კალ ა
აპოკალიფსის	აპოკალი ფსი ს
ორგანზე	ორგან ზე
გრეტა	გრ ეტ ა
დოცენტის	დო ცენტ ის
მარშრუტებზე	მარშრუტ ებზე
ბერნაბეუ	ბერნაბე უ
განძში	გან ძ ში
ჩეხოსლოვაკიის	ჩეხო სლოვაკ იის
ოქტომბრამდე	ოქტომ ბრ ამდე
წინაშე	წინა შე
ჩამოგდების	ჩამო გდებ ის
ტრიოში	ტრი ო ში
ქონებას	ქონ ებ ას
გუბერნიაში	გუბერნი აში
პლანეტათა	პლანეტ ათა
დაავალეს	დაა ვალ ეს
თეოდორე	თეო დორ ე
საცდელი	საცდელ ი
ჰიუგოს	ჰიუ გო ს
რეპეტიციებს	რე პეტიცი ებს
ასვლიდან	ა სვლ იდან
ჩეხოვის	ჩე ხ ოვის
წლისთავისადმი	წლ ისთავ ისადმი
გათვალისწინებულ	გა თვალისწინებ ულ
ემართა	ე მართ ა
წყნაროკეანური	წყ ნარ ოკეანური
დღეისთვის	დღე ისთვის
ჰორნის	ჰორ ნ ის
ჩვეული	ჩვეულ ი
პლანტაციის	პლან ტაცი ის
სოფელ	სოფ ელ
იორკის	იორკ ის
აღკვეთის	აღ კვეთ ის
ბელორუსიაში	ბელო რუს იაში
თავმჯდომარის	თავმჯდო მარ ის
მოუხერხებელია	მოუ ხერხებელი ა
ტრამვაის	ტრამ ვაი ს
მოკირწყლული	მოკირ წყლ ული
უნივერსიტეტად	უ ნივერსიტეტ ად
აღნიაშვილი	აღ ნიაშვილი
საინგილოს	საინგ ილ ოს
შეადგენს	შე ადგენ ს
საზღვარგარეთაც	საზღვარ გარეთ აც
აიძულებდნენ	აიძულ ებ დნენ
კატების	კატ ების
იწყებენ	ი წყებ ენ
დასრულებისას	და სრულებ ისას
კონცეპტუალური	კონცეპ ტუალურ ი
პარსონსი	პარ სონ სი
ქარტიის	ქარ ტი ის
ქაუნთი	ქა უნთ ი
ატმოსფერო	ატმო სფერო
სისტემაში	სისტემ აში
ჰეზბოლამ	ჰეზ ბოლ ამ
პრადოს	პ რად ოს
კურთხევის	კურთხე ვ ის
იყოფოდნენ	ი ყოფ ოდნენ
ისლამს	ის ლამ ს
დევიდმა	დე ვიდ მა
წარწერების	წარ წერ ების
ხატს	ხატ ს
დათვლის	და თვლ ის
ვახუშტის	ვახუ შტ ის
მნახველს	მ ნახველ ს
ნიუტონმა	ნიუ ტონ მა
მამრებს	მა მრ ებს
პრობლემატიკა	პრობლემ ატიკ ა
დოღი	დო ღ ი
უგანდა	უგან დ ა
საძებნელად	სა ძებნ ელად
ეცნობა	ე ცნობ ა
მუჰაფაზის	მუჰა ფაზ ის
სელიმს	სელ იმ ს
გამომცემლობებში	გამომცემლ ობ ებში
დუნაის	დ უნა ის
გაბატონდა	გა ბატონ და
ჯერი	ჯერ ი
იქამდეც	იქ ამდე ც
ნოვგოროდი	ნოვ გოროდ ი
ღვთისმსახურები	ღვთის მსახურებ ი
დომინიონის	დომინ იონ ის
გამოექვეყნებინა	გამო ე ქვეყნებინა
გზავნის	გზავნ ის
წყალობას	წყალ ობ ას
ჯორჯმა	ჯორ ჯ მა
მეზოლითის	მეზო ლით ის
გაძლიერდა	გა ძლიერ და
რამდენიმე	რამ დენიმე
ხმელთაშუა	ხმელთა შუა
აპარატების	ა პარატ ების
კომპილაციის	კომპილა ცი ის
პრობლემას	პრობლემ ას
ნაწილებისა	ნაწილებ ისა
გადასახლებული	გადა სახლებ ული
მალხაზ	მა ლ ხაზ
ომამდე	ომ ამდე
ჟოზეფ	ჟ ო ზეფ
ინსტრუმენტული	ინსტრუ მენტ ული
წვეულებაზე	წვეულ ებ აზე
დუიმიანი	დუ იმ იანი
ჰუმბოლდტი	ჰუმბოლდ ტ ი
სიძლიერეს	სი ძლიერ ეს
აფრიკანუსის	აფრიკა ნუს ის
ცივილიზაციაში	ცივილ იზაცი აში
ელექტრული	ელექტრ ული
სადიდებელი	სა დიდ ებელი
აეროპორტს	აერო პორტ ს
რენტგენის	რენტ გენ ის
სარდლად	სარდ ლ ად
ცელის	ც ელ ის
ათი	ათ ი
სვეტლანა	სვე ტ ლანა
გაყოფას	გა ყოფ ას
ფრეიმში	ფრე იმ ში
შრატში	შ რატ ში
საიტიდან	სა იტ იდან
ხეივანში	ხეი ვან ში
თვითმართველობის	თვით მართველობ ის
მარსის	მარ ს ის
მიღწევებით	მი ღწევ ებით
როსტომს	როს ტომ ს
ანტიოქია	ანტი ოქ ია
ამერიკულ	ამერიკ ულ
ხელები	ხელ ებ ი
მოგზაური	მოგზაურ ი
ტრიუმფი	ტრიუმ ფ ი
ალიანსმა	ალი ანს მა
სარტყელის	სა რტყელ ის
ინვენტარი	ინვენ ტარ ი
შტატს	შტატ ს
წარმონაქმნი	წარმონა ქმნ ი
მოგვარებაში	მოგვარ ებ აში
მიემგზავრებიან	მიე მგზავრ ებიან
სახურავითაა	სა ხურავ ითაა
სპორტული	ს პორტ ული
დაჯილდოვებული	დაჯილდო ვებ ული
მოსიარულე	მოსი არულ ე
ბოაკოს	ბო აკ ოს
ნიკოლაევის	ნი კოლ აევის
გადაადგილება	გადაადგილ ებ ა
ამბოხებული	ამბოხ ებულ ი
პილსუდსკის	პ ილ სუდსკის
გვარისა	გვარ ისა
დასახლებულია	და სახლებულ ია
პერიოდისთვის	პერი ოდ ისთვის
კელნის	კელ ნ ის
პოსტუმუსი	პოსტ უმუსი
ადის	ა დ ის
საჩვენებლად	სა ჩვენებ ლად
პროვინციების	პროვინ ცი ების
ნისლი	ნის ლ ი
მზადყოფნაში	მზად ყოფნ აში
მეტაფორა	მეტა ფორ ა
რჩებოდნენ	რჩ ებ ოდნენ
ფორტეპიანოსა	ფორტეპიანო სა
განგებ	გან გებ
უეიდის	უე იდ ის
კიბორჩხალა	კიბორ ჩხალ ა
საინიციატივო	სა ინიციატივ ო
ერთსულოვნად	ერთ სულ ოვნად
ძეს	ძ ე ს
მანჩესტერის	მან ჩესტერ ის
ახალქალაქიდან	ახალ ქალაქ იდან
მატერიალიზმის	მატერი ალ იზმის
შვეიცარიაში	შვეიც არი აში
მფლობელი	მფლობ ელ ი
ესროლა	ე სროლ ა
ათარიღებს	ა თარიღ ებს
ფრონტალური	ფრონ ტ ალური
მწიგნობრული	მწიგნ ობ რული
ვიღაცის	ვი ღაც ის
მოღწეულ	მო ღწეულ
ნაპრალების	ნაპრ ალ ების
კონსოლიდაციის	კონ სოლიდ აციის
ძლიერდებოდა	ძლიერ დებოდა
ბექა	ბე ქა
პეტრიაშვილი	პეტრ იაშვილ ი
ახალგაზრდის	ახალგა ზრდ ის
მერიდიანის	მერი დიან ის
ნუნუმ	ნუ ნუ მ
მოწყობილობაა	მოწყობილ ობ აა
ერთვება	ე რთვ ება
ლუკი	ლუკ ი
მოემზადებინა	მოე მზად ებინა
მოუღეს	მო უღ ეს
აგენტებს	ა გენტ ებს
წყაროებზე	წყარო ებზე
პიონერის	პიონ ერ ის
ზემოქმედების	ზემო ქმედებ ის
ჩემპიონატებზე	ჩემპიონ ატ ებზე
ჯოელ	ჯო ელ
რადიუმი	რად იუმ ი
ქრომოსომაში	ქრომოს ომ აში
ჩარეულიყო	ჩარ ე ულიყო
დაიძრნენ	დაი ძრ ნენ
მოჭიდავე	მოჭიდა ვ ე
დატოვების	და ტოვ ების
იაროსლავ	იარო სლავ
გაფრენა	გა ფრენ ა
ნუსხა	ნუ სხ ა
მოთავსდეს	მო თავსდ ეს
ნანგრევებში	ნანგრევ ებ ში
რუსთავი	რუს თავ ი
გაშლილ	გა შლილ
კელიმ	კ ელ იმ
ჯესიკა	ჯე ს იკა
მიმდევრები	მიმდევრ ებ ი
სახელობისა	სახელ ობ ისა
ვერაფერი	ვერა ფერ ი
ზოგიც	ზო გ იც
პარიზისა	პარ იზ ისა
ღიაა	ღი აა
შეურაცხმყოფელი	შეურაცხ მყოფ ელი
ბურთს	ბურთ ს
ჟირაფის	ჟირ აფ ის
შეიარაღებას	შე იარაღებ ას
კოლექტიური	კოლ ექტიურ ი
ნავები	ნავ ები
კუბაში	კუბ აში
უღელტეხილი	უღელ ტეხილ ი
უჩვენა	უ ჩვენ ა
წყაროებისა	წყარო ებ ისა
წინანდელი	წინა ნდელ ი
საქმიანობებს	საქმ იანობ ებს
გურგენ	გურ გენ
ალკოჰოლურ	ალკოჰოლ ურ
მქონე	მ ქონ ე
რუბლი	რუბ ლი
ავღანური	ავღან ურ ი
დედლისა	დედ ლი სა
ანრი	ან რ ი
დანაწევრების	დანა წევრებ ის
ენდობოდნენ	ენდ ობ ოდნენ
კითხულობდა	კითხ ულობ და
მოქმედებისთვის	მო ქმედებ ისთვის
წარმომავლობით	წარმო მავლობ ით
ბრწყინვალემ	ბრწყ ინვალ ემ
ალბომი	ალბ ომ ი
შეამჩნიეს	შეამ ჩნი ეს
წვრილფეხა	წვ რილ ფეხა
წინასიტყვაობა	წინასიტყვა ობ ა
ტენესის	ტენ ეს ის
ჩაკ	ჩა კ
დიომ	დ იო მ
მარტოდმარტო	მარტოდ მარტო
მრავალრიცხოვანია	მრავალ რიცხოვან ია
ნორდურლენდ	ნორდ ურ ლენდ
გვარდიას	გვარ დი ას
დასარტყმელების	დასარტყ მელ ების
თანხებს	თან ხ ებს
მუშაობა	მუშა ობ ა
თუმცა	თუმ ც ა
ტომის	ტომ ის
უწყებებს	უ წყებ ებს
ხელოვნებაშიც	ხელოვნებ აშიც
სანტიაგო	სანტია გო
ტესკოკოს	ტ ეს კოკოს
რეფორმების	რე ფორმ ების
რობერტს	რო ბერტ ს
ყაზბეგმა	ყაზ ბეგ მა
ბოლესლავმა	ბოლე სლავ მა
თერმომეტრის	თერმო მეტრ ის
წრიულ	წრიულ
გინდათ	გინ დათ
თითქმის	თ ითქმ ის
ეკითხება	ე კითხ ება
დგომა	დგომ ა
საიტზე	სა იტ ზე
კარენ	კარ ენ
სადაზღვევო	სადა ზღვევ ო
კაუნასის	კაუნა ს ის
გესტაპო	გესტა პო
საფეხურია	სა ფეხურ ია
ძლიერების	ძლიერ ების
სიგნალებს	სიგნალ ებს
ბეწვს	ბე წვ ს
თაყვანისცემა	თაყვანი სცემ ა
ქართლისა	ქართ ლ ისა
სისტემები	სისტემ ები
