იტალიასთან	ი ტალი ასთან
ქანების	ქან ების
ბროლის	ბრო ლ ის
ინტენსიურ	ინტენს იურ
ფონდში	ფონდ ში
პაულისტას	პა ულისტ ას
თანხმოვანთა	თან ხმოვან თა
სპოკი	სპ ოკ ი
ბაიერის	ბა იერ ის
გადაარჩინა	გადა არჩინ ა
ბერძენიშვილის	ბერ ძენ იშვილის
თვალში	თვალ ში
აღმოაჩინოს	აღმო აჩინ ოს
ასპექტში	ა სპექტ ში
ბურთით	ბურთ ით
პოლარულ	პოლ არ ულ
საღამოებს	სა ღამო ებს
სტრატეგოსი	სტრა ტეგ ოსი
სრულფასოვნად	სრულ ფას ოვნად
დასჯილი	და სჯ ილი
პარტიების	პარტი ების
არი	ა რ ი
გაუჩნდა	გაუ ჩნდ ა
იკვებებოდნენ	ი კვებ ებოდნენ
მილერმა	მი ლერ მა
ასტრახანში	ასტრა ხან ში
მწერლობისა	მწერლობ ისა
სამხმიანი	სამ ხმიან ი
წარბები	წარ ბ ები
იაპონელები	იაპონ ელ ები
დაიბეჭდა	დაი ბეჭდ ა
არსებობდა	არსებ ობ და
დინასტიაში	დინასტი აში
მოსახლეთა	მო სახლე თა
როსტომ	როს ტომ
ფიგურებით	ფი გურ ებით
საბურავების	სა ბურავ ების
გავლება	გავ ლ ება
ჩამოტანილი	ჩამო ტან ილი
კოსტიუმი	კოსტი უმ ი
შეკავება	შე კავებ ა
კარლა	კარ ლ ა
არეალს	ა რეალ ს
ტიმპანში	ტი მპან ში
უმეტესწილად	უმეტეს წილად
აიას	ა იას
განცალკევებულ	გან ცალკევ ებულ
მოსასხამები	მოსა სხამ ები
სქესობრივად	სქეს ობრივ ად
პიტკერნის	პი ტკერ ნის
დაბრკოლებას	და ბრკოლებ ას
გულის	გულ ის
სექციაში	სე ქცი აში
რაგბის	რაგბ ის
მიტროპოლიტ	მიტრო პოლიტ
მილეტში	მი ლეტ ში
ამჯობინეს	ამჯო ბინ ეს
აბარებს	აბარ ებს
იუნონა	იუნ ონ ა
სპაიკ	სპ ა იკ
ოთახიდან	ოთ ახ იდან
ქალისა	ქა ლ ისა
ნდობა	ნდობ ა
გააცნობიერებს	გაა ცნობიერ ებს
მღვიმელი	მღვ იმ ელი
ცხოველებისა	ცხოველ ებისა
კონგრესს	კონ გრეს ს
იენს	ი ენ ს
რეაქციებში	რე აქცი ებში
აზრიც	აზრ იც
საცეცები	საც ეც ები
სახეობაში	სახეობ აში
სქოლიო	ს ქოლი ო
დაბადებულმა	დაბადებულ მა
კომიტეტის	კომ იტეტ ის
ფრიმენი	ფრი მენ ი
შვიდგზის	შვიდ გზის
ფორტეპიანო	ფორტეპია ნო
ეთმობა	ე თმობ ა
წყალმოვარდნები	წყალმო ვარდნ ები
აჭარისწყლის	ა ჭარ ისწყლის
ყოველდღე	ყოველ დღე
სანოტო	სან ოტ ო
ვახუშტის	ვახუ შტი ს
გასარკვევად	გასა რკვევ ად
მალდინი	მალ დინ ი
ტომებად	ტომ ებად
ქცევაზე	ქცევ აზე
ავსებს	ა ვსებ ს
გაზომვას	გა ზომვ ას
სეპარატიზმის	სე პარატ იზმის
მოსიარულე	მო სიარულ ე
კრებულებს	კრებულ ებს
ევროპული	ევრო პ ული
ჩამოხრჩობა	ჩამო ხრჩ ობა
დიტრიხმა	დიტ რიხ მა
ზრდით	ზრდ ით
გააჩუმე	გაა ჩუმ ე
მდიდრული	მდიდრ ული
მაღალტექნოლოგიური	მაღალ ტექნ ოლოგიური
თვალებით	თვალ ებით
მუსიკოსების	მუს იკოს ების
გამოსავალი	გა მოსავალ ი
კანდიდატურის	კანდიდატურ ის
ნუმენორის	ნუ მენორ ის
ხელფასების	ხელ ფას ების
სტუმრების	სტუმრ ების
ჩასმული	ჩა სმულ ი
ფანტაზია	ფანტა ზი ა
კლდეში	კლ დე ში
კომბინაციები	კომბინაცი ები
იღუპება	ი ღუპ ება
აქამდე	აქ ამდე
მონათმფლობელობის	მო ნათმფლობე ლობის
ნიადაგებია	ნი ადაგ ებია
მიახლოებული	მი ახლოებ ული
ბავშვებსა	ბავშვ ებსა
მონადირეებს	მონადირე ებს
ვარსკვლავებთან	ვარსკვლავ ებთან
ემბრიონის	ემბრი ონ ის
შეერთებულია	შე ერთებ ულია
სკოლისათვის	სკოლ ისათვის
ტურისტული	ტურისტ ული
ჯავახეთის	ჯავახ ეთ ის
სალვადორ	სა ლვადორ
ლამამ	ლამ ამ
წლისთავს	წლი სთავ ს
ჩაყარეს	ჩა ყარ ეს
გადასცემენ	გადა სცემ ენ
სახასო	სახას ო
ბუბა	ბუ ბ ა
კონფლიქტებს	კონფ ლიქტ ებს
სახარება	სა ხარებ ა
მონტაჟი	მონტაჟ ი
შეუვალობის	შეუ ვალ ობის
არსების	არსებ ის
მოციქულების	მოციქულ ების
უილიამ	უილ იამ
რაიტის	რა იტ ის
დაპირისპირებების	დაპირისპირ ებ ების
საშტატო	სა შტატ ო
მწერალია	მწერალ ია
თსუ	თს უ
პალეოლითური	პალ ეოლით ური
დედაქალაქს	დედა ქალაქ ს
მთავარანგელოზის	მთავარ ანგელოზ ის
სამკერდე	სა მკერდ ე
ჰანიბალ	ჰან იბალ
რაოდენობაში	რა ოდენობ აში
ვაკეა	ვაკე ა
ანიმაციის	ან იმაცი ის
მცირერიცხოვანია	მცირე რიცხოვან ია
ჩამოშორება	ჩამო შორ ება
კავკასიისა	კავკას ი ისა
მთაა	მთ აა
რაჭველები	რა ჭველ ები
ზღვად	ზღვ ად
კანოეს	კან ოე ს
იძიებენ	ი ძი ებენ
მაღაზიები	მაღ აზი ები
დომ	დ ომ
ეხურა	ე ხურ ა
რწმენას	რწმენ ას
მიცელიუმი	მი ცელიუმ ი
შაშხანა	შა შხან ა
დემონსტრაციას	დე მონსტრ აციას
გაძლიერებამ	გა ძლიერებ ამ
ლიპის	ლი პ ის
შემოიღო	შემო იღ ო
ორმოსამარხები	ორმოსა მარხ ები
მოუკლავს	მოუ კლავ ს
იკვებებიან	ი კვებ ებიან
შეცდომები	შე ცდომ ები
აპარატის	ა პარატ ის
ინაცვლებს	ინაცვლ ებს
გაყოლოდა	გა ყოლ ოდა
კულტის	კულტ ის
უბედურება	უბედურ ება
იტრიუმი	იტრი უმი
იწერდა	ი წერ და
ოფიციალური	ოფიციალურ ი
ფილტრაციის	ფილ ტრ აციის
მაგარი	მა გარ ი
დაკების	და კ ების
კუნძულოვანი	კუნძულ ოვანი
სარჩული	სა რჩ ული
ავიდნენ	ა ვიდ ნენ
ნიღბების	ნ იღბ ების
გვარდიის	გვარდი ის
მეიერსი	მე იერ სი
დანახვისას	და ნახვ ისას
ინდურ	ინ დ ურ
ნელა	ნელ ა
აძლევენ	ა ძლევ ენ
მოთამაშეების	მო თამაშე ების
პროფესორ	პროფეს ორ
უყურადღებობის	უყურად ღებ ობის
სიტყვებით	სიტყვ ებით
ნეპალის	ნე პალ ის
მოზარდობის	მო ზარდ ობის
განხორციელებაში	განხორციელ ებ აში
დაიფიცა	დაი ფიც ა
უმრავლესობით	უმრავლეს ობ ით
შებოლილი	შე ბოლ ილი
კომიტეტს	კომ იტეტ ს
მოლაპარაკებას	მოლაპარა კებ ას
სასულე	სა სულ ე
ტიბეტი	ტიბე ტ ი
ბლოგი	ბ ლოგ ი
მედია	მე დი ა
დანახვა	და ნახვ ა
კათოლიკეებს	კათოლიკე ებს
დაუწყეს	და უწყ ეს
მცდელობები	მც დელობ ები
გმირს	გმირ ს
ერთდროული	ერთ დრო ული
კურსებს	კურს ებს
სამუშაო	სამუშა ო
აზოტოვან	აზოტ ოვან
მოამზადეს	მო ამზად ეს
ალექსანდრიელის	ალექსან დრი ელის
ასასვლელად	ა სასვლელ ად
ფრანგულენოვანი	ფრან გულ ენოვანი
კანტონის	კანტონ ის
რედაქტირებული	რედა ქტ ირებული
უკმარისობას	უ კმარის ობას
გდანსკის	გდან სკ ის
შემოღების	შემო ღებ ის
დაქვემდებარებაშია	და ქვემდებარებ აშია
შედეგებისა	შე დეგ ებისა
აგდებენ	ა გდებ ენ
აღმაშენებელმა	აღმა შენებ ელმა
ადგილობრივი	ადგილ ობრივ ი
ბობის	ბ ობ ის
მთიელები	მ თიელ ები
ლოდების	ლოდ ების
უმეტეს	უმეტეს
ლითოლოგიური	ლით ოლოგიური
სამხრეთით	სა მხრეთ ით
ქვევრია	ქვე ვრ ია
საზოგადოებისადმი	სა ზოგადოებ ისადმი
აღენიშნება	აღე ნიშნებ ა
შემოიფარგლა	შემოი ფარგლ ა
კითხულობენ	კითხულობ ენ
სტეფენ	სტე ფენ
კრუნჩხვები	კრუნჩხვ ები
მშვიდობა	მშვიდობ ა
ასოცირებულ	ასოცი რ ებულ
სერიებს	სერ ი ებს
ისეთივე	ი სეთ ივე
პრემია	პრე მი ა
ამქვეყნად	ამ ქვეყნ ად
მაგნეტიტის	მაგ ნეტ იტის
ოქტავიანეს	ოქტავ იანე ს
ჩემპიონებს	ჩემპიო ნ ებს
სახეობას	სახეობ ას
მკვეთრი	მკვეთ რ ი
კოდების	კ ოდ ების
უზრუნველსაყოფად	უზრუნველსა ყოფ ად
ამინდით	ა მინდ ით
წყალგამყოფზე	წყალგა მყოფ ზე
მონები	მო ნებ ი
ადგილისა	ადგილ ისა
გადასაღებ	გადასა ღებ
წყალსაცავი	წყალ საცავ ი
ჩაბი	ჩა ბ ი
გასაძლიერებლად	გასა ძლიერ ებლად
ენებისა	ენ ებისა
ნამუშევარში	ნა მუშევარ ში
ბარიდან	ბარ იდან
უკანასკნელისაგან	უ კანასკნელ ისაგან
ფორმისაა	ფორმ ისაა
გამომწვევ	გამომ წვევ
ბაგრატუნების	ბაგრატ უნ ების
გამოიტანა	გამო იტან ა
მლ	მლ
ჩაპლინი	ჩა პლინ ი
რეზულტატის	რეზ ულტატ ის
პრიზი	პრიზ ი
წყალობის	წყალ ობ ის
საინტერესოა	სა ინტერეს ოა
ერნესტო	ერ ნესტ ო
ნების	ნებ ის
გამოსცემენ	გამო სცემ ენ
კაბინა	კა ბინ ა
სპარსეთის	სპარ სეთ ის
მიირთმევენ	მიი რთმევ ენ
ბრძანა	ბრძან ა
მარჯვენა	მარჯვენ ა
გუნდს	გუნდ ს
არქიტექტურის	არქიტექ ტურ ის
ვარაუდის	ვარაუდ ის
ისეთმა	ი სეთ მა
ლევ	ლე ვ
ოცნებამ	ოცნებ ამ
მუშას	მუშ ას
თარგმანით	თარგ მან ით
ადიშის	ა დიშ ის
ტოტენჰემმა	ტოტენჰემ მა
ვალენტინა	ვალ ენტინ ა
წარმოიქმნენ	წარმო იქმნ ენ
ეხება	ეხ ება
დასავლეთს	და სავლეთ ს
რიტუალურ	რიტუალ ურ
ფრანკების	ფრან კ ების
ყვინთავენ	ყვი ნთ ავენ
გაძლო	გა ძლ ო
გლუვ	გლ უვ
რაკეტა	რა კეტ ა
ერაყიდან	ე რაყ იდან
სარუმანის	სა რუმან ის
მიანიშნებს	მია ნიშნ ებს
რეჟისორის	რეჟისორ ის
რომანის	რო მან ის
დემოკრატია	დემო კრატი ა
კატასტროფული	კატა სტროფ ული
მოხარშული	მო ხარშ ული
მოგვითხრობს	მოგვი თხრ ობს
ჰიდროქსიდის	ჰიდრო ქსიდ ის
მხარეებში	მხარე ებში
შეიზღუდა	შეი ზღუდ ა
ოსირისი	ოსი რის ი
თეორიას	თე ორი ას
კონკისტადორები	კონკისტ ადორ ები
ქვეკლასი	ქვე კლას ი
ფერნანდო	ფერ ნანდ ო
პაპი	პაპ ი
ვამბობთ	ვ ამბობ თ
შენაერთი	შენა ერთ ი
წვერის	წვერ ის
ბანკები	ბანკ ები
ცხენით	ცხ ენ ით
სპეციფიურ	სპეციფი ურ
პოზიტიურად	პოზიტ იურ ად
ნასაკირალის	ნასაკი რალ ის
უვლიდა	უ ვლ იდა
მგზავრობისას	მგზავრ ობისას
იძლეოდა	ი ძლ ეოდა
ელემენტზე	ელე მენტ ზე
მოუწოდა	მოუ წოდ ა
სჭირდება	ს ჭირდებ ა
კოდექსს	კო დექს ს
წესისა	წეს ისა
ხის	ხ ის
ვალუტას	ვალუტ ას
მარშრუტები	მარშრუტ ები
არგენტინული	არგ ენტინ ული
სტინგმა	სტინგ მა
გეომეტრიულ	გეო მეტრი ულ
მასწავლებლობდა	მა სწავლებლ ობდა
ს	ს
სტილს	სტილ ს
ლუვრი	ლუ ვრ ი
ჩინგიზ	ჩინ გიზ
აზერბაიჯანში	ა ზერბაიჯან ში
ბედი	ბედ ი
პოლოკი	პოლ ოკ ი
ობიექტური	ობ იექტ ური
პი	პი
მოუსწრო	მოუ სწრ ო
ყვირის	ყვირ ის
მზად	მ ზ ად
საზღვრავს	საზღვრ ავს
მზადების	მზად ების
ფილოგენეზური	ფილ ოგენეზ ური
განვითარდნენ	განვითარ დნენ
დაქვეითებით	და ქვეით ებით
ჩუს	ჩუ ს
ტყეებისა	ტყე ებ ისა
მკვდართა	მკვდ არ თა
სამართალში	სა მართალ ში
დაწინაურება	და წინაურ ება
მაქცია	მა ქცი ა
უზენაესობის	უზენაეს ობის
ძლივს	ძლივ ს
შემორჩა	შემო რჩ ა
დომიციანეს	დომ იციან ეს
ერთს	ერთ ს
დაკავშირებას	და კავშირებ ას
კლასი	კლას ი
ქარის	ქარ ის
ბალეტის	ბალეტ ის
ბრინჯი	ბრი ნჯ ი
საერისთავოში	საერის თავო ში
ენეასი	ე ნეას ი
ენათესავება	ე ნათესავ ება
დარეჯანი	დარე ჯან ი
თომასმა	თო მას მა
გაიგონეს	გაი გონ ეს
დაიწუნა	და იწუნ ა
ხატს	ხატ ს
მაწყვერელი	მაწყვ ერ ელი
ძველეგვიპტური	ძველ ეგვიპტ ური
იანის	იან ის
ესწავლებინათ	ე სწავლ ებინათ
პასუხისმგებლობას	პასუხისმ გებლობ ას
ინტერპრეტაციით	ინტერპრ ეტ აციით
აიღებდნენ	აი ღებ დნენ
აკითხავენ	აკითხავ ენ
პირამიდული	პირამ იდ ული
ნაწარმოებებს	ნა წარმოებ ებს
მოვალეობად	მო ვალეობ ად
უპირისპირდებოდნენ	უპირისპირ დებოდნენ
ხმარებას	ხმარებ ას
მსახურობის	მსახურ ობის
მუზეუმებში	მუზეუმ ებში
ეპიდემიას	ეპიდემი ას
ბორჯომისა	ბორ ჯომ ისა
ბრიუსის	ბრიუს ის
მუჰაფაზა	მუჰაფ აზ ა
ნავიგაცია	ნავიგაცი ა
ჩამოვარდნის	ჩამო ვარდნ ის
მნიშვნელოვან	მნიშვნელო ვან
მსახურთუხუცესი	მსახურ თუხუცესი
განპირობებული	გან პირობებ ული
მოლაპარაკებებზე	მოლაპარა კებ ებზე
მემკვიდრეს	მემკვიდრე ს
საენათმეცნიერო	საენათ მეცნიერ ო
დატვირთული	და ტვირთ ული
შუამთის	შუა მთ ის
დაიმორჩილა	დაი მორჩილ ა
სარგებლობდნენ	სარ გებლობ დნენ
შთანთქმა	შთა ნთქ მა
ამასთან	ამ ასთან
ყარაბაღში	ყარა ბაღ ში
ვარიანტია	ვარ იანტ ია
სიმღერათა	სი მღერ ათა
რეგრესი	რე გრეს ი
შეადგენს	შეა დგენ ს
ყვებოდა	ყვ ებოდა
გასვლაში	გა სვლ აში
წელზე	წელ ზე
ბალტიური	ბალ ტი ური
კილომეტრითაა	კილო მეტრ ითაა
ქაია	ქა ი ა
შემდგომი	შე მდგომ ი
უღირსი	უ ღირს ი
სჭირდებოდათ	ს ჭირდებ ოდათ
ელექტრონული	ელექტრო ნ ული
გადატანას	გადა ტან ას
სახვითი	სა ხვ ითი
შერჩევას	შე რჩევ ას
ჩინგის	ჩინ გ ის
საჭმელს	სა ჭმ ელს
ბავარიაში	ბ ავარი აში
გამოყენებაც	გამო ყენებ აც
ისნი	ის ნ ი
კულტურის	კულტურ ის
გამოსახვის	გამო სახვ ის
მებრძოლები	მე ბრძოლ ები
მომთაბარეთა	მომ თაბარე თა
მუსიკის	მუს იკ ის
შეუძლებელი	შეუ ძლებელ ი
ჩვენში	ჩვენ ში
ბრძოლამდე	ბრძოლ ამდე
ლონდონში	ლონ დონ ში
შეეგება	შეე გ ება
წინააღმდეგი	წინააღმდეგ ი
კორეას	კო რე ას
ყვირილი	ყვირ ილი
შეუიარაღებელი	შეუ იარაღ ებელი
კონცერტიდან	კონც ერტ იდან
რომელმაც	რომ ელ მაც
მამრთან	მამ რ თან
ფილოსოფიისა	ფილოსოფ ი ისა
წვის	წვ ის
ოზონის	ო ზონ ის
ფულადი	ფუ ლ ადი
აგებიდან	ა გებ იდან
ცენტრალურმა	ცენტ რალ ურმა
ქართველმა	ქარ თველ მა
გამოექვეყნებინა	გამოე ქვეყნ ებინა
გაწვეულ	გა წვეულ
უფლისციხის	უფლის ციხ ის
ვედრება	ვედრ ება
გამოსახულებით	გამოსა ხულ ებით
თანამშრომლობას	თანამშრომ ლობ ას
ჯადოქარს	ჯადო ქარ ს
სეგმენტში	სე გმენტ ში
ვეფხვი	ვეფხ ვ ი
დააბრუნა	დაა ბრუნ ა
სამ	სა მ
იუდეა	იუ დე ა
რეტის	რე ტ ის
ფორუმებს	ფორ უმ ებს
მოგზაურები	მოგზაურ ები
სიტყვაში	სიტყვ აში
კონფერენციაზე	კონ ფერენცი აზე
თანადგომა	თანა დგომ ა
სამარშრუტო	სა მარშრუტ ო
ქება	ქ ება
გაანათხოვრა	გაანა თხოვ რა
მისიას	მი სი ას
წარმოსახული	წარმო სახ ული
ბელას	ბელ ას
სიცილიის	ს იცილი ის
ხაზინას	ხაზინ ას
არაბთა	არ აბ თა
ხმარობს	ხმარ ობს
მდაბიო	მ დაბ იო
გადაცემებს	გადა ცემ ებს
ამისდა	ა მის და
დახურვა	და ხურვ ა
სასახლეთა	სა სახლე თა
სოკოვანი	ს ოკ ოვანი
მართვაში	მართ ვ აში
შეჭამა	შე ჭამ ა
წესის	წეს ის
დედაჩემი	დედა ჩემ ი
იტალიელმა	ი ტალი ელმა
სარკინიგზო	სა რკინიგზ ო
უცხოს	უცხო ს
მერიის	მერ ი ის
ნაკრძალები	ნა კრძალ ები
მამლები	მა მლ ები
სამგანზომილებიანი	სამ განზომილ ებიანი
პრომეთე	პრომე თე
ნახტომი	ნახ ტომ ი
ამბობდნენ	ამბობ დნენ
დარტყმა	და რტყმ ა
სადგომები	სა დგომ ები
წვრილ	წვრილ
კელტური	კე ლტ ური
ძალებისგან	ძალ ებისგან
წარჩინებულთა	წარ ჩინებულ თა
დევნილ	დე ვნილ
გამოჭრილი	გამო ჭრილ ი
შადრევნები	შადრევ ნ ები
რომანში	რო მან ში
სტუდენტი	სტ უდენტ ი
გენური	გენ ური
სერიალით	სერ იალ ით
დასაყრდენს	დასა ყრდენ ს
ელისო	ელ ის ო
საფრანგეთს	საფრან გეთ ს
ჯგუფით	ჯგუფ ით
ბელიზში	ბელ იზ ში
სახსარი	სა ხს არი
სემმა	სე მ მა
გამოყენებას	გამო ყენებ ას
მონუმენტთა	მონუ მენტ თა
სუონის	სუ ონ ის
გარსშემორტყმული	გარ სშე მორტყმული
დროინდელ	დროინდელ
ეფექტებს	ეფექტ ებს
გრეისი	გრე ის ი
იმედოვნებენ	იმედ ოვნ ებენ
კორპუსების	კორ პუს ების
მოუწევს	მოუ წევ ს
მასალებს	მა სალ ებს
ოთხასი	ოთხ ასი
შეკეთება	შე კეთ ება
შეუწირავს	შეუ წირავ ს
არღუნის	არღ უნ ის
კურსდამთავრებულები	კურსდამთავრებულ ები
რომისთვის	რო მ ისთვის
მოთავსება	მო თავს ება
გაძლიერების	გა ძლიერებ ის
სტრიქონი	სტრი ქონ ი
აწამებდნენ	ა წამ ებდნენ
ქაქუცა	ქა ქუც ა
ალბომთან	ალ ბომ თან
არაგონელის	არა გონ ელის
სისადავე	სი სადავე
საგულისხმო	სა გულისხმ ო
უფალთან	უ ფალ თან
გაფორმებით	გა ფორმ ებით
კამპანიებში	კამ პანი ებში
ანტისხეულების	ანტი სხეულ ების
ქერქისა	ქერ ქ ისა
ცერემონიულ	ცერემონ ი ულ
თმას	თმ ას
კომენტარს	კომენ ტარ ს
საქმეები	სა ქმე ები
შევნიშნოთ	შევ ნიშნ ოთ
შემოიყვანა	შემო იყვან ა
მიღებისთვის	მი ღებ ისთვის
სკოლასა	სკოლ ასა
ჩავარდნა	ჩა ვარდნ ა
ირჩევიან	ი რჩევ იან
აიდაჰოს	აიდა ჰ ოს
გენიალური	გენ იალური
სიშორე	სი შორ ე
ლეჰის	ლე ჰ ის
შეარქვეს	შე არქვ ეს
ჰყოფს	ჰყოფ ს
ზღუდე	ზღუდ ე
ზურგი	ზურ გ ი
პირადად	პირ ად ად
სატელეკომუნიკაციო	სატელეკომუნი კაცი ო
ჰუსერლი	ჰუს ერლი
მონაწილეობენ	მო ნაწილეობ ენ
ბოსტნეულისა	ბოსტ ნეულ ისა
ტონგის	ტონ გ ის
გალბას	გა ლბ ას
ლანძღავენ	ლან ძღ ავენ
მმართველობისა	მ მართველობ ისა
ბარნი	ბარ ნი
ნერონი	ნე რონ ი
ვარსკვლავების	ვარსკვლავ ების
დისკოგრაფია	დისკო გრაფი ა
ილირიული	ილირი ული
სამეკლესიიანი	სამ ეკლესი იანი
სითბო	სი თბო
ფართედაა	ფარ თედ აა
თავსართს	თავსა რთ ს
ნიკარაგუელები	ნიკარაგუ ელ ები
გამოეყვანა	გამო ეყვან ა
სექტორის	სე ქტორ ის
ჰექტარზე	ჰე ქტარ ზე
ნახშირწყლების	ნახშირ წყლებ ის
მიქცეული	მი ქცეულ ი
ზეთი	ზეთ ი
ექსპედიციას	ექსპედიცი ას
მკვლევარმა	მკვლევ არ მა
ბაქოს	ბაქო ს
მწვერვალზე	მ წვერვალ ზე
საიტს	სა იტ ს
ორგანული	ორგან ული
ცაზე	ც აზე
არაორგანიზებული	არა ორგან იზებული
ქვეჯგუფის	ქვე ჯგუფ ის
დანიელ	და ნიელ
განიცადოს	განი ცად ოს
ჰიტლერმა	ჰიტლერ მა
დააქორწინეს	დაა ქორწინ ეს
კურჩატოვის	კურჩა ტოვ ის
გაჩერებულა	გა ჩერებულ ა
კიტა	კი ტ ა
მევიოლინე	მევი ოლინ ე
სამეფოც	სამე ფო ც
ადაპტაციას	ადაპტ აცი ას
შენობებსა	შე ნობ ებსა
საწყისები	სა წყის ები
აფინანსებს	ა ფინანს ებს
თავისებურებანი	თავის ებურებ ანი
ადამიანებით	ადამიან ებით
კოქსი	კო ქს ი
ქვიშაქვებითა	ქვი შაქვ ებითა
რიგითი	რიგ ითი
ხორცი	ხორც ი
ამოშენებული	ამო შენებულ ი
სუბიექტური	სუბ იექტ ური
წინამორბედი	წინამორ ბედ ი
იმიგრანტი	ი მიგრანტ ი
პუშტუნები	პუშ ტუნ ები
დინებაზე	დინებ აზე
დღესდღეისობით	დღეს დღე ისობით
გამონაბოლქვის	გამონა ბოლქვ ის
მექსიკელი	მე ქსიკ ელი
მოღვაწის	მო ღვაწ ის
ბერინგის	ბერ ინგის
სახელიდან	სახელ იდან
გადარჩენილებს	გადა რჩენილ ებს
ნეირონული	ნე ირონ ული
გაეშურნენ	გაე შურ ნენ
ჩაპლინის	ჩა პლინ ის
განრისხებულმა	გან რისხ ებულმა
მიცვალებულთა	მი ცვალებულ თა
საათზე	სა ათ ზე
ბოლნისის	ბოლ ნის ის
მთასა	მთ ასა
ოტავის	ოტ ავ ის
აყალიბებს	ა ყალიბ ებს
კპ	კპ
თხზულებების	თხ ზულებ ების
სცენარისთვის	სცენარ ისთვის
უშუალოდ	უ შუალ ოდ
პოპულარულები	პოპულარ ულ ები
დამხობის	და მხობ ის
ჰასიდური	ჰა სიდ ური
წარმოადგენდა	წარმო ადგენ და
შამანს	შა მან ს
შორი	შორ ი
ტრეილერში	ტრე ილერ ში
დაბადებულა	დაბადებულ ა
მოკვდებოდა	მო კვდ ებოდა
მატჩები	მა ტჩ ები
საცოლეს	სა ცოლ ეს
სურდათ	სურ დათ
ხონის	ხო ნ ის
სანთელი	სან თელ ი
გაუდი	გაუ დ ი
ადგას	ა დგ ას
პროფესორის	პროფეს ორ ის
შეკუმშვა	შე კუმშ ვა
ბედის	ბედ ის
ლეგიონები	ლეგი ონ ები
ბოლესლავის	ბოლ ესლავ ის
თბილისზე	თ ბილის ზე
სოფელი	სოფ ელ ი
ვისაც	ვის აც
წერტილის	წერ ტილ ის
წილ	წი ლ
მუნიციპალიტეტს	მუნიცი პალიტეტ ს
ოდრი	ო დრ ი
დრამის	დრა მ ის
ტელესკოპით	ტელე სკოპ ით
ნივთები	ნი ვთ ები
დაუკრა	დაუ კრ ა
შრი	შრ ი
დაუჯერა	დაუ ჯერ ა
შინაური	შინა ური
განისაზღვრება	განი საზღვრ ება
კონსტანტინეპოლის	კონსტანტ ინეპოლ ის
ისლ	ი სლ
ოჰრიდის	ოჰ რიდ ის
გაუქმებით	გა უქმ ებით
მკაცრადაა	მკაცრ ადაა
მაქსიმუსი	მაქსი მ უსი
მხარდამჭერი	მხარდამ ჭერ ი
რგოლებით	რ გოლ ებით
ალპებთან	ალპ ებთან
მოსაზრებებს	მოს აზრებ ებს
თვისებებისა	თვისებ ებისა
ბიძაშვილ	ბიძა შვილ
ბერიას	ბერ იას
ომისას	ომ ისას
გამოსვლისთანავე	გამო სვლ ისთანავე
უკანასკნელზე	უ კანასკნელ ზე
გონჩაროვა	გონჩა როვ ა
უძლიერეს	უ ძლიერ ეს
რბოლის	რბოლ ის
ლოცულობდა	ლო ცულობ და
მინიმუმის	მინიმ უმ ის
გრძნობები	გრძნობ ები
აუკრძალეს	აუ კრძალ ეს
მიკრო	მი კრ ო
რენო	რენ ო
მიმართვა	მი მართვ ა
ადმინისტრატორი	ადმინისტრ ატორ ი
საბჭოელებმა	საბჭო ელებმა
შესამკობად	შესამ კობ ად
არს	არ ს
მოხმარებისთვის	მო ხმარებ ისთვის
კრიზისს	კრი ზის ს
მშვიდობიანად	მშვიდობ იანად
ფილმსა	ფილმ სა
ძანეტი	ძან ეტ ი
ფიზიკას	ფიზიკ ას
სომხეთთან	სომხ ეთ თან
სამოთხეში	სამო თხ ეში
პიქსელების	პიქსელ ების
აკლია	ა კლ ია
სატრფიალო	სატრფ იალ ო
განისაზღვრებოდა	განი საზღვრ ებოდა
მიაღებინა	მი აღ ებინა
კომპილაცია	კომპ ილაცი ა
ტოტები	ტოტ ები
დანალექებით	დანა ლექ ებით
უმრავლესი	უ მრავლ ესი
მონეტების	მო ნეტ ების
სიგრძეც	სი გრძე ც
ზოგიერთს	ზოგი ერთ ს
წარსულისა	წარ სულ ისა
ჯავშნით	ჯავშნ ით
გეოგრაფიულმა	გეო გრაფი ულმა
მისულმა	მის ულმა
აზერბაიჯანულ	ა ზერბაიჯან ულ
თავდაუზოგავი	თავდა უზოგ ავი
მხედართა	მხედ არ თა
გაცვლას	გა ცვლ ას
მთიელთა	მ თიელ თა
ინტერესმა	ინტერეს მა
ვეძიოთ	ვე ძი ოთ
ავსებენ	ა ვსებ ენ
სლოგანი	ს ლოგ ანი
სამეფოსა	სამე ფო სა
მწუხარე	მწუხარ ე
ნათესავთან	ნათესავ თან
სლიმ	ს ლიმ
თანამდროვე	თანამ დროვე
ირთვება	ი რთვ ება
მოუთხრო	მოუ თხრ ო
მოხდენას	მო ხდენ ას
დაინტერესებას	და ინტერესებ ას
მკურნალი	მკურნალ ი
პედრო	პე დრ ო
ფართობის	ფართო ბ ის
ღირებულებას	ღირ ებულებ ას
ტბისპირა	ტბ ისპირა
შესრულებულმა	შე სრულებ ულმა
სტამბის	სტამბ ის
მატრიცული	მ ატრიც ული
ადამიანისთვის	ადამიან ისთვის
დაუნის	და უნ ის
სენატორებმა	სენ ატორ ებმა
