იტალიასთან	იტალ ი ასთან
მამლუქებს	მამ ლუქ ებს
ასაშენებლად	ასა შენ ებლად
უკურნებელი	უ კურნ ებელი
ემღერა	ე მღერ ა
გაგებული	გა გ ებული
ევრა	ევრ ა
ენეოლითის	ენე ოლით ის
რკინას	რკინ ას
მუნდურუკუს	მუნდ ურუკუ ს
დარბიან	და რბ იან
იჭმება	იჭ მ ება
ანდერსონის	ან დერსონ ის
გლეხების	გლეხ ების
სამარიუმის	სამ არ იუმის
მიიმალა	მიი მალ ა
დიტრიხი	დი ტრიხ ი
ტიმოთე	ტი მოთ ე
ციხემ	ციხე მ
ჩუქჩების	ჩუქჩ ებ ის
პლატონი	პლატონ ი
შემსრულებელთან	შემსრულებ ელ თან
ლექციები	ლექცი ები
დააწესა	დაა წეს ა
შეადგენენ	შე ადგენ ენ
ნავთობსა	ნავთობ სა
გაკვეთილები	გა კვეთილ ები
დროშაა	დროშ აა
ჟანრმა	ჟანრ მა
ინგლისელები	ინგლის ელ ები
გენოციდი	გენოც იდ ი
მოსასმენად	მოსა სმენ ად
წიაღიდან	წი აღ იდან
არსებობაში	არ სებობ აში
ზრდადი	ზრდ ადი
კართაგენელი	კართაგე ნელ ი
ფარგლებშია	ფარგლ ებშია
ქართველია	ქართ ველ ია
ბელადმა	ბელ ად მა
დაასრულებს	დაა სრულ ებს
გერტრუდ	გერ ტრუ დ
გადმოცემას	გადმო ცემ ას
აწყობდა	ა წყობ და
დასცინიან	დას ცინ იან
კოროზიული	კორ ოზი ული
მესტიის	მე სტი ის
გამოიკვეთა	გამოი კვეთ ა
ლომის	ლო მ ის
შეგნების	შეგნებ ის
დიალექტს	დია ლექტ ს
მღვდელმთავართა	მღვდელ მთავარ თა
არტურა	არ ტურ ა
გადაწყდება	გადა წყდ ება
კომპანიას	კომპანი ას
ბალახებია	ბალახ ებია
სართულებზე	სა რთულ ებზე
რეჟისორთან	რეჟისორ თან
ორიგინალი	ორიგინალ ი
ერთობის	ერთ ობ ის
ასტონ	ა სტ ონ
წრფეზე	წრფ ეზე
დევნილებს	დე ვნილ ებს
ნაწლავს	ნა წლავ ს
ხალებიანი	ხალ ებიანი
ჯვარზე	ჯვარ ზე
ტყუპი	ტყუ პ ი
წარუდგინა	წარუ დგინ ა
ჰოლანდიელმა	ჰოლ ანდიელ მა
ხიდის	ხი დ ის
წრის	წრ ის
მარზპანი	მარზ პანი
უოტერსთან	უოტ ერს თან
ყვავილობს	ყვავილ ობს
ორბელის	ორ ბელ ის
ფორმებს	ფორმ ებს
მოქცეულია	მო ქცეულ ია
ჩანს	ჩან ს
კაპიტულაცია	კაპიტ ულაცი ა
ცათა	ც ათ ა
ცენტრად	ცენტრ ად
გუჯარათის	გუ ჯარ ათის
მიღებასთან	მი ღებ ასთან
მცველის	მცველ ის
ესწავლა	ე სწავლ ა
პოსტმოდერნული	პოსტ მოდერნ ული
ოჯახიც	ოჯახ იც
ამფიბიების	ამფი ბი ების
ბრძანებების	ბრძანებ ების
პროგრამის	პრო გრამ ის
ტურები	ტურ ები
ტალღებზე	ტალღ ებზე
ნარუტოს	ნა რუტ ოს
ნისლიან	ნის ლ იან
ელისემ	ელ ის ემ
ნაწილისგან	ნაწილ ისგან
გაიცნობენ	გაი ცნობ ენ
ეხერხებოდა	ე ხერხ ებოდა
რაუნდს	რა უნდ ს
დაიმზირება	და იმზ ირება
ფრესკებით	ფრე სკ ებით
ხსენებულ	ხსენებ ულ
შინაგანად	შინა გან ად
დეტალურად	დე ტალ ურად
კრეიფი	კრე იფ ი
შეაწუხა	შეა წუხ ა
ბრალდებით	ბრალდებ ით
გამოირჩეოდა	გამო ირჩ ეოდა
ძვლების	ძვლ ების
ცეცხლისა	ცეცხლ ისა
ზღაპრის	ზღა პრ ის
მუდმივ	მ უდმივ
ღირსშესანიშნაობების	ღირს შესანიშნაობ ების
წყაროებიდან	წყარო ებიდან
მტრისათვის	მ ტრ ისათვის
დადგნენ	და დგ ნენ
პარტიის	პარტი ის
ჩვეულებრივზე	ჩვეულებრივ ზე
დაამზადეს	დაა მზად ეს
სასურსათო	სა სურსათ ო
გამოიძახეს	გამოი ძახ ეს
კამპანიაში	კამ პანი აში
მოსალოდნელი	მოსა ლოდნელ ი
ფერნანდეს	ფერნა ნდ ეს
გლაზგოს	გლა ზგ ოს
მოხვდება	მო ხვდ ება
სარბიელი	სა რბიელ ი
დაწყებულ	და წყებ ულ
მეცხრამეტე	მე ცხრამეტ ე
მოთხოვნას	მო თხოვნ ას
გარდაცვალებას	გარდა ცვალებ ას
სნუკერისტი	სნუ კერ ისტი
გააზრება	გაა ზრებ ა
სიკვდილს	სიკვდი ლ ს
ყვავი	ყვავ ი
სათოფურები	სათოფურ ებ ი
ეტალონად	ე ტალონ ად
ფარსმანის	ფარს მან ის
გადასახლებაში	გადა სახლებ აში
ჩვეულების	ჩვეულ ების
ვითარებით	ვითარებ ით
ობიექტად	ობ იექტ ად
სხვდასხვა	სხვ დასხვა
ერთნაირ	ერთ ნაირ
ფილტვის	ფილ ტვ ის
შემოსილ	შემო სილ
ცურავს	ცურავ ს
მადაგასკარზე	მადაგა სკარ ზე
აღზრდილი	აღ ზრდ ილი
გასამართად	გასა მართ ად
ჩაისახა	ჩა ისახ ა
გინესის	გინ ეს ის
დეიმონი	დე იმონ ი
დემეტრეს	დე მეტრე ს
მისულა	მი სულ ა
გაკვირვება	გა კვირვებ ა
ჰუმანიტარულ	ჰუმან იტარულ
ტრუმენის	ტრუ მენ ის
გვანან	გვანან
ტატუს	ტა ტუ ს
ტუმბოს	ტუ მბ ოს
ანასტასი	ანა სტასი
კაპრერაზე	კაპრ ერ აზე
თეოდორე	თეო დორ ე
კამილ	კა მილ
ლიანას	ლიან ას
იმპიჩმენტის	იმპიჩ მენტ ის
მეორეც	მეორე ც
ამბები	ამბ ები
საათები	სა ათ ები
რეალურად	რეალ ურად
მაჩვენებელია	მაჩვენებ ელ ია
რეალ	რეალ
მეფისნაცვალი	მეფისნაც ვალ ი
ლევანმა	ლე ვან მა
ჯაზური	ჯა ზ ური
მგრძნობელობის	მგრძნობ ელ ობის
მეტალთა	მე ტალ თა
დაბეჭდილი	და ბეჭდილ ი
მოწვევების	მო წვევ ების
ტუპაკის	ტუ პაკ ის
სისტემად	სისტემ ად
სეზონშიც	სე ზონ შიც
კონქში	კონ ქ ში
მიუახლოვდება	მიუ ახლოვდ ება
კანონებს	კანონ ებს
ამფიბიები	ამფი ბი ები
სურნელება	სურ ნელ ება
მეცნიერებები	მეცნიერებ ები
გერმანიას	გერმან ი ას
ფუნქციური	ფუნქც ი ური
საძოვრებზე	სა ძოვრებ ზე
კაროლინას	კარ ოლინ ას
კეისარმა	კე ისარ მა
ფიჭური	ფი ჭ ური
წვიმას	წვ იმ ას
ბართლომეს	ბა რთლომ ეს
ურთიერთობები	ურთიერთ ობ ები
მასებით	მა ს ებით
ბეტი	ბეტ ი
სისხლში	სისხლ ში
ვიტოს	ვ იტ ოს
დაღუპვის	და ღუპვ ის
ჩამოიხრჩო	ჩამოი ხრჩ ო
გატანით	გა ტან ით
მწკრივები	მწკრივ ები
დომენი	დომენ ი
დიქტატორული	დიქტა ტორ ული
ემორჩილება	ე მორჩილ ება
მითითების	მი თითებ ის
ფლორიდაში	ფლორ იდ აში
კრიპტოგრაფიის	კრიპტო გრაფი ის
შახტი	შა ხტ ი
თვალზე	თვალ ზე
ჩანაწერებზე	ჩანა წერ ებზე
ერთმანეთში	ერთ მანეთ ში
ბორბალოს	ბორ ბალ ოს
გამოთიშა	გამო თიშ ა
რობინ	რობ ინ
გურიის	გუ რი ის
ელფერს	ელ ფერ ს
საბჭოში	საბჭო ში
სიმწიფის	სი მწიფ ის
ნიმუშებს	ნიმუშ ებს
საუფლო	სა უფლ ო
აღმართვის	აღ მართვ ის
ოლ	ოლ
ვასალური	ვა სალ ური
თვითმფრინავიდან	თვითმ ფრინავ იდან
გრანდიოზული	გრან დიოზულ ი
ვენერა	ვენე რ ა
რაუნდის	რა უნდ ის
საგამოფენო	საგამო ფენ ო
ტრიომ	ტრი ო მ
ვადამდელ	ვად ამდელ
კომისიები	კომის ი ები
პლატფორმაზე	პლატ ფორმ აზე
დანერგილი	და ნერგ ილი
მტვრის	მ ტვრ ის
ერისთავს	ერის თავ ს
ითამაშეს	ი თამაშ ეს
იცვლებიან	ი ცვლ ებიან
მეთაურობდნენ	მე თაურ ობდნენ
ვეტო	ვ ეტ ო
პირველსა	პირველ სა
ეთერზეთოვანი	ეთერ ზეთ ოვანი
რგოლების	რ გოლ ების
დაბანაკებულ	და ბანაკ ებულ
წესით	წეს ით
მაისს	მა ის ს
მიუნსტერის	მიუნ სტერ ის
მეთოდებით	მე თოდ ებით
მკვლელები	მკვლელ ები
თემებია	თემ ებია
ზმნაში	ზმნ აში
სერვანტესის	სერ ვანტეს ის
რაღაცით	რა ღაც ით
თვალებში	თვალ ებ ში
დაღმასვლა	დაღმა სვლ ა
სიძულვილის	სი ძულვილ ის
შევარდნაძეს	შე ვარდნ აძეს
ოთხს	ოთხ ს
უდრიდა	უ დრ იდა
აგზავნიდა	ა გზავნ იდა
ფრანგულ	ფრანგულ
ქსოვილების	ქსო ვილ ების
იძიებს	ი ძი ებს
ადმინისტრაციული	ადმინის ტრაცი ული
კედლებისა	კე დლ ებისა
მოწმის	მოწმ ის
დასთან	დ ასთან
მარტისათვის	მარ ტ ისათვის
ბეიტსმა	ბე იტ სმა
მომხმარებელს	მომ ხმარებელ ს
მოქმედება	მოქმედებ ა
უმცროსმა	უ მცროს მა
ნოღაის	ნო ღა ის
რომანია	რო მან ია
დაუპირისპირდება	დაუ პირისპირ დება
თელავი	თე ლავ ი
ვიზიტით	ვიზიტ ით
სკოლის	ს კოლ ის
რემასტერი	რე მასტერ ი
ჩონჩხის	ჩონ ჩხ ის
ციმბირში	ცი მბირ ში
ტრავმირებული	ტრა ვმ ირებული
დაუზუსტებელია	დაუ ზუსტ ებელია
ავარიის	ავარ ი ის
მოხვდა	მო ხვდ ა
ტიპურ	ტი პ ურ
ბერძნულის	ბერძნულ ის
თითებით	თითებ ით
კონტინენტურ	კონტინენტ ურ
გასცილდა	გა სცილ და
შეცვლიდა	შე ცვლ იდა
დასარტყმელები	დასა რტყმელ ები
ჰესების	ჰე ს ების
კვერცხუჯრედის	კვერცხ უჯრედი ს
პარკში	პარ კ ში
სიმრავლეთა	სიმრავლე თა
ცილების	ცილ ების
ხედავენ	ხედავ ენ
ნებისმიერი	ნებ ისმიერ ი
ზედაპირზეა	ზედა პირ ზეა
იქნეს	ი ქნ ეს
სურსათის	სურსათ ის
ფერისაა	ფერ ისაა
ღამის	ღამ ის
ფეხბურთელებს	ფეხბურთ ელ ებს
ყველაფერ	ყველა ფერ
ავტობუსის	ავტობუს ის
ეკლესიის	ეკლესი ის
გამტარი	გა მტარ ი
ინსტრუმენტული	ინსტრ უმენტ ული
შირიმის	შირ იმ ის
ხანძარი	ხანძ არ ი
ვულკანის	ვულკან ის
ზღვების	ზღვ ების
კოლუმბიელი	კოლუმ ბი ელი
ნეშტის	ნე შტ ის
უწესრიგობა	უ წესრიგ ობა
დაგროვებული	და გროვ ებული
მოყავს	მო ყავ ს
ოსგუდი	ოსგ უდ ი
სტიმულირება	სტიმულირებ ა
ქუთაისის	ქუ თაის ის
ხორვატი	ხორ ვატი
ქირის	ქირ ის
ხუთას	ხუთ ას
დააინტერესა	დაა ინტერეს ა
მიხვდებოდი	მი ხვ დებოდი
სულთნების	სულთნ ების
სიმჭიდროვეა	სიმჭ იდროვ ეა
კოლონები	კოლ ონ ები
მიჰყვა	მი ჰყვ ა
თურქებმა	თურქ ებმა
ზღვისკენ	ზღვ ისკენ
შემონახული	შემო ნახულ ი
ორთოდოქსული	ორთო დოქს ული
ოცამდე	ოც ამდე
სცენარისტი	სცენ არ ისტი
ქართლს	ქარ თლ ს
გადატრიალება	გადა ტრიალ ება
სოიუზ	სოი უზ
ბოჭორმის	ბო ჭორმ ის
უნდაო	უნდ ა ო
შესწავლილია	შე სწავლ ილია
ბოსტონმა	ბოსტ ონ მა
აშენებულა	ა შენებულ ა
საგნებს	სა გნ ებს
როკფელერის	როკფე ლერ ის
მოვაჭრეები	მო ვაჭრე ები
ზღვაში	ზღვ აში
არენდით	არენდ ით
ემსახურებოდნენ	ე მსახურ ებოდნენ
ყურზე	ყურ ზე
ტიპებს	ტი პ ებს
გარინჩამ	გარ ინჩ ამ
ღვთაებასთან	ღვთა ებ ასთან
ატომებთან	ა ტომ ებთან
ფოსტა	ფო სტ ა
პრივილეგიებს	პრივილეგ ი ებს
ქარელის	ქარ ელ ის
ცნობით	ცნობ ით
სექსუალური	სექსუალ ური
გასამწვანებლად	გასა მწვან ებლად
მიუცია	მიუ ცი ა
ჯონსმა	ჯო ნს მა
ზეგანს	ზე გან ს
მოჰყვეს	მო ჰყვ ეს
კოლორადო	კოლ ორად ო
თარჯიმანი	თარჯი მან ი
პაული	პა ულ ი
არქეოლოგია	არქე ოლოგი ა
შავიზღვისპირეთში	შავი ზღვისპირ ეთში
არგოს	არგ ოს
ყაზახების	ყაზ ახ ების
თვითმართველობა	თვით მართველობ ა
პროპაგანდისტული	პროპა განდ ისტული
იფეთქა	ი ფეთქ ა
მაკა	მ აკ ა
იქცეოდა	იქც ეოდა
იხვის	ი ხვ ის
მთებიდან	მ თ ებიდან
ნესტიანი	ნე სტ იანი
კასრის	კას რ ის
საყელო	სა ყელ ო
ეხმაურება	ე ხმაურ ება
დაზიანებას	და ზიანებ ას
შეერთებას	შე ერთებ ას
დღის	დღ ის
სარკის	სა რკ ის
სასწაულთქმედების	სასწაულთქმ ედ ების
დაკვრას	და კვრ ას
ინტერნეტ	ინტერ ნეტ
კაპადოკიის	კაპა დოკი ის
ოვალურ	ოვ ალურ
უილიამსმა	უ ილიამ სმა
ლაპარაკი	ლაპარაკ ი
არარეგულარული	არა რეგულარულ ი
შაბათის	შაბათ ის
ინგმარ	ინგმარ
ექსპედიციის	ექსპ ედიცი ის
ხვნა	ხვნ ა
შებუსვილი	შებუ სვ ილი
ჰიტებად	ჰ იტ ებად
აგებულია	ა გებ ულია
საგვარეულოს	სა გვარეულო ს
ქვეყნებიდან	ქვეყნებ იდან
ტელესერიალი	ტელე სერიალ ი
თანხები	თან ხ ები
დაფას	და ფ ას
თბოტევადობა	თბო ტევად ობა
შეუტია	შეუ ტი ა
პროდუქტები	პროდუქ ტ ები
გუბერნია	გუბერნი ა
ლითონებთან	ლი თონ ებთან
ლომისა	ლო მ ისა
ვზივარ	ვზი ვარ
წიგნიდან	წიგნ იდან
ზამთრითა	ზამთრ ითა
გაეხსნათ	გაე ხსნ ათ
ტამპლიერთა	ტამ პლიერთ ა
იხმო	ი ხმ ო
დამსახურებით	და მსახურებ ით
ვუკ	ვუ კ
პროვინცია	პრო ვინცი ა
უკაცრიელი	უ კაცრიელ ი
ფიზიკის	ფიზიკ ის
ერთიღა	ერთ იღ ა
სოფელთან	სოფ ელ თან
არჩევისას	ა რჩევ ისას
მიმართულ	მი მართ ულ
უნივერსიტეტია	უნივერ სიტეტ ია
პოლკში	პოლ კ ში
გაძლიერდნენ	გა ძლიერ დნენ
პოეტებმა	პო ეტ ებმა
ათონელი	ათ ონ ელი
დაქვეითების	და ქვეით ების
თურქმა	თურქ მა
კოლუმბამდელ	კოლუმ ბ ამდელ
ერთმანეთთან	ერთ მანეთ თან
ოზის	ოზ ის
უპასუხა	უ პასუხ ა
საეჭვოა	საეჭვ ო ა
მომხრეებს	მო მხრე ებს
საამისო	საამ ის ო
უიღბლო	უ იღბლ ო
დაუნიშნა	დაუ ნიშნ ა
გარმონის	გა რმონი ს
ახლა	ახლ ა
მოქალაქენი	მოქალაქ ე ნი
მეტროპოლია	მეტრო პოლი ა
თხზულებებს	თხზ ულებ ებს
აბასთუმნის	აბას თუმ ნის
გემებისთვის	გემ ებისთვის
სერჯო	სერ ჯ ო
წლიურად	წლიურ ად
ხაზარები	ხა ზარ ები
პუბლიცისტური	პუბლი ცისტ ური
დალაშქრეს	და ლაშქრ ეს
დისკვალიფიკაცია	დისკვალ იფიკაცი ა
აღქმა	აღ ქმ ა
მდგომარეობა	მ დგომარეობ ა
პრეპარატს	პრე პარატ ს
კუდით	კუ დ ით
ცოი	ც ო ი
ბაზალეთის	ბაზ ალ ეთის
ზოლზე	ზოლ ზე
ტუღუში	ტუ ღუ ში
გული	გულ ი
სამხედროები	სა მხედრო ები
ყოველმხრივ	ყოველ მხრივ
სძენს	ს ძენ ს
ჩხიკვიშვილი	ჩხიკვ იშვილი
პალმის	პალ მ ის
სიყვარული	სიყვარულ ი
შეღებილი	შე ღებ ილი
ნელდება	ნელ დება
თაყაიშვილი	თაყა იშვილ ი
მონაცემები	მონა ცემ ები
ეპარება	ე პარ ება
ქვესიმრავლე	ქვე სიმრავლე
გაყოლებაზე	გა ყოლ ებაზე
შუქურა	შუ ქ ურა
დო	დო
კაპიტულაციას	კაპიტ ულაცი ას
გაზიარება	გა ზიარებ ა
ყურადღებისთვის	ყურადღ ებ ისთვის
ოფიცერთა	ოფიც ერ თა
შემორჩენილი	შემო რჩენილ ი
ჰკიდებენ	ჰ კიდებ ენ
გარკვეული	გა რკვეულ ი
ეპისტოლეები	ეპისტო ლე ები
სიონისა	სიონ ისა
ხაზგასმული	ხაზგა სმ ული
საწვავის	სა წვავ ის
დებორა	დ ებორ ა
რეფორმით	რე ფორმ ით
დაწყებისა	და წყებ ისა
მოციქულის	მოციქულ ის
ნისლში	ნის ლ ში
გავიდეს	გა ვიდ ეს
დაკარგვას	და კარგვ ას
ალგორითმს	ალ გორითმ ს
რომლეიც	რო მლ ეიც
ღრუში	ღრუ ში
საფუძვლიანი	სა ფუძვლ იანი
პირველობაზე	პირველ ობ აზე
კურნავდა	კურნ ავდა
დასაბრუნებლად	დასა ბრუნებ ლად
მარტივ	მარტივ
ნანგრევებია	ნა ნგრევ ებია
ბუზი	ბუ ზ ი
დამტკიცება	და მტკიცებ ა
ეტყობა	ე ტყობ ა
ნაწილისა	ნაწილ ისა
ლეგიტიმური	ლეგ იტიმ ური
გალთა	გა ლ თა
ნახევარზე	ნა ხევარ ზე
ჰომინიდები	ჰომი ნიდ ები
მადნეულის	მად ნეულ ის
სამთავროდ	სამთავრ ო დ
აბრუნებდა	ა ბრუნ ებდა
გამოცემებს	გამო ცემ ებს
კაპელოს	კაპ ელ ოს
სასწაულის	სასწაულ ის
ოშკის	ო შკ ის
ხარის	ხარ ის
ფედერაციულ	ფედერ აცი ულ
ოჯახითურთ	ოჯახ ითურთ
ბანკირი	ბანკ ირ ი
ადელაიდის	ადელა იდ ის
განლაგდნენ	გან ლაგ დნენ
ენობრივად	ენ ობრივად
მონების	მო ნ ების
სწირავდნენ	ს წირ ავდნენ
ხვდებოდა	ხვდ ებოდა
აუცილებელ	აუცილებ ელ
გატეხვა	გა ტეხ ვა
ფერხდება	ფერხ დება
მართოს	მართ ოს
ნათესაობითი	ნა თესა ობითი
ანამ	ან ამ
კონცერტმა	კონცერტ მა
იძულებულნი	ი ძულებულ ნი
ქვისა	ქვ ისა
ყელი	ყელ ი
ასწლიანი	ას წლიანი
ბიანკა	ბი ანკ ა
გვირაბს	გვი რაბ ს
ბოდიშს	ბო დიშ ს
პერანგით	პერ ანგ ით
რეორგანიზაციის	რე ორგანიზაცი ის
ძეგლებიდან	ძეგლ ებიდან
აქილევსი	აქ ილევსი
შემჩნეული	შემ ჩნე ული
თოკი	თო კ ი
მთარგმნელთა	მთარგმნელ თ ა
სიცოცხლეში	სი ცოცხლე ში
დახმარებით	და ხმარებ ით
ისტორიიდან	ისტორი იდან
უკიდურესად	უკიდურ ეს ად
გვირგვინით	გვირგვინ ით
ლატვიის	ლა ტვი ის
ნაწარმოებთა	ნა წარმოებ თა
კულონის	კულ ონ ის
ღირსად	ღირ ს ად
ამქვეყნიურ	ა მქვეყნიურ
მოიწადინა	მო იწად ინა
ფენისაგან	ფენ ისაგან
იწერდნენ	ი წერ დნენ
ეროვნულ	ე როვნ ულ
კოლექტიურ	კოლექტ იურ
მსაჯულთა	მ საჯ ულთა
მთაწმიდელმა	მთა წმიდ ელმა
ხალილი	ხალ ილი
ნაერთის	ნა ერთ ის
საბაკალავრო	საბაკალავ რ ო
გულგრილად	გულგ რილ ად
ტრიტონი	ტრი ტონ ი
არალის	არა ლ ის
ბედნიერად	ბედნიერ ად
გენომის	გე ნომ ის
მოიპოვებოდა	მოი პოვ ებოდა
გრეის	გრე ის
ნომრებით	ნომრ ებით
თითქოს	თითქ ოს
მარნის	მარ ნ ის
კაბადოკიის	კაბა დოკი ის
მოტორული	მო ტორ ული
წევრზე	წევრ ზე
მთაზე	მ თ აზე
მონადირის	მო ნადირ ის
ზუსტად	ზუსტ ად
მისული	მი სულ ი
ადამ	ა დამ
მწყობრიდან	მ წყობრ იდან
დედამიწაზე	დედა მიწ აზე
პალეოლოგოსის	პალეო ლოგ ოსის
პოტოცკი	პოტ ოცკი
თანაბარი	თანა ბარ ი
კონცერტი	კონცერტ ი
ვლინდებოდა	ვლინ დებოდა
ეპილოგში	ეპი ლოგ ში
პროტესტანტიზმი	პრო ტესტანტ იზმი
სეხნია	სე ხნ ია
ტბებისა	ტბ ებისა
იაფად	ი აფ ად
საჭის	სა ჭ ის
ზებგერითი	ზე ბგერ ითი
პერიოდშია	პერი ოდ შია
როდრიგეს	როდრიგ ეს
დაქვრივების	და ქვრივ ების
ნაზავია	ნა ზავ ია
შესატყვისად	შე სატყვის ად
ეპოქა	ეპ ოქ ა
მეტაფიზიკურ	მეტა ფიზიკურ
სატაძრო	სატა ძრ ო
რუნოვანი	რუ ნ ოვანი
მავნებელია	მა ვნ ებელია
ახალგაზრდის	ახალგა ზრდ ის
გააგრძელებს	გაა გრძელ ებს
გააგდო	გა აგდ ო
ჰადსონი	ჰ ად სონი
მაინცდამაინც	მ აინც დამაინც
წარმართავდა	წარ მართ ავდა
ესპანელის	ესპან ელ ის
მოსულიშვილის	მო სულ იშვილის
ნანგრევები	ნა ნგრევ ები
ტექნიკები	ტექნიკ ები
აღდგენილი	აღ დგენ ილი
ვალდებულებებს	ვალ დებულებ ებს
მაგისტრატურა	მაგისტრ ატურ ა
სათავსოები	სა თავს ოები
ფიშმა	ფი შ მა
განმათავისუფლებელი	განმათავისუფლებ ელ ი
განხეთქილება	გან ხეთქილებ ა
იტყობინებოდა	ი ტყობინებ ოდა
მეჰმედ	მე ჰმედ
საკვებში	სა კვებ ში
ღვინის	ღ ვინ ის
ტემპერამენტის	ტემპერა მენტ ის
გამდნარ	გა მდნარ
მეკონტაქტება	მე კონტაქტ ება
წოდებებს	წოდებ ებს
ძევს	ძევ ს
უფლებაზე	უფლებ აზე
დახვეწილ	და ხვეწ ილ
სექსტონი	ს ექს ტონი
ყბის	ყ ბ ის
გამოთვლილი	გამო თვლ ილი
რეგენტი	რეგენტ ი
გუბაზის	გუ ბაზ ის
ერთიც	ერთ იც
ჰაილე	ჰა ილ ე
მოწყობილობების	მოწყობილობ ებ ის
გარეთაც	გარეთ აც
მყუდრო	მ ყუდ რო
მოყვარულთა	მოყვარულ თა
თოიძე	თო იძე
თავთან	თავ თან
არქივს	არქი ვ ს
ვასალის	ვა სალ ის
თარჯიმნის	თარჯი მნ ის
პიპინ	პი პინ
გაბრიელ	გა ბრიელ
მტვრისა	მ ტვრ ისა
ბიომები	ბიო მ ები
მოაქვთ	მო აქვ თ
წევრების	წევრ ების
მესამედის	მე სამედ ის
საზოგადოებების	სა ზოგადოებ ების
ინას	ი ნ ას
საავტორო	სა ავტორ ო
ტომებით	ტომ ებით
წრეში	წ რე ში
სილვამ	სი ლვ ამ
გაყრის	გა ყრ ის
ლარვები	ლარ ვ ები
დაქვეითება	და ქვეით ება
მარაგით	მარაგ ით
რაიხის	რაიხ ის
ამაოდ	ამა ოდ
აქტივაცია	აქ ტივ აცია
აძურას	ა ძურ ას
შატო	შა ტ ო
კომისია	კომის ი ა
პროფკავშირები	პროფ კავშირ ები
შერაცხილი	შე რაცხ ილი
სიგრძეზე	სიგ რძე ზე
კომპანიიდან	კომპანი იდან
სეთს	სეთ ს
დათარიღებულია	და თარიღ ებულია
შვიდ	შვიდ
ისმაილის	ისმაი ლ ის
გალაშქრება	გა ლაშქრ ება
თირკმელების	თი რკმელ ების
მუსულმანთა	მუს ულმან თა
მოსაუბრეთა	მო საუბრ ეთა
გამოუყენებია	გამოუ ყენებ ია
განხილული	გან ხილ ული
უმნიშვნელოდ	უმნიშვნე ლო დ
წლოვანი	წლოვან ი
დაჯგუფებაში	და ჯგუფებ აში
დაეთანხმა	დაე თანხმ ა
უხუცესთა	უ ხუცეს თა
სახელებიც	სახელ ებიც
ღორს	ღ ორ ს
კორპუსს	კორ პუს ს
აინშტაინი	ა ინშტაინ ი
თავაძე	თავ აძე
შესწორებები	შე სწორებ ები
მშობლებისგან	მშობლებ ისგან
არიელ	ა რიელ
დაკავებულ	და კავებ ულ
განამარხებულ	განა მარხ ებულ
შეცდომაა	შე ცდომ აა
დამაგრებული	და მაგრ ებული
ბაქრაძეს	ბაქრ აძ ეს
ვეგეტაციის	ვეგეტ აცი ის
თამამი	თამა მ ი
ცვილის	ცვ ილ ის
ბანაკებს	ბანაკ ებს
სონია	სონ ია
სმბატ	ს მბატ
თანაბარია	თანა ბარ ია
აეროდრომის	აერო დრომ ის
გადასახლებული	გადა სახლებ ული
ბაღდადში	ბაღდა დ ში
ლიტველი	ლი ტვ ელი
დომინირება	დომინ ირებ ა
ტყეა	ტყე ა
დერბი	დერბი
ბიჭუნას	ბიჭ უნ ას
თეირანში	თე ირან ში
დამფუძნებელმა	დამფუძნებ ელ მა
ჩართვით	ჩა რთვ ით
წყალგაუმტარი	წყალგაუ მტარ ი
მინტაკის	მინ ტაკ ის
ადიოდნენ	ა დიო დნენ
მიემგზავრებოდნენ	მიე მგზავრ ებოდნენ
აფართოებს	ა ფართო ებს
ნისკარტი	ნის კარტ ი
წთ	წთ
იურულ	იურ ულ
სართულს	სა რთულ ს
ტორპედოს	ტორპ ედო ს
ელექტროლიზის	ელექტრო ლიზ ის
სატევარი	სა ტევ არი
ქორწინებაში	ქორწი ნებ აში
გამეორდა	გა მეორ და
აღჭურვეს	აღ ჭურვ ეს
მონაცემებით	მონა ცემ ებით
საირიგაციო	სა ირიგაცი ო
მოძრაობდა	მოძრაობ და
ზიანის	ზიან ის
საკონდიტრო	სა კონდიტრ ო
გორის	გორ ის
გრიგორის	გრი გორ ის
ტბასთან	ტ ბ ასთან
მუშაობენ	მუშაობ ენ
შეურაცხყოფილი	შეურაცხ ყოფ ილი
ლაიფციგში	ლაიფცი გ ში
არისტოკრატიას	არისტო კრატი ას
მაკედონელს	მაკედონ ელ ს
თურქეთი	თურქ ეთ ი
მერქანს	მერ ქან ს
საწარმოს	სა წარმო ს
ამოწურა	ამო წურ ა
თხრილის	თ ხრილ ის
დინებები	დი ნებ ები
დანაკარგმა	დანა კარგ მა
მისით	მ ის ით
სიდიდეა	სი დიდე ა
სპექტაკლებს	სპექტ აკლ ებს
მიზნად	მიზნ ად
ატომების	ა ტომ ების
უცვლელ	უ ცვლელ
კალისტრატე	კალი სტრატ ე
თეოლოგი	თე ოლოგი
კარადა	კარა დ ა
ჩაანაცვლეს	ჩაა ნაცვლ ეს
დაღუპვამ	და ღუპვ ამ
მწყემსების	მ წყემს ების
საოჯახო	სა ოჯახ ო
საქმიანობასთან	საქმ იანობ ასთან
ორკესტრული	ორკესტრ ული
პარკერის	პარ კერ ის
ორგანიზაციებს	ორგანიზაცი ებს
ვფიქრობ	ვ ფიქრობ
ოთახი	ოთახ ი
განვიტარების	განვი ტარ ების
