იტალიასთან	ი ტალი ასთან
არქიტექტურაში	არქიტექტ ურ აში
იერარქიით	იერ არქი ით
საგალობლის	საგალობ ლ ის
საკურსო	სა კურს ო
შეღრმავებაშია	შე ღრმავ ებაშია
ტრაფალგარის	ტრაფალ გარ ის
შიდსით	შიდ ს ით
შეტაკებების	შე ტაკ ებების
ბოტსვანის	ბოტს ვან ის
გულრიფშიდან	გულ რიფშ იდან
შიმპანზეებში	შიმპან ზე ებში
კონტრისტების	კონტრ ისტ ების
უძრაობის	უ ძრ აობის
არა	არა
დიდები	დიდ ები
იციან	იც იან
შუაღამის	შუა ღამ ის
ფარნაოზი	ფარნა ოზ ი
პერანგს	პერ ანგ ს
დაჭერილ	და ჭერ ილ
დანაწილებული	და ნაწილ ებული
ავტორიტარულ	ავტორიტ არულ
ჰავის	ჰა ვ ის
ზღაპრებში	ზღა პრ ებში
ლინკინ	ლინ კინ
ავტომატური	ავტო მატ ური
ნავი	ნავ ი
შეღწევას	შე ღწევ ას
ღონისძიებათა	ღონის ძი ებათა
დაჯილდოვებაზე	და ჯილდოვ ებაზე
სამსახურების	სა მსახურ ების
სტადიონია	სტადი ონ ია
არაოფიციალური	არა ოფიციალურ ი
ბაზალტი	ბაზ ალტ ი
მოიხსენებენ	მოი ხსენებ ენ
დილიდან	დი ლ იდან
გამოირჩეოდნენ	გამოი რჩ ეოდნენ
სიმებს	სიმ ებ ს
თითების	თით ების
თემატურად	თემატ ურ ად
ჯგუფებიც	ჯგუფ ებიც
მნიშვნელობათა	მნიშვნელ ობ ათა
აცნობეს	ა ცნობ ეს
სტეფანოზ	სტე ფან ოზ
ფრე	ფრ ე
ანრი	ან რ ი
კულტურებს	კულტურ ებს
ჰავას	ჰ ავა ს
ცნეს	ცნ ეს
მეზობელ	მეზო ბელ
განტოლებების	განტოლ ებ ების
ნახსენებია	ნა ხსენებ ია
ჰარისონს	ჰარი სონ ს
ხუთს	ხუთ ს
განმარტა	გან მარტ ა
ნაკრებს	ნა კრებ ს
ტელევიზიისა	ტელევიზი ისა
იეროგლიფური	იეროგლ იფ ური
შეერთებოდა	შეერთ ებ ოდა
გადაღების	გადა ღებ ის
ასტრონომთა	ასტრონ ომ თა
ოპოზიციური	ო პოზიცი ური
გასაშვები	გასა შვ ები
ევალება	ე ვალ ება
ლაშქრით	ლაშქრ ით
დატოტვილ	დატოტ ვილ
ღონისძიებებმა	ღონის ძი ებებმა
ძალთა	ძალ თა
შეგროვება	შე გროვ ება
განვითარებამ	გან ვითარებ ამ
სოსო	ს ოს ო
მემკვიდრეთა	მემკვიდრე თა
ხევში	ხევ ში
დაქორწინდნენ	და ქორწინ დნენ
ღვინოები	ღვ ინო ები
სასმელები	სა სმელ ები
ხომალდებს	ხომ ალდ ებს
მმ	მმ
აკადემიას	აკადემი ას
კინოთეატრში	კინო თეატრ ში
სხვადასხვაგვარი	სხვადასხვა გვარ ი
აფსარის	აფ სარ ის
წახალისება	წა ხალის ება
ათეულ	ა თ ეულ
პუერტო	პუ ერტ ო
ჯიშს	ჯი შ ს
თვითმხილველი	თვითმ ხილველ ი
განკუთვნილ	გან კუთვნილ
კათალიკოსი	კათალიკოს ი
ხმა	ხმ ა
გამოცემამ	გამო ცემ ამ
დაუშვებელი	დაუ შვ ებელი
ბინაში	ბინ აში
მოელოდნენ	მო ელ ოდნენ
მერილენდის	მერ ილენდის
ტრანსილვანიის	ტრანსილვ ანი ის
ჰუიჩოლის	ჰუიჩ ოლ ის
ფოტოზე	ფოტო ზე
საქრისტიანოს	სა ქრისტიან ოს
მოპოვებულია	მო პოვ ებულია
შოთა	შო თა
ანდები	ანდ ები
ბალკანეთის	ბალ კან ეთის
ავგუსტუსად	ავგუს ტუს ად
იაპონელების	იაპონ ელ ების
ვერავის	ვერ ავი ს
პეტროგრადში	პეტრო გრად ში
ვიცოდით	ვი ც ოდით
გორგასლის	გორ გას ლის
დოკუმენტაცია	დოკ უმენტ აცია
ქსელი	ქს ელ ი
მეჰმედალი	მე ჰმედ ალი
დასრულებამდე	და სრულებ ამდე
ხსოვნა	ხსოვ ნ ა
ფარვანის	ფარ ვან ის
ჯეპრას	ჯე პრ ას
ესაუბრება	ე საუბრ ება
მეტამორფულ	მეტამორფ ულ
მშობიარობისას	მშობიარ ობ ისას
სათხოვნელად	სა თხოვნ ელად
ფედერიკო	ფედერ იკ ო
რაინდული	რაი ნდ ული
უვლიან	უ ვლ იან
გართულდა	გა რთულ და
ქვეყნებში	ქვე ყნ ებში
ნიმუშებით	ნიმუშ ებით
სიზმრის	ს იზმრ ის
დების	დებ ის
მშობელი	მშობ ელ ი
ავალიანის	ა ვალ იანის
მოადგა	მოა დგ ა
გაიგეს	გაი გ ეს
დავტოვეთ	დავ ტოვ ეთ
ნოემბერს	ნო ემბერ ს
საიმისოდ	სა იმ ისოდ
უცნობმა	უ ცნობ მა
ქედების	ქ ედ ების
ჰებრიდების	ჰე ბრიდ ების
აწყობის	ა წყობ ის
კემბრიჯის	კემბრ იჯ ის
ამელი	ამ ელ ი
მოაყვანინა	მოა ყვან ინა
ემანსიპაციის	ემანს იპ აციის
ყველასათვის	ყველა ს ათვის
უკვალოდ	უკ ვალ ოდ
გეგმის	გეგმ ის
შეურაცხმყოფელი	შეუ რაცხ მყოფელი
ზომებში	ზომ ებში
ნაშვილები	ნა შვილ ები
გათავისუფლებულიყო	გათავისუფლებ ულ იყო
გაოცებას	გა ოც ებას
სიგელის	სიგ ელ ის
ბრუნავდა	ბრუნ ავდა
ოპერას	ოპერ ას
იაპონელ	იაპონ ელ
დასაწყისისთვის	დასა წყის ისთვის
სერიალებში	სერი ალ ებში
ჰომინიდი	ჰომინ იდ ი
ობიექტია	ობ იექტ ია
წყლისგან	წყლ ისგან
შესახებაც	შესა ხ ებაც
ცოდვას	ცოდ ვ ას
წევრთა	წევრ თა
კოლეგებთან	კო ლეგ ებთან
ფინანსურმა	ფინანს ურმა
დაედევნა	დაე დევნ ა
მაგნეტო	მაგ ნეტ ო
ლუიზიანის	ლუი ზიან ის
სალონიკის	სა ლონ იკის
ქსოვილებში	ქსოვ ილ ებში
ოლივიეს	ოლი ვი ეს
მეათედ	მე ათედ
მოგებაც	მო გებ აც
სიმბოლიკის	სიმბოლ იკ ის
ნოლდორთა	ნოლ დორ თა
სასამართლო	სასამართლ ო
აინტერესებდათ	ა ინტერეს ებდათ
დაბის	და ბ ის
იეზიდების	იე ზიდ ების
ორია	ორ ია
მათემატიკამ	მათემატ იკ ამ
ორმოები	ორ მო ები
სტილში	ს ტილ ში
მოათავსეს	მოა თავს ეს
ხმისჩამწერ	ხმისჩა მწერ
ვაჭრობას	ვაჭრ ობ ას
ამოფრქვევის	ამო ფრქვევ ის
იქმნებოდა	ი ქმნ ებოდა
ატარებს	ა ტარ ებს
ქერქზე	ქერ ქ ზე
ხელისუფლებას	ხელის უფლ ებას
ორაკული	ორა კულ ი
ებოძა	ებო ძ ა
წინსვლის	წინ სვლ ის
ზარაფხანა	ზარაფ ხან ა
ყოფილიყვნენ	ყოფილ იყვნენ
ტურნირებში	ტურნირ ებში
ბაკალავრი	ბაკალავრ ი
ნაწლავი	ნაწ ლავ ი
გახშირდა	გა ხშირ და
ექვემდებარებოდა	ექვე მდებარ ებოდა
კლების	კლ ების
ბარსელონა	ბარსელ ონ ა
მეორეა	მეორ ე ა
გაისმა	გაი ს მა
მოედანი	მოე დან ი
ვანესა	ვა ნ ესა
უცხოვრია	უცხოვრ ი ა
მიიქცია	მი იქც ია
იგივე	იგივ ე
ფრთისებრი	ფრ თ ისებრი
ქვეყნისგან	ქვე ყნ ისგან
გააჩაღეს	გა აჩაღ ეს
სარეკლამო	სა რეკლ ამო
სირიას	სი რი ას
ტელენოველა	ტელენოვ ელ ა
ხმამაღალი	ხმა მაღალ ი
გათავისუფლებაში	გა თავისუფლ ებაში
აღმოუჩინა	აღმოუ ჩინ ა
ეჩვენებინა	ე ჩვენ ებინა
პარტიზანების	პარტი ზან ების
ტყუპები	ტყუ პ ები
წყაროდ	წყარ ო დ
ნაწარმოებმა	ნაწარმო ებ მა
მეცადინეობდა	მეცადი ნე ობდა
სითბური	სით ბ ური
სრულყოფილია	სრულ ყოფილ ია
მიწით	მიწ ით
ბოლოვდება	ბოლო ვ დება
მეტრში	მე ტრ ში
ცალსახა	ცალსა ხა
ჟღალი	ჟღ ალ ი
მაღალმთიანი	მაღალ მთიან ი
ფრანკფურტის	ფრანკფურ ტ ის
საკამათოა	სა კამათ ოა
კავკასიონი	კავკასი ონ ი
ფაზის	ფაზ ის
ჭარბობდა	ჭარბ ობდა
მიაწერდნენ	მია წერ დნენ
უამრავ	უამრ ავ
მკითხაობა	მკითხ ა ობა
შუღლი	შ უღლ ი
ძალებთან	ძალ ებთან
დასავლელი	დასა ვლ ელი
გამწევი	გამ წევ ი
პირველთან	პირ ველ თან
მარკომ	მარ კ ომ
არიადნეს	არიად ნ ეს
საძირკვლის	საძირ კვ ლის
ქვეყანაში	ქვე ყანა ში
შხამი	შ ხამ ი
ფუფუნება	ფუ ფუნ ება
როდრიგესის	როდრიგ ეს ის
გათხოვილი	გა თხოვ ილი
დაწინაურებული	და წინაურ ებული
მარტინეს	მარტ ინ ეს
ჯეიმსი	ჯე იმ სი
გაიკეთაო	გაი კეთ აო
გოლმა	გოლ მა
კუდარო	კ უდ არო
მასაზე	მა ს აზე
მეტრი	მე ტრ ი
შეებრძოლება	შეე ბრძოლ ება
ლეონი	ლეონ ი
სიყვარულში	სიყვარულ ში
მოწყობილობებში	მოწყობილ ობ ებში
აკადემია	აკადემი ა
ღმერთები	ღმერთ ები
ინტერნაციონალის	ინტერ ნაციონალ ის
არტისტული	არტ ისტ ული
სახეები	სახე ები
ეპიზოდში	ეპიზო დ ში
სიძველეები	სი ძველ ეები
დონისა	დონ ისა
სიმამაცეს	სიმა მაც ეს
განხორციელდა	გან ხორციელ და
ნემო	ნე მო
კოლონისტები	კოლონ ისტ ები
ავტომობილით	ავტომობილ ით
კონფლიქტები	კონფ ლიქტ ები
საბჭოსა	საბჭო სა
სპარტის	ს პარტ ის
ტექსტილი	ტექსტ ილი
შოუს	შო უ ს
წყვეტდნენ	წყვეტ დნენ
თანამოაზრე	თანამოაზრ ე
გრაფიტის	გრაფ იტ ის
თეთრკანიან	თეთრ კან იან
ღვთისმსახურება	ღვთისმსახურ ება
მოსახლენი	მოსახლე ნი
დროშიც	დროშ იც
მთვარეს	მთვ არე ს
აწევა	ა წევ ა
კლერკი	კ ლერ კი
გენდერული	გენ დერ ული
თანამემამულეები	თანამემამულ ე ები
ჰქონდეს	ჰქონ დ ეს
ნეიტრალური	ნეიტრ ალურ ი
ისღა	ის ღ ა
ორჯერ	ორ ჯერ
ოთახებში	ოთა ხ ებში
კაპოტეს	კ აპოტ ეს
ნიშანში	ნიშან ში
ქართლისათვის	ქარ თლ ისათვის
კლანების	კ ლან ების
შესართავს	შესა რთავ ს
ეგვიპტის	ეგვიპ ტ ის
ფლანგზე	ფლ ანგ ზე
პოლიციელმა	პოლიცი ელ მა
ამოძრავებდა	ამო ძრავ ებდა
წასულა	წა სულ ა
წიგნი	წი გნ ი
სცენაში	სცენ აში
კონტრაქტი	კონტრაქტ ი
საჰერცოგოს	სა ჰერცოგ ოს
დაჟინებით	და ჟინ ებით
ოლიმპიურ	ოლიმპ ი ურ
დოკუმენტები	დოკ უმენტ ები
წყაროდან	წყარ ო დან
ხელის	ხელ ის
გადმოინაცვლა	გადმოი ნაცვლ ა
ჰაჯი	ჰა ჯ ი
აჰმად	აჰმად
კომერციულად	კომერცი ულად
ენებიდან	ენ ებ იდან
გაიყვეს	გაი ყვ ეს
კანონიკალის	კანონ იკ ალის
პნევმონიით	პნევმ ონი ით
სურვილის	სურ ვილ ის
სათაურით	სათა ურ ით
ორაების	ორ ა ების
თანამედროვედ	თანამედრო ვე დ
ბევრგან	ბე ვრ გან
დამნაშავეებს	დამნაშა ვე ებს
სტეფანო	სტე ფან ო
დააგროვეს	დაა გროვ ეს
დარწმუნდება	და რწმუნ დება
ტერორისტმა	ტერორ ისტ მა
დაივიწყეს	დაი ვიწყ ეს
წყალში	წყალ ში
ცენზორად	ცენზ ორ ად
ნატალია	ნა ტალ ია
წინამძღოლმა	წინა მძღოლ მა
სხარტად	სხ არტ ად
კაცთან	კაც თან
მრწამსი	მრწამ ს ი
მიზეზია	მიზე ზ ია
ციხეც	ციხე ც
ქალწულების	ქალწ ულ ების
ჩამოგდების	ჩამო გდ ების
გავს	გავ ს
მუნი	მუნ ი
საკრავი	სა კრავ ი
სასწავლებლებში	სასწავლ ებლ ებში
ბედისწერა	ბედისწერ ა
ნაკრძალს	ნა კრძალ ს
სათვის	ს ათვის
დაარსებას	და არსებ ას
ალბერ	ალ ბერ
ელჩად	ელჩ ად
თავისებურება	თავისებ ურ ება
აღმოფხვრა	აღმოფხვ რა
ბოტანიკური	ბოტა ნიკ ური
უღელი	უღ ელ ი
ნაწილებზე	ნაწილ ებზე
დაამონტაჟა	დაა მონტაჟ ა
დღესდღეობით	დღეს დღე ობით
ციხეში	ციხე ში
წართმეული	წარ თმ ეული
გადაცემების	გადა ცემ ების
წელსაც	წელ საც
ჰობიტის	ჰო ბიტ ის
განადგურდეს	გა ნადგურ დეს
აუტანელი	აუ ტან ელი
მდუღარე	მდუ ღარ ე
ნაპოვნ	ნა პოვნ
სარქველი	ს არქ ველი
ვბრუნდები	ვ ბრუნდ ები
დასრულების	და სრულებ ის
მოდიან	მოდ იან
დადგენილებები	და დგენილ ებები
მოამზადა	მოა მზად ა
მოწაფემ	მოწა ფე მ
ლაურა	ლა ურ ა
ერთგან	ერთ გან
აღმოაჩინეს	აღმოაჩ ინ ეს
თავდამსხმელი	თავდამ სხმელ ი
ჰაერსაწინააღმდეგო	ჰაერსა წინააღმდეგ ო
ბზა	ბ ზ ა
ითვლიან	ით ვლ იან
მცურავი	მც ურავ ი
თმების	თმ ების
კონტროლირებადი	კონტროლ ირებადი
მთავარს	მთავარ ს
ბავშვობა	ბავშვ ობ ა
ტუბერკულიოზის	ტუბერკული ოზ ის
იმიდან	იმ იდან
ვანგა	ვან გა
ხერხემალი	ხერხ ემალი
გადაყვანის	გადა ყვან ის
სროლის	სროლ ის
დაქვემდებარების	დაქვე მდებარ ების
მწერლობაში	მწერლობ აში
ერეკლემ	ე რეკლ ემ
გრძნობდა	გრძნობ და
მცირედით	მცირე დ ით
ბურთზე	ბურთ ზე
ნავს	ნავ ს
მოსულ	მო სულ
ბენიტო	ბენ იტო
ნუთუ	ნ უთ უ
რესპუბლიკად	რესპუბლი კ ად
წილი	წი ლ ი
ტასმანიის	ტასმა ნ იის
უწყობდა	უ წყობ და
რეზერვაციის	რეზერვ აცი ის
ემატებოდა	ე მატ ებოდა
შეეჩერებინა	შეეჩერები ნ ა
მცდელობით	მცდელ ობ ით
ემი	ემ ი
ქართული	ქა რთულ ი
ლეგო	ლეგ ო
მოღვაწეობენ	მოღვაწე ობ ენ
მტკივნეულია	მტკივ ნეულ ია
შეღრმავებაა	შე ღრმავ ებაა
რუსები	რუს ები
ხარისხისაა	ხარისხ ისაა
ესპანეთისგან	ესპან ეთ ისგან
ვოკალურ	ვოკ ალ ურ
ორგანოების	ორგან ო ების
კოტე	კოტ ე
მასობრივად	მას ობრივ ად
მოკავშირე	მოკავშირე
სერობა	სერ ობა
ფიცრული	ფიც რ ული
მჟავების	მჟავ ების
ბოგოროდსკის	ბო გოროდ სკის
უპირობო	უ პირობ ო
წყალმოვარდნა	წყალმო ვარდნ ა
გაიჟღერა	გაი ჟღერ ა
ამოტვიფრულია	ამოტვი ფრ ულია
ხმარების	ხმარ ების
გამგე	გამ გე
მოიტაცეს	მო იტაც ეს
გასვლითი	გა სვლ ითი
ეკრძალება	ე კრძალ ება
ვამპირის	ვამ პირ ის
გაცემას	გა ცემ ას
ხევსურეთში	ხევსურ ეთ ში
ხელზე	ხელ ზე
გამოიყენება	გამოი ყენ ება
მონსტრების	მო ნსტრ ების
ცხიმოვან	ცხ იმ ოვან
ისიდორე	ისი დორე
ტომებს	ტომ ებ ს
აჭარბებს	ა ჭარბ ებს
ქაბულის	ქა ბულ ის
შეპყრობილი	შე პყრობ ილი
იმუნიტეტი	იმუნ იტეტ ი
ივანიშვილის	ივან იშვილ ის
ჰექტარია	ჰექ ტარ ია
გაქრობა	გა ქრ ობა
გაიტაცებს	გა იტაც ებს
სომხური	სომხ ურ ი
სახეებია	სახე ებია
ქუვეითის	ქუ ვე ითის
დეკემბერში	დეკ ემბერ ში
დატანილია	და ტანილ ია
ჰილში	ჰ ილ ში
მზარდ	მ ზარდ
კაფკას	კაფ კ ას
სიმღერების	სი მღერ ების
მიწისაგან	მიწ ისაგან
ბედნიერები	ბედნიერ ები
სიდი	ს იდ ი
სპოკის	სპ ოკ ის
ფინიკის	ფინ იკი ს
დაჰყვა	და ჰყვ ა
ეპიზოდები	ეპიზო დ ები
მახვილით	მახვილ ით
მუხნარში	მუხ ნარ ში
ტრიოში	ტრი ო ში
გაუჩინარების	გაუჩინ არ ების
საქართველოსაკენ	საქართველ ოს აკენ
მოვლის	მო ვლ ის
სძლია	ს ძლ ია
გადასვლას	გადა სვლ ას
ერთგვაროვანი	ერთგვაროვან ი
მილიონიან	მი ლიონ იან
გმირობით	გმირ ობით
აღმოსავლეთში	აღმო სავლეთ ში
აწარმოა	აწარ მო ა
დაჯილდოების	და ჯილდო ების
იმედით	ი მედ ით
მჭამელი	მ ჭამ ელი
ბუფერულ	ბუფერ ულ
აყვანილი	ა ყვანილ ი
სწამდათ	ს წამ დათ
ქერქში	ქერ ქ ში
ქრისტიანულმა	ქრისტიან ულმა
ჯანმრთელობას	ჯანმრთელ ობ ას
მახარებლის	მახარ ებ ლის
კოლონიზაცია	კოლონ იზაცი ა
სახელმძღვანელოებს	სახელმძღვანელ ო ებს
ქვემოთ	ქვე მოთ
მოდერნიზებული	მოდერნ იზ ებული
ნადიას	ნა დი ას
დაზავების	და ზავ ების
მოულოდნელმა	მოუ ლოდნელ მა
ფუტუნას	ფუტ უნ ას
იმდროინდელმა	იმ დროინდელ მა
გახდა	გა ხდ ა
ამბავმა	ამბ ავ მა
გეგეჭკორი	გეგეჭ კორ ი
ადგილებში	ადგილ ებ ში
აბსიდში	აბს იდ ში
ატანა	ა ტან ა
მაღლდება	მაღლ დება
ტროელი	ტრო ელი
ეკონომიკისათვის	ეკონომ იკ ისათვის
ითამაშა	ი თამაშ ა
ლეპჩას	ლეპჩ ას
მუსულმანურ	მუსულმა ნ ურ
მფარველ	მფარველ
დებაილეს	დებაილ ეს
კაზაკი	კა ზაკ ი
ამომავალ	ამო მავალ
გამოიყურება	გამოი ყურ ება
ნივალური	ნი ვალ ური
ყბას	ყ ბ ას
ბალახით	ბალახ ით
ჯეიმზს	ჯეი მზ ს
ამისათვის	ა მის ათვის
ლოკოკინათა	ლოკოკ ინა თა
შველის	შველ ის
გადასულა	გადა სულ ა
ნივთებს	ნივთ ებს
გადმოჰყურებს	გადმო ჰყ ურებს
ცარი	ც არ ი
ბაღის	ბაღ ის
შენება	შე ნებ ა
ჩრდილები	ჩრდილ ები
დამარცხებით	და მარცხ ებით
პასის	პას ის
განგმირა	გან გმირ ა
გაყოფას	გა ყოფ ას
მატჩის	მატ ჩ ის
დირექტორს	დირ ექტორ ს
წისქვილში	წის ქვილ ში
მომწიფება	მო მწიფ ება
იმერეთის	იმერ ეთ ის
სიმრავლეების	სიმრავლე ების
აფარებდნენ	ა ფარ ებდნენ
სპელეოლოგიური	სპელე ოლოგიურ ი
განეკუთვნებოდა	განე კუთვნ ებოდა
მიზნებით	მიზნ ებით
სახეობებია	სახე ობ ებია
მინაშენი	მინა შენ ი
ქანების	ქა ნ ების
ბროლის	ბრ ოლ ის
ინტენსიურ	ინტენს იურ
ფონდში	ფო ნდ ში
პაულისტას	პა ულ ისტას
თანხმოვანთა	თან ხმოვან თა
სპოკი	სპ ოკ ი
ბაიერის	ბა იერ ის
გადაარჩინა	გადაარ ჩინ ა
ბერძენიშვილის	ბერძენ იშვილ ის
თვალში	თ ვალ ში
აღმოაჩინოს	აღმოაჩ ინ ოს
ასპექტში	ა სპექტ ში
ბურთით	ბურთ ით
პოლარულ	პო ლარ ულ
საღამოებს	საღ ამო ებს
სტრატეგოსი	სტრატ ეგო სი
სრულფასოვნად	სრულ ფას ოვნად
დასჯილი	დას ჯ ილი
პარტიების	პარტი ების
არი	ა რ ი
გაუჩნდა	გაუ ჩნდ ა
იკვებებოდნენ	იკ ვებ ებოდნენ
მილერმა	მი ლერ მა
ასტრახანში	ასტრა ხან ში
მწერლობისა	მწერლობ ისა
სამხმიანი	სამ ხმ იანი
წარბები	წარ ბ ები
იაპონელები	იაპონ ელ ები
დაიბეჭდა	დაი ბეჭდ ა
არსებობდა	არსებ ობ და
დინასტიაში	დინა სტი აში
მოსახლეთა	მოსახლე თა
როსტომ	როს ტომ
ფიგურებით	ფი გურ ებით
საბურავების	საბურ ავ ების
გავლება	გა ვლ ება
ჩამოტანილი	ჩამო ტანილ ი
კოსტიუმი	კოსტი უმ ი
შეკავება	შე კავებ ა
კარლა	კარ ლ ა
არეალს	არე ალ ს
ტიმპანში	ტი მპან ში
უმეტესწილად	უმეტეს წილად
აიას	ა იას
განცალკევებულ	განცალკე ვ ებულ
მოსასხამები	მოსას ხამ ები
სქესობრივად	სქეს ობრივ ად
პიტკერნის	პი ტ კერნის
დაბრკოლებას	და ბრკოლ ებას
გულის	გულ ის
სექციაში	ს ექცი აში
რაგბის	რაგბ ის
მიტროპოლიტ	მიტრო პოლიტ
მილეტში	მი ლეტ ში
ამჯობინეს	ამჯო ბინ ეს
აბარებს	ა ბარ ებს
იუნონა	იუნ ონ ა
სპაიკ	სპა იკ
ოთახიდან	ოთა ხ იდან
ქალისა	ქალ ისა
ნდობა	ნდ ობა
გააცნობიერებს	გაა ცნობიერ ებს
მღვიმელი	მღვიმ ელ ი
ცხოველებისა	ცხოველ ების ა
კონგრესს	კონ გრეს ს
იენს	ი ენ ს
რეაქციებში	რე აქცი ებში
აზრიც	აზრ იც
საცეცები	საც ეც ები
სახეობაში	სახე ობ აში
სქოლიო	ს ქოლ იო
დაბადებულმა	დაბადებულ მა
კომიტეტის	კომ იტეტ ის
ფრიმენი	ფრი მენი
შვიდგზის	შვიდ გზის
ფორტეპიანო	ფორტეპიანო
ეთმობა	ე თმობ ა
წყალმოვარდნები	წყალმო ვარდნ ები
აჭარისწყლის	აჭარ ისწყლ ის
ყოველდღე	ყო ველ დღე
სანოტო	სა ნოტ ო
ვახუშტის	ვახუ შტ ის
გასარკვევად	გასა რკვევ ად
მალდინი	მალ დინ ი
ტომებად	ტომ ებ ად
ქცევაზე	ქცევ აზე
ავსებს	ავს ებს
გაზომვას	გაზომ ვ ას
სეპარატიზმის	სე პარატ იზმის
მოსიარულე	მო სიარულ ე
კრებულებს	კრებულ ებს
ევროპული	ევროპ ული
ჩამოხრჩობა	ჩამო ხრჩ ობა
დიტრიხმა	დიტ რიხ მა
ზრდით	ზრდ ით
გააჩუმე	გაა ჩუმ ე
მდიდრული	მ დიდრ ული
მაღალტექნოლოგიური	მაღალტექნ ოლოგიურ ი
თვალებით	თვალ ებით
მუსიკოსების	მუს იკოს ების
გამოსავალი	გამოსა ვალ ი
კანდიდატურის	კანდიდატ ურ ის
ნუმენორის	ნუ მენ ორის
ხელფასების	ხელ ფას ების
სტუმრების	სტუმრ ების
ჩასმული	ჩა სმულ ი
ფანტაზია	ფანტ აზი ა
კლდეში	კლდ ე ში
კომბინაციები	კომბინაცი ები
იღუპება	ი ღუპ ება
აქამდე	აქ ამდე
მონათმფლობელობის	მონათ მფლობელ ობის
ნიადაგებია	ნი ადაგ ებია
მიახლოებული	მი ახლო ებული
ბავშვებსა	ბავშვ ებსა
მონადირეებს	მონადირე ებს
ვარსკვლავებთან	ვარსკვლ ავ ებთან
ემბრიონის	ემბრ იონ ის
შეერთებულია	შეერთ ებ ულია
სკოლისათვის	ს კოლ ისათვის
ტურისტული	ტურ ისტ ული
ჯავახეთის	ჯავახ ეთ ის
სალვადორ	სალვა დორ
ლამამ	ლამ ამ
წლისთავს	წლის თავ ს
ჩაყარეს	ჩა ყარ ეს
გადასცემენ	გადას ცემ ენ
სახასო	სა ხა სო
ბუბა	ბუ ბა
კონფლიქტებს	კონფ ლიქტ ებს
სახარება	სა ხარ ება
მონტაჟი	მონტაჟ ი
შეუვალობის	შეუ ვალ ობის
არსების	არსებ ის
მოციქულების	მოციქულ ების
უილიამ	უილი ამ
რაიტის	რა იტ ის
დაპირისპირებების	და პირისპირ ებების
საშტატო	საშტ ა ტო
მწერალია	მწერ ალ ია
თსუ	თ სუ
პალეოლითური	პალეო ლით ური
დედაქალაქს	დედა ქალაქ ს
მთავარანგელოზის	მთავარ ანგელოზ ის
სამკერდე	სა მკერდ ე
ჰანიბალ	ჰანი ბალ
რაოდენობაში	რაოდენ ობ აში
ვაკეა	ვა კე ა
ანიმაციის	ანიმ აცი ის
მცირერიცხოვანია	მცირერიცხ ოვან ია
ჩამოშორება	ჩამო შორ ება
კავკასიისა	კავკასი ისა
მთაა	მ თა ა
რაჭველები	რა ჭველ ები
ზღვად	ზღვ ად
კანოეს	კანო ე ს
იძიებენ	ი ძი ებენ
მაღაზიები	მა ღაზ იები
დომ	დომ
ეხურა	ე ხურ ა
რწმენას	რწმენ ას
მიცელიუმი	მი ცელ იუმი
შაშხანა	შაშ ხან ა
დემონსტრაციას	დემონსტრ აცი ას
გაძლიერებამ	გაძლიერ ებ ამ
ლიპის	ლი პ ის
შემოიღო	შემო იღ ო
ორმოსამარხები	ორმოსა მარხ ები
მოუკლავს	მოუ კლავ ს
იკვებებიან	იკ ვებ ებიან
შეცდომები	შეც დომ ები
აპარატის	ა პარატ ის
ინაცვლებს	ი ნაცვლ ებს
გაყოლოდა	გა ყოლ ოდა
კულტის	კულტ ის
უბედურება	უბედურ ება
იტრიუმი	ი ტრიუმ ი
იწერდა	ი წერ და
ოფიციალური	ოფიციალურ ი
ფილტრაციის	ფილ ტრ აციის
მაგარი	მა გარ ი
დაკების	და კ ების
კუნძულოვანი	კუნძულ ოვანი
სარჩული	სა რჩ ული
ავიდნენ	ა ვ იდნენ
ნიღბების	ნიღ ბ ების
გვარდიის	გვარ დი ის
მეიერსი	მე იერ სი
დანახვისას	დანახ ვის ას
ინდურ	ი ნდ ურ
ნელა	ნელ ა
აძლევენ	ა ძლევ ენ
მოთამაშეების	მოთამაშ ე ების
პროფესორ	პროფეს ორ
უყურადღებობის	უ ყურადღ ებობის
სიტყვებით	სიტყვ ებით
ნეპალის	ნეპ ალ ის
მოზარდობის	მო ზარდ ობის
განხორციელებაში	გან ხორციელ ებაში
დაიფიცა	დაი ფიც ა
უმრავლესობით	უმრავლეს ობ ით
შებოლილი	შე ბოლ ილი
კომიტეტს	კომ იტეტ ს
მოლაპარაკებას	მოლ აპარაკ ებას
სასულე	სა სულ ე
ტიბეტი	ტი ბეტ ი
ბლოგი	ბ ლოგ ი
მედია	მედ ია
დანახვა	დანახ ვა
კათოლიკეებს	კათოლ იკე ებს
დაუწყეს	და უწყ ეს
მცდელობები	მცდელ ობ ები
გმირს	გმირ ს
ერთდროული	ერთ დრო ული
კურსებს	კურს ებს
სამუშაო	სამუშა ო
აზოტოვან	აზოტ ოვან
მოამზადეს	მოა მზად ეს
ალექსანდრიელის	ალექსა ნდრ იელის
ასასვლელად	ა სასვლელ ად
ფრანგულენოვანი	ფრანგულ ენოვანი
კანტონის	კან ტონ ის
რედაქტირებული	რედაქტირ ებ ული
უკმარისობას	უკ მარ ისობას
გდანსკის	გდან სკ ის
შემოღების	შემო ღებ ის
